,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.79,0.207,0.328,0.568,0.737,0.118,0.204,0.529,0.339,0.08,0.13,0.452
1,3.0,0.79,0.243,0.371,0.643,0.737,0.139,0.233,0.604,0.286,0.079,0.124,0.514
2,4.0,0.548,0.274,0.366,0.746,0.526,0.161,0.247,0.738,0.161,0.073,0.1,0.652
3,5.0,0.548,0.304,0.391,0.772,0.526,0.179,0.267,0.763,0.125,0.062,0.083,0.669
4,6.0,0.339,0.3,0.318,0.806,0.447,0.243,0.315,0.841,0.107,0.086,0.095,0.755
5,7.0,0.339,0.344,0.341,0.826,0.447,0.279,0.343,0.86,0.107,0.098,0.103,0.774
6,8.0,0.29,0.353,0.319,0.834,0.395,0.294,0.337,0.873,0.107,0.118,0.112,0.796
7,9.0,0.258,0.381,0.308,0.845,0.342,0.31,0.325,0.884,0.107,0.143,0.122,0.815
8,10.0,0.258,0.41,0.317,0.852,0.342,0.333,0.338,0.89,0.107,0.154,0.126,0.822
9,11.0,0.258,0.432,0.323,0.856,0.342,0.351,0.347,0.895,0.089,0.135,0.108,0.822
10,12.0,0.258,0.516,0.344,0.869,0.342,0.419,0.377,0.908,0.089,0.161,0.115,0.834
11,13.0,0.258,0.552,0.352,0.873,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
12,14.0,0.258,0.593,0.36,0.877,0.342,0.481,0.4,0.916,0.089,0.185,0.12,0.843
13,15.0,0.242,0.6,0.345,0.877,0.316,0.48,0.381,0.916,0.089,0.2,0.123,0.847
14,16.0,0.242,0.625,0.349,0.88,0.316,0.5,0.387,0.918,0.089,0.208,0.125,0.849
15,17.0,0.161,0.556,0.25,0.871,0.211,0.444,0.286,0.914,0.089,0.278,0.135,0.862
16,18.0,0.145,0.529,0.228,0.869,0.184,0.412,0.255,0.912,0.089,0.294,0.137,0.865
17,19.0,0.129,0.533,0.208,0.869,0.184,0.467,0.264,0.916,0.089,0.333,0.141,0.869
18,20.0,0.129,0.571,0.211,0.871,0.184,0.5,0.269,0.918,0.089,0.357,0.143,0.871
19,2.0,0.832,0.255,0.391,0.582,0.813,0.172,0.284,0.544,0.483,0.137,0.213,0.469
20,3.0,0.832,0.297,0.437,0.655,0.813,0.2,0.321,0.617,0.441,0.145,0.218,0.53
21,4.0,0.639,0.355,0.456,0.754,0.664,0.254,0.368,0.746,0.343,0.176,0.232,0.663
22,5.0,0.639,0.388,0.483,0.779,0.664,0.278,0.392,0.771,0.315,0.176,0.226,0.68
23,6.0,0.471,0.427,0.448,0.813,0.607,0.38,0.468,0.846,0.301,0.251,0.274,0.763
24,7.0,0.471,0.477,0.474,0.831,0.607,0.425,0.5,0.865,0.301,0.281,0.291,0.781
25,8.0,0.432,0.504,0.465,0.84,0.57,0.459,0.508,0.877,0.301,0.323,0.312,0.802
26,9.0,0.406,0.548,0.467,0.85,0.533,0.496,0.514,0.888,0.301,0.374,0.333,0.821
27,10.0,0.406,0.578,0.477,0.856,0.533,0.523,0.528,0.894,0.301,0.394,0.341,0.827
28,11.0,0.406,0.6,0.485,0.861,0.533,0.543,0.538,0.898,0.287,0.39,0.331,0.827
29,12.0,0.406,0.677,0.508,0.873,0.533,0.613,0.57,0.911,0.287,0.441,0.347,0.84
30,13.0,0.406,0.708,0.516,0.877,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
31,14.0,0.406,0.741,0.525,0.881,0.533,0.671,0.594,0.919,0.287,0.482,0.36,0.848
32,15.0,0.394,0.753,0.517,0.881,0.514,0.679,0.585,0.919,0.287,0.506,0.366,0.852
33,16.0,0.394,0.772,0.521,0.883,0.514,0.696,0.591,0.921,0.287,0.519,0.369,0.854
34,17.0,0.329,0.761,0.459,0.875,0.439,0.701,0.54,0.917,0.287,0.612,0.39,0.867
35,18.0,0.316,0.754,0.445,0.873,0.421,0.692,0.523,0.915,0.287,0.631,0.394,0.869
36,19.0,0.303,0.77,0.435,0.873,0.421,0.738,0.536,0.919,0.287,0.672,0.402,0.873
