,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.79,0.207,0.328,0.568,0.737,0.118,0.204,0.529,0.339,0.08,0.13,0.452
1,3.0,0.79,0.243,0.371,0.643,0.737,0.139,0.233,0.604,0.286,0.079,0.124,0.514
2,4.0,0.484,0.254,0.333,0.742,0.5,0.161,0.244,0.746,0.161,0.076,0.103,0.665
3,5.0,0.323,0.241,0.276,0.774,0.421,0.193,0.264,0.809,0.143,0.096,0.115,0.735
4,6.0,0.323,0.282,0.301,0.8,0.421,0.225,0.294,0.834,0.107,0.085,0.094,0.753
5,7.0,0.274,0.288,0.281,0.813,0.368,0.237,0.289,0.852,0.107,0.102,0.104,0.778
6,8.0,0.258,0.34,0.294,0.834,0.342,0.277,0.306,0.873,0.107,0.128,0.117,0.804
7,9.0,0.258,0.39,0.311,0.847,0.342,0.317,0.329,0.886,0.089,0.122,0.103,0.813
8,10.0,0.306,0.514,0.384,0.869,0.395,0.405,0.4,0.903,0.107,0.162,0.129,0.826
9,11.0,0.258,0.432,0.323,0.856,0.342,0.351,0.347,0.895,0.089,0.135,0.108,0.822
10,12.0,0.258,0.516,0.344,0.869,0.342,0.419,0.377,0.908,0.089,0.161,0.115,0.834
11,13.0,0.258,0.552,0.352,0.873,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
12,14.0,0.258,0.571,0.356,0.875,0.342,0.464,0.394,0.914,0.089,0.179,0.119,0.841
13,15.0,0.242,0.6,0.345,0.877,0.316,0.48,0.381,0.916,0.089,0.2,0.123,0.847
14,16.0,0.242,0.625,0.349,0.88,0.316,0.5,0.387,0.918,0.089,0.208,0.125,0.849
15,17.0,0.161,0.556,0.25,0.871,0.211,0.444,0.286,0.914,0.089,0.278,0.135,0.862
16,18.0,0.194,0.632,0.296,0.877,0.289,0.579,0.386,0.925,0.089,0.263,0.133,0.86
17,19.0,0.129,0.533,0.208,0.869,0.184,0.467,0.264,0.916,0.089,0.333,0.141,0.869
18,20.0,0.129,0.571,0.211,0.871,0.158,0.429,0.231,0.914,0.071,0.286,0.114,0.867
19,2.0,0.832,0.255,0.391,0.582,0.813,0.172,0.284,0.544,0.483,0.137,0.213,0.469
20,3.0,0.832,0.297,0.437,0.655,0.813,0.2,0.321,0.617,0.441,0.145,0.218,0.53
21,4.0,0.587,0.341,0.431,0.75,0.645,0.258,0.369,0.754,0.343,0.184,0.239,0.675
22,5.0,0.458,0.36,0.403,0.781,0.589,0.32,0.414,0.815,0.329,0.239,0.276,0.744
23,6.0,0.458,0.41,0.433,0.806,0.589,0.364,0.45,0.84,0.301,0.249,0.272,0.761
24,7.0,0.419,0.436,0.428,0.819,0.551,0.396,0.461,0.856,0.301,0.289,0.295,0.786
25,8.0,0.406,0.504,0.45,0.84,0.533,0.456,0.491,0.877,0.301,0.344,0.321,0.811
26,9.0,0.406,0.558,0.47,0.852,0.533,0.504,0.518,0.89,0.287,0.363,0.32,0.819
27,10.0,0.445,0.657,0.531,0.873,0.57,0.581,0.575,0.906,0.301,0.41,0.347,0.831
28,11.0,0.406,0.6,0.485,0.861,0.533,0.543,0.538,0.898,0.287,0.39,0.331,0.827
29,12.0,0.406,0.677,0.508,0.873,0.533,0.613,0.57,0.911,0.287,0.441,0.347,0.84
30,13.0,0.406,0.708,0.516,0.877,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
31,14.0,0.406,0.724,0.521,0.879,0.533,0.655,0.588,0.917,0.287,0.471,0.357,0.846
32,15.0,0.394,0.753,0.517,0.881,0.514,0.679,0.585,0.919,0.287,0.506,0.366,0.852
33,16.0,0.394,0.772,0.521,0.883,0.514,0.696,0.591,0.921,0.287,0.519,0.369,0.854
34,17.0,0.329,0.761,0.459,0.875,0.439,0.701,0.54,0.917,0.287,0.612,0.39,0.867
35,18.0,0.355,0.797,0.491,0.881,0.495,0.768,0.602,0.927,0.287,0.594,0.387,0.865
36,19.0,0.303,0.77,0.435,0.873,0.421,0.738,0.536,0.919,0.287,0.672,0.402,0.873
