,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.935,0.19,0.316,0.46,0.895,0.111,0.198,0.409,0.571,0.105,0.177,0.361
1,0.2,0.935,0.204,0.335,0.505,0.895,0.12,0.211,0.454,0.5,0.099,0.165,0.389
2,0.30000000000000004,0.806,0.251,0.383,0.654,0.737,0.141,0.236,0.611,0.321,0.09,0.141,0.529
3,0.4,0.565,0.28,0.374,0.748,0.605,0.184,0.282,0.748,0.196,0.088,0.122,0.658
4,0.5,0.387,0.348,0.366,0.822,0.447,0.246,0.318,0.843,0.107,0.087,0.096,0.757
5,0.6000000000000001,0.21,0.565,0.306,0.873,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
6,0.7000000000000001,0.129,0.615,0.213,0.873,0.184,0.538,0.275,0.92,0.054,0.231,0.087,0.865
7,0.8,0.048,0.429,0.087,0.865,0.053,0.286,0.089,0.912,0.018,0.143,0.032,0.869
8,0.9,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
9,0.91,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
10,0.911,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
11,0.912,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
12,0.913,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
13,0.914,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
14,0.915,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
15,0.916,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
16,0.917,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
17,0.918,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
18,0.919,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
