,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.79,0.207,0.328,0.568,0.737,0.118,0.204,0.529,0.339,0.08,0.13,0.452
1,3.0,0.903,0.199,0.327,0.503,0.842,0.114,0.201,0.452,0.429,0.085,0.142,0.378
2,4.0,0.887,0.212,0.343,0.546,0.842,0.124,0.215,0.499,0.339,0.073,0.121,0.404
3,5.0,0.774,0.244,0.371,0.649,0.658,0.127,0.213,0.602,0.25,0.071,0.111,0.516
4,6.0,0.694,0.221,0.335,0.632,0.737,0.144,0.24,0.619,0.232,0.067,0.104,0.516
5,7.0,0.581,0.261,0.36,0.725,0.553,0.152,0.239,0.712,0.196,0.08,0.113,0.63
6,8.0,0.5,0.263,0.344,0.746,0.553,0.178,0.269,0.755,0.196,0.093,0.126,0.673
7,9.0,0.903,0.211,0.341,0.535,0.842,0.12,0.211,0.484,0.411,0.086,0.143,0.406
8,10.0,0.645,0.221,0.329,0.649,0.684,0.144,0.237,0.641,0.232,0.072,0.11,0.546
9,11.0,0.355,0.256,0.297,0.776,0.447,0.198,0.274,0.806,0.161,0.105,0.127,0.733
10,12.0,0.387,0.253,0.306,0.766,0.5,0.2,0.286,0.796,0.161,0.095,0.119,0.714
11,13.0,0.339,0.253,0.29,0.778,0.447,0.205,0.281,0.813,0.143,0.096,0.115,0.735
12,14.0,0.371,0.291,0.326,0.796,0.474,0.228,0.308,0.826,0.161,0.114,0.133,0.748
13,15.0,0.274,0.246,0.26,0.791,0.368,0.203,0.262,0.83,0.161,0.13,0.144,0.77
14,16.0,0.355,0.265,0.303,0.783,0.474,0.217,0.298,0.817,0.107,0.072,0.086,0.727
15,17.0,0.21,0.277,0.239,0.822,0.289,0.234,0.259,0.865,0.107,0.128,0.117,0.804
16,18.0,0.226,0.311,0.262,0.83,0.289,0.244,0.265,0.869,0.089,0.111,0.099,0.804
17,19.0,0.306,0.463,0.369,0.86,0.395,0.366,0.38,0.895,0.107,0.146,0.124,0.817
18,20.0,0.274,0.447,0.34,0.858,0.368,0.368,0.368,0.897,0.071,0.105,0.085,0.815
19,2.0,0.832,0.255,0.391,0.582,0.813,0.172,0.284,0.544,0.483,0.137,0.213,0.469
20,3.0,1.0,0.212,0.35,0.401,1.0,0.146,0.255,0.351,0.734,0.144,0.24,0.309
21,4.0,0.91,0.257,0.401,0.561,0.888,0.173,0.29,0.515,0.483,0.126,0.199,0.424
22,5.0,0.819,0.299,0.438,0.661,0.757,0.191,0.305,0.615,0.413,0.139,0.208,0.532
23,6.0,0.755,0.278,0.406,0.644,0.813,0.207,0.33,0.632,0.399,0.135,0.202,0.532
24,7.0,0.69,0.344,0.459,0.738,0.738,0.254,0.378,0.729,0.357,0.164,0.225,0.634
25,8.0,0.6,0.348,0.441,0.754,0.682,0.273,0.39,0.763,0.371,0.199,0.259,0.684
26,9.0,0.523,0.336,0.409,0.757,0.626,0.278,0.385,0.777,0.357,0.212,0.266,0.707
27,10.0,0.484,0.346,0.403,0.769,0.607,0.3,0.401,0.798,0.357,0.235,0.283,0.732
28,11.0,0.523,0.345,0.415,0.763,0.664,0.302,0.415,0.792,0.357,0.217,0.27,0.713
29,12.0,0.471,0.374,0.417,0.788,0.607,0.333,0.43,0.821,0.343,0.251,0.29,0.75
30,13.0,0.471,0.399,0.432,0.8,0.589,0.344,0.434,0.829,0.301,0.235,0.264,0.75
31,14.0,0.458,0.302,0.364,0.742,0.551,0.251,0.345,0.767,0.343,0.209,0.259,0.709
32,15.0,0.484,0.46,0.472,0.825,0.626,0.411,0.496,0.858,0.287,0.252,0.268,0.767
33,16.0,0.458,0.464,0.461,0.827,0.589,0.412,0.485,0.861,0.315,0.294,0.304,0.786
34,17.0,0.419,0.489,0.451,0.836,0.551,0.444,0.492,0.873,0.315,0.338,0.326,0.806
35,18.0,0.381,0.562,0.454,0.852,0.495,0.505,0.5,0.89,0.287,0.39,0.331,0.827
36,19.0,0.394,0.466,0.427,0.829,0.514,0.42,0.462,0.867,0.329,0.359,0.343,0.813
