,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.903,0.199,0.327,0.503,0.842,0.114,0.201,0.452,0.429,0.085,0.142,0.378
1,3.0,0.903,0.211,0.341,0.535,0.842,0.12,0.211,0.484,0.411,0.086,0.143,0.406
2,4.0,0.516,0.254,0.34,0.733,0.553,0.167,0.256,0.738,0.161,0.071,0.099,0.647
3,5.0,0.484,0.283,0.357,0.768,0.5,0.179,0.264,0.772,0.125,0.066,0.086,0.682
4,6.0,0.323,0.282,0.301,0.8,0.421,0.225,0.294,0.834,0.107,0.085,0.094,0.753
5,7.0,0.274,0.309,0.291,0.822,0.316,0.218,0.258,0.852,0.107,0.109,0.108,0.787
6,8.0,0.29,0.367,0.324,0.839,0.342,0.265,0.299,0.869,0.107,0.122,0.114,0.8
7,9.0,0.258,0.372,0.305,0.843,0.342,0.302,0.321,0.882,0.089,0.116,0.101,0.809
8,10.0,0.258,0.444,0.327,0.858,0.342,0.361,0.351,0.897,0.089,0.139,0.109,0.824
9,11.0,0.258,0.485,0.337,0.865,0.342,0.394,0.366,0.903,0.089,0.152,0.112,0.83
10,12.0,0.274,0.567,0.37,0.875,0.342,0.433,0.382,0.91,0.089,0.167,0.116,0.837
11,13.0,0.258,0.552,0.352,0.873,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
12,14.0,0.242,0.556,0.337,0.873,0.316,0.444,0.369,0.912,0.089,0.185,0.12,0.843
13,15.0,0.161,0.476,0.241,0.865,0.211,0.381,0.271,0.908,0.089,0.238,0.13,0.856
14,16.0,0.161,0.526,0.247,0.869,0.211,0.421,0.281,0.912,0.107,0.316,0.16,0.865
15,17.0,0.177,0.579,0.272,0.873,0.211,0.421,0.281,0.912,0.089,0.263,0.133,0.86
16,18.0,0.145,0.529,0.228,0.869,0.184,0.412,0.255,0.912,0.089,0.294,0.137,0.865
17,19.0,0.145,0.6,0.234,0.873,0.184,0.467,0.264,0.916,0.071,0.267,0.113,0.865
18,20.0,0.129,0.615,0.213,0.873,0.184,0.538,0.275,0.92,0.071,0.308,0.116,0.869
19,2.0,0.923,0.241,0.382,0.519,0.888,0.16,0.271,0.469,0.552,0.133,0.215,0.399
20,3.0,0.923,0.254,0.398,0.55,0.888,0.169,0.284,0.501,0.538,0.137,0.218,0.426
21,4.0,0.613,0.336,0.434,0.742,0.682,0.258,0.374,0.746,0.343,0.173,0.23,0.659
22,5.0,0.587,0.374,0.457,0.775,0.645,0.284,0.394,0.779,0.315,0.185,0.233,0.692
23,6.0,0.458,0.41,0.433,0.806,0.589,0.364,0.45,0.84,0.301,0.249,0.272,0.761
24,7.0,0.419,0.461,0.439,0.827,0.514,0.39,0.444,0.856,0.301,0.305,0.303,0.794
25,8.0,0.432,0.519,0.472,0.844,0.533,0.442,0.483,0.873,0.301,0.333,0.316,0.806
26,9.0,0.406,0.538,0.463,0.848,0.533,0.487,0.509,0.886,0.287,0.35,0.315,0.815
27,10.0,0.406,0.612,0.488,0.863,0.533,0.553,0.543,0.9,0.287,0.398,0.333,0.829
28,11.0,0.406,0.649,0.5,0.869,0.533,0.588,0.559,0.906,0.287,0.423,0.342,0.836
29,12.0,0.419,0.714,0.528,0.879,0.533,0.626,0.576,0.913,0.287,0.451,0.35,0.842
30,13.0,0.406,0.708,0.516,0.877,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
31,14.0,0.394,0.718,0.508,0.877,0.514,0.647,0.573,0.915,0.287,0.482,0.36,0.848
32,15.0,0.329,0.699,0.447,0.869,0.439,0.644,0.522,0.911,0.287,0.562,0.38,0.861
33,16.0,0.329,0.739,0.455,0.873,0.439,0.681,0.534,0.915,0.301,0.623,0.406,0.869
34,17.0,0.342,0.768,0.473,0.877,0.439,0.681,0.534,0.915,0.287,0.594,0.387,0.865
35,18.0,0.316,0.754,0.445,0.873,0.421,0.692,0.523,0.915,0.287,0.631,0.394,0.869
36,19.0,0.316,0.803,0.454,0.877,0.421,0.738,0.536,0.919,0.273,0.639,0.382,0.869
