,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.77,0.092,0.165,0.294,0.782,0.041,0.078,0.268,0.774,0.015,0.029,0.253
1,3.0,0.552,0.094,0.16,0.476,0.547,0.041,0.076,0.47,0.562,0.015,0.03,0.469
2,4.0,0.437,0.097,0.159,0.581,0.406,0.04,0.072,0.585,0.457,0.016,0.032,0.592
3,5.0,0.315,0.114,0.168,0.718,0.299,0.048,0.082,0.735,0.338,0.02,0.037,0.746
4,6.0,0.291,0.115,0.165,0.734,0.275,0.048,0.082,0.754,0.324,0.021,0.039,0.766
5,7.0,0.243,0.145,0.182,0.802,0.238,0.062,0.099,0.828,0.265,0.025,0.046,0.842
6,8.0,0.218,0.147,0.176,0.815,0.219,0.065,0.1,0.844,0.238,0.026,0.047,0.859
7,9.0,0.199,0.158,0.176,0.832,0.194,0.068,0.1,0.862,0.214,0.027,0.049,0.878
8,10.0,0.193,0.16,0.175,0.836,0.189,0.069,0.101,0.867,0.208,0.028,0.049,0.883
9,11.0,0.189,0.164,0.176,0.84,0.183,0.07,0.101,0.871,0.207,0.029,0.051,0.887
10,12.0,0.176,0.164,0.17,0.844,0.173,0.071,0.101,0.877,0.196,0.029,0.051,0.894
11,13.0,0.166,0.171,0.169,0.852,0.16,0.072,0.1,0.885,0.182,0.03,0.052,0.903
12,14.0,0.161,0.174,0.168,0.855,0.154,0.073,0.099,0.889,0.17,0.03,0.05,0.907
13,15.0,0.16,0.176,0.167,0.856,0.154,0.074,0.1,0.89,0.17,0.03,0.051,0.908
14,16.0,0.157,0.179,0.167,0.859,0.15,0.076,0.101,0.893,0.166,0.031,0.052,0.911
15,17.0,0.15,0.178,0.163,0.861,0.143,0.074,0.098,0.896,0.166,0.032,0.053,0.914
16,18.0,0.148,0.179,0.162,0.862,0.142,0.075,0.098,0.897,0.164,0.032,0.053,0.915
17,19.0,0.139,0.18,0.157,0.865,0.124,0.071,0.09,0.9,0.152,0.032,0.053,0.92
18,20.0,0.134,0.182,0.154,0.867,0.122,0.073,0.091,0.903,0.147,0.032,0.053,0.923
19,2.0,0.775,0.095,0.169,0.296,0.794,0.044,0.083,0.269,0.805,0.018,0.035,0.255
20,3.0,0.563,0.097,0.166,0.477,0.572,0.045,0.083,0.472,0.622,0.02,0.038,0.47
21,4.0,0.451,0.102,0.166,0.582,0.438,0.045,0.082,0.586,0.531,0.022,0.042,0.593
22,5.0,0.332,0.122,0.179,0.718,0.337,0.056,0.097,0.736,0.428,0.029,0.054,0.747
23,6.0,0.308,0.124,0.177,0.734,0.315,0.057,0.097,0.754,0.416,0.03,0.056,0.767
24,7.0,0.262,0.158,0.197,0.802,0.28,0.076,0.12,0.828,0.364,0.04,0.072,0.842
25,8.0,0.237,0.162,0.192,0.816,0.261,0.081,0.123,0.844,0.341,0.042,0.075,0.859
26,9.0,0.218,0.175,0.194,0.832,0.238,0.086,0.126,0.862,0.32,0.046,0.081,0.878
27,10.0,0.213,0.178,0.194,0.836,0.233,0.088,0.128,0.867,0.315,0.048,0.083,0.883
28,11.0,0.209,0.182,0.195,0.84,0.227,0.09,0.128,0.871,0.315,0.05,0.086,0.887
29,12.0,0.197,0.183,0.19,0.845,0.218,0.092,0.13,0.877,0.304,0.051,0.088,0.894
30,13.0,0.187,0.192,0.189,0.852,0.206,0.096,0.13,0.885,0.292,0.054,0.092,0.903
31,14.0,0.182,0.196,0.189,0.856,0.2,0.098,0.131,0.889,0.282,0.055,0.092,0.907
32,15.0,0.18,0.198,0.189,0.857,0.199,0.099,0.132,0.89,0.282,0.056,0.094,0.908
33,16.0,0.177,0.202,0.189,0.859,0.196,0.101,0.134,0.894,0.279,0.058,0.096,0.912
34,17.0,0.171,0.202,0.185,0.861,0.189,0.101,0.132,0.896,0.279,0.06,0.099,0.914
35,18.0,0.169,0.203,0.185,0.862,0.188,0.102,0.133,0.897,0.277,0.06,0.099,0.916
36,19.0,0.16,0.206,0.18,0.865,0.172,0.1,0.126,0.901,0.267,0.062,0.101,0.92
