,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,10.0,0.978,0.114,0.204,0.311,0.95,0.049,0.093,0.26,0.931,0.018,0.035,0.237
1,0.2,24.0,0.87,0.2,0.325,0.673,0.827,0.083,0.151,0.632,0.834,0.031,0.06,0.616
2,0.30000000000000004,36.0,0.768,0.336,0.467,0.842,0.785,0.151,0.253,0.816,0.723,0.051,0.096,0.8
3,0.4,48.0,0.674,0.529,0.593,0.916,0.674,0.233,0.346,0.899,0.608,0.077,0.137,0.888
4,0.5,93.0,0.41,0.661,0.506,0.928,0.377,0.267,0.313,0.934,0.433,0.113,0.18,0.942
5,0.6000000000000001,136.0,0.208,0.797,0.33,0.924,0.213,0.359,0.267,0.954,0.277,0.173,0.213,0.97
6,0.7000000000000001,215.0,0.1,0.876,0.179,0.917,0.118,0.455,0.187,0.959,0.15,0.215,0.177,0.979
7,0.8,286.0,0.033,0.876,0.063,0.912,0.046,0.541,0.084,0.961,0.07,0.305,0.114,0.984
8,0.9,372.0,0.012,0.929,0.023,0.911,0.018,0.625,0.035,0.961,0.03,0.384,0.055,0.985
9,0.9,372.0,0.012,0.929,0.023,0.911,0.018,0.625,0.035,0.961,0.03,0.384,0.055,0.985
10,0.91,373.0,0.011,0.927,0.022,0.911,0.018,0.642,0.035,0.961,0.03,0.394,0.055,0.985
11,0.92,379.0,0.01,0.929,0.02,0.91,0.017,0.657,0.032,0.961,0.029,0.424,0.055,0.985
12,0.93,381.0,0.01,0.927,0.02,0.91,0.016,0.646,0.031,0.961,0.028,0.427,0.053,0.985
13,0.9400000000000001,382.0,0.01,0.926,0.02,0.91,0.016,0.642,0.03,0.961,0.028,0.421,0.052,0.985
14,0.9500000000000001,383.0,0.01,0.925,0.019,0.91,0.015,0.645,0.03,0.961,0.027,0.419,0.051,0.985
15,0.96,383.0,0.01,0.925,0.019,0.91,0.015,0.645,0.03,0.961,0.027,0.419,0.051,0.985
16,0.97,383.0,0.01,0.925,0.019,0.91,0.015,0.645,0.03,0.961,0.027,0.419,0.051,0.985
17,0.98,383.0,0.01,0.925,0.019,0.91,0.015,0.645,0.03,0.961,0.027,0.419,0.051,0.985
18,0.99,383.0,0.01,0.925,0.019,0.91,0.015,0.645,0.03,0.961,0.027,0.419,0.051,0.985
