,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.709,0.091,0.162,0.336,0.702,0.04,0.075,0.315,0.712,0.015,0.029,0.305
1,3.0,0.542,0.095,0.162,0.493,0.541,0.042,0.078,0.489,0.55,0.016,0.03,0.487
2,4.0,0.436,0.101,0.164,0.599,0.407,0.041,0.075,0.603,0.453,0.017,0.033,0.609
3,5.0,0.341,0.119,0.176,0.711,0.319,0.049,0.084,0.726,0.357,0.02,0.038,0.736
4,6.0,0.28,0.143,0.189,0.783,0.266,0.06,0.098,0.804,0.295,0.024,0.045,0.817
5,7.0,0.252,0.153,0.19,0.806,0.237,0.063,0.099,0.83,0.273,0.027,0.049,0.844
6,8.0,0.227,0.157,0.186,0.82,0.221,0.067,0.103,0.847,0.243,0.027,0.049,0.862
7,9.0,0.194,0.158,0.174,0.833,0.184,0.066,0.097,0.864,0.22,0.029,0.051,0.881
8,10.0,0.195,0.167,0.18,0.839,0.181,0.068,0.099,0.869,0.219,0.03,0.053,0.886
9,11.0,0.188,0.169,0.178,0.843,0.176,0.069,0.1,0.874,0.215,0.031,0.054,0.891
10,12.0,0.182,0.172,0.177,0.847,0.173,0.071,0.101,0.878,0.211,0.032,0.056,0.896
11,13.0,0.171,0.181,0.176,0.855,0.157,0.073,0.1,0.887,0.179,0.031,0.052,0.905
12,14.0,0.156,0.174,0.164,0.857,0.14,0.069,0.092,0.89,0.175,0.031,0.053,0.909
13,15.0,0.152,0.18,0.165,0.861,0.143,0.074,0.098,0.895,0.173,0.033,0.055,0.914
14,16.0,0.143,0.176,0.158,0.862,0.15,0.081,0.105,0.899,0.169,0.033,0.056,0.917
15,17.0,0.157,0.186,0.17,0.862,0.143,0.075,0.098,0.896,0.173,0.033,0.056,0.914
16,18.0,0.112,0.164,0.133,0.868,0.113,0.073,0.089,0.908,0.125,0.03,0.048,0.927
17,19.0,0.135,0.191,0.158,0.87,0.116,0.072,0.089,0.905,0.141,0.032,0.052,0.926
18,20.0,0.112,0.171,0.135,0.871,0.105,0.071,0.085,0.909,0.134,0.033,0.053,0.93
19,2.0,0.716,0.094,0.167,0.338,0.719,0.043,0.081,0.316,0.752,0.018,0.035,0.306
20,3.0,0.554,0.099,0.168,0.495,0.566,0.046,0.085,0.49,0.611,0.02,0.039,0.488
21,4.0,0.45,0.106,0.172,0.599,0.439,0.047,0.085,0.604,0.527,0.023,0.043,0.61
22,5.0,0.357,0.126,0.186,0.712,0.356,0.057,0.098,0.726,0.444,0.028,0.054,0.736
23,6.0,0.298,0.154,0.203,0.784,0.306,0.072,0.116,0.805,0.39,0.037,0.067,0.817
24,7.0,0.271,0.165,0.205,0.806,0.278,0.077,0.121,0.83,0.372,0.041,0.074,0.844
25,8.0,0.246,0.172,0.202,0.821,0.263,0.083,0.127,0.848,0.346,0.044,0.078,0.862
26,9.0,0.214,0.174,0.192,0.834,0.228,0.084,0.123,0.864,0.326,0.048,0.084,0.881
27,10.0,0.215,0.184,0.199,0.839,0.225,0.087,0.126,0.869,0.324,0.05,0.087,0.886
28,11.0,0.208,0.187,0.197,0.843,0.221,0.09,0.128,0.874,0.321,0.052,0.09,0.891
29,12.0,0.202,0.191,0.196,0.847,0.217,0.093,0.13,0.878,0.318,0.054,0.093,0.896
30,13.0,0.191,0.202,0.196,0.855,0.203,0.097,0.131,0.888,0.29,0.056,0.093,0.906
31,14.0,0.176,0.196,0.186,0.857,0.187,0.094,0.125,0.891,0.286,0.058,0.096,0.91
32,15.0,0.173,0.204,0.187,0.861,0.19,0.101,0.132,0.895,0.285,0.061,0.1,0.914
33,16.0,0.164,0.201,0.181,0.862,0.196,0.108,0.14,0.899,0.281,0.062,0.102,0.917
34,17.0,0.177,0.21,0.192,0.862,0.19,0.102,0.132,0.896,0.285,0.061,0.101,0.915
35,18.0,0.133,0.194,0.158,0.868,0.161,0.106,0.128,0.908,0.243,0.064,0.101,0.928
36,19.0,0.156,0.219,0.182,0.87,0.164,0.104,0.127,0.906,0.257,0.065,0.104,0.926
