,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.682,0.194,0.302,0.715,0.642,0.08,0.143,0.694,0.534,0.024,0.047,0.683
1,3.0,0.72,0.159,0.261,0.632,0.749,0.073,0.133,0.611,0.617,0.022,0.043,0.595
2,4.0,0.992,0.095,0.173,0.14,0.981,0.041,0.079,0.089,0.99,0.015,0.03,0.066
3,5.0,0.993,0.097,0.177,0.166,0.985,0.042,0.081,0.116,0.988,0.016,0.031,0.091
4,6.0,0.98,0.102,0.185,0.217,0.935,0.043,0.082,0.165,0.976,0.016,0.032,0.144
5,7.0,0.973,0.112,0.201,0.3,0.932,0.047,0.09,0.248,0.939,0.017,0.034,0.227
6,8.0,0.877,0.187,0.309,0.645,0.79,0.074,0.136,0.6,0.765,0.026,0.051,0.585
7,9.0,0.696,0.184,0.291,0.693,0.643,0.075,0.134,0.669,0.576,0.025,0.047,0.66
8,10.0,0.872,0.168,0.282,0.598,0.802,0.068,0.125,0.555,0.778,0.024,0.047,0.539
9,11.0,0.908,0.139,0.242,0.484,0.834,0.056,0.105,0.437,0.843,0.021,0.041,0.421
10,12.0,0.894,0.136,0.235,0.475,0.8,0.053,0.1,0.427,0.851,0.021,0.041,0.414
11,13.0,0.942,0.132,0.231,0.432,0.879,0.054,0.102,0.382,0.859,0.019,0.038,0.363
12,14.0,0.957,0.12,0.214,0.363,0.915,0.05,0.096,0.313,0.916,0.019,0.036,0.292
13,15.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
14,16.0,0.661,0.251,0.364,0.791,0.602,0.101,0.172,0.771,0.462,0.028,0.053,0.761
15,17.0,0.935,0.132,0.231,0.436,0.884,0.055,0.103,0.388,0.886,0.02,0.039,0.368
16,18.0,1.0,0.091,0.167,0.099,1.0,0.04,0.077,0.049,0.999,0.015,0.029,0.024
17,19.0,0.926,0.118,0.209,0.366,0.869,0.049,0.092,0.318,0.889,0.018,0.036,0.3
18,20.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
19,2.0,0.649,0.176,0.277,0.686,0.618,0.076,0.135,0.669,0.628,0.031,0.059,0.663
20,3.0,0.837,0.154,0.26,0.56,0.782,0.065,0.12,0.521,0.798,0.027,0.052,0.508
21,4.0,0.975,0.107,0.194,0.249,0.947,0.047,0.09,0.198,0.957,0.019,0.038,0.176
22,5.0,0.999,0.097,0.177,0.14,1.0,0.044,0.084,0.089,0.994,0.018,0.034,0.064
23,6.0,0.975,0.1,0.181,0.187,0.945,0.044,0.084,0.136,0.982,0.018,0.036,0.115
24,7.0,0.943,0.109,0.195,0.28,0.859,0.045,0.085,0.228,0.945,0.02,0.039,0.213
25,8.0,0.848,0.182,0.3,0.633,0.736,0.072,0.13,0.589,0.768,0.03,0.058,0.578
26,9.0,0.73,0.199,0.313,0.704,0.674,0.083,0.148,0.676,0.661,0.033,0.062,0.666
27,10.0,0.782,0.194,0.31,0.679,0.713,0.08,0.144,0.644,0.752,0.034,0.065,0.635
28,11.0,0.728,0.185,0.295,0.678,0.67,0.077,0.138,0.65,0.686,0.032,0.061,0.642
29,12.0,0.928,0.136,0.237,0.447,0.89,0.059,0.111,0.4,0.885,0.023,0.046,0.38
30,13.0,0.887,0.162,0.274,0.566,0.83,0.069,0.127,0.522,0.834,0.028,0.054,0.505
31,14.0,0.836,0.15,0.254,0.546,0.789,0.064,0.118,0.508,0.824,0.027,0.052,0.495
32,15.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
33,16.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
34,17.0,0.938,0.129,0.227,0.409,0.88,0.055,0.103,0.36,0.908,0.023,0.044,0.342
35,18.0,1.0,0.093,0.17,0.099,0.999,0.042,0.081,0.049,0.999,0.017,0.033,0.023
36,19.0,0.914,0.145,0.251,0.495,0.853,0.061,0.115,0.448,0.867,0.025,0.049,0.431
