,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.654,0.097,0.169,0.417,0.632,0.041,0.077,0.4,0.674,0.016,0.031,0.394
1,3.0,0.598,0.094,0.162,0.44,0.576,0.04,0.074,0.428,0.635,0.016,0.031,0.426
2,4.0,0.587,0.095,0.164,0.457,0.573,0.041,0.076,0.447,0.628,0.016,0.032,0.445
3,5.0,0.479,0.097,0.161,0.55,0.47,0.042,0.077,0.552,0.536,0.018,0.034,0.555
4,6.0,0.315,0.111,0.165,0.711,0.302,0.047,0.081,0.729,0.366,0.021,0.039,0.741
5,7.0,0.272,0.14,0.185,0.783,0.27,0.061,0.1,0.806,0.305,0.025,0.047,0.819
6,8.0,0.25,0.153,0.19,0.807,0.236,0.063,0.1,0.831,0.27,0.027,0.048,0.845
7,9.0,0.244,0.151,0.187,0.808,0.234,0.064,0.1,0.833,0.279,0.028,0.051,0.848
8,10.0,0.225,0.162,0.189,0.825,0.209,0.066,0.101,0.851,0.249,0.029,0.052,0.867
9,11.0,0.204,0.169,0.185,0.837,0.197,0.071,0.105,0.866,0.23,0.031,0.054,0.883
10,12.0,0.197,0.172,0.184,0.842,0.189,0.073,0.105,0.872,0.219,0.031,0.054,0.889
11,13.0,0.192,0.179,0.185,0.847,0.183,0.075,0.106,0.878,0.215,0.032,0.056,0.895
12,14.0,0.186,0.178,0.182,0.849,0.178,0.075,0.106,0.88,0.212,0.033,0.057,0.897
13,15.0,0.183,0.184,0.183,0.853,0.178,0.078,0.109,0.884,0.209,0.034,0.058,0.901
14,16.0,0.181,0.186,0.184,0.854,0.177,0.08,0.11,0.886,0.207,0.034,0.059,0.903
15,17.0,0.179,0.188,0.183,0.856,0.174,0.081,0.11,0.888,0.2,0.034,0.058,0.906
16,18.0,0.174,0.187,0.18,0.857,0.171,0.081,0.11,0.89,0.195,0.034,0.057,0.907
17,19.0,0.169,0.194,0.181,0.861,0.167,0.084,0.112,0.895,0.19,0.035,0.059,0.912
18,20.0,0.169,0.194,0.181,0.862,0.167,0.084,0.112,0.895,0.189,0.035,0.059,0.912
19,2.0,0.662,0.1,0.174,0.418,0.652,0.045,0.084,0.401,0.719,0.02,0.038,0.396
20,3.0,0.608,0.097,0.168,0.441,0.599,0.043,0.081,0.429,0.685,0.02,0.039,0.427
21,4.0,0.597,0.099,0.169,0.458,0.597,0.045,0.083,0.448,0.679,0.02,0.04,0.446
22,5.0,0.492,0.102,0.169,0.551,0.498,0.047,0.085,0.553,0.599,0.022,0.043,0.556
23,6.0,0.331,0.119,0.175,0.712,0.34,0.055,0.095,0.73,0.452,0.03,0.055,0.741
24,7.0,0.29,0.151,0.199,0.784,0.31,0.073,0.118,0.806,0.399,0.038,0.069,0.819
25,8.0,0.268,0.166,0.205,0.807,0.278,0.078,0.121,0.832,0.369,0.041,0.074,0.846
26,9.0,0.262,0.164,0.202,0.808,0.275,0.078,0.122,0.834,0.376,0.043,0.077,0.848
27,10.0,0.244,0.177,0.205,0.825,0.252,0.083,0.125,0.852,0.351,0.046,0.082,0.868
28,11.0,0.224,0.186,0.203,0.837,0.24,0.09,0.131,0.867,0.334,0.05,0.087,0.883
29,12.0,0.217,0.19,0.203,0.842,0.233,0.093,0.133,0.872,0.325,0.052,0.089,0.889
30,13.0,0.212,0.198,0.205,0.848,0.227,0.096,0.135,0.878,0.321,0.054,0.093,0.895
31,14.0,0.206,0.198,0.202,0.849,0.223,0.097,0.135,0.88,0.318,0.055,0.094,0.898
32,15.0,0.203,0.204,0.203,0.853,0.223,0.101,0.139,0.885,0.316,0.058,0.097,0.902
33,16.0,0.202,0.207,0.204,0.855,0.222,0.103,0.141,0.886,0.315,0.058,0.099,0.904
34,17.0,0.199,0.209,0.204,0.857,0.219,0.104,0.141,0.889,0.309,0.059,0.099,0.906
35,18.0,0.194,0.208,0.201,0.857,0.216,0.105,0.141,0.89,0.304,0.059,0.099,0.907
36,19.0,0.19,0.216,0.202,0.862,0.212,0.11,0.145,0.895,0.3,0.062,0.103,0.912
