,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.0,5.6,0.942,0.616,0.716,0.844,0.878,0.426,0.534,0.79,0.848,0.51,0.594,0.796
1,0.1,6.0,0.937,0.624,0.722,0.852,0.871,0.43,0.538,0.797,0.844,0.517,0.6,0.806
2,0.2,6.7,0.919,0.663,0.75,0.877,0.84,0.449,0.553,0.82,0.814,0.538,0.614,0.832
3,0.30000000000000004,7.2,0.893,0.703,0.769,0.895,0.807,0.468,0.563,0.839,0.773,0.557,0.616,0.848
4,0.4,7.7,0.849,0.75,0.778,0.912,0.774,0.5,0.576,0.862,0.719,0.584,0.619,0.869
5,0.5,8.3,0.826,0.798,0.792,0.925,0.764,0.536,0.598,0.879,0.695,0.612,0.627,0.884
6,0.6000000000000001,9.25,0.74,0.816,0.759,0.924,0.683,0.554,0.581,0.886,0.638,0.639,0.615,0.89
7,0.7000000000000001,10.75,0.6,0.828,0.68,0.915,0.535,0.545,0.513,0.889,0.497,0.635,0.531,0.889
8,0.8,13.15,0.445,0.863,0.57,0.903,0.41,0.574,0.454,0.897,0.397,0.691,0.481,0.899
9,0.9,15.65,0.255,0.903,0.377,0.88,0.248,0.661,0.34,0.9,0.247,0.758,0.355,0.903
