,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.0,0.956,0.678,0.77,0.85,0.915,0.531,0.64,0.799,0.893,0.588,0.672,0.804
1,0.1,0.952,0.686,0.776,0.858,0.91,0.536,0.644,0.806,0.89,0.594,0.678,0.814
2,0.2,0.937,0.723,0.8,0.881,0.887,0.558,0.66,0.828,0.87,0.619,0.694,0.839
3,0.30000000000000004,0.918,0.759,0.818,0.899,0.866,0.581,0.673,0.846,0.84,0.639,0.7,0.854
4,0.4,0.886,0.802,0.828,0.915,0.843,0.616,0.689,0.868,0.801,0.668,0.709,0.874
5,0.5,0.866,0.843,0.841,0.928,0.834,0.652,0.71,0.884,0.784,0.696,0.72,0.889
6,0.6000000000000001,0.807,0.863,0.822,0.927,0.784,0.677,0.705,0.891,0.743,0.722,0.716,0.895
7,0.7000000000000001,0.712,0.884,0.779,0.919,0.697,0.698,0.679,0.893,0.652,0.734,0.675,0.894
8,0.8,0.599,0.915,0.714,0.907,0.614,0.751,0.662,0.901,0.582,0.792,0.659,0.904
9,0.9,0.458,0.957,0.605,0.885,0.505,0.859,0.623,0.904,0.475,0.886,0.61,0.907
