,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,5207.0,10414.0,0.294,0.478,0.364,0.315,0.232,0.267
1,0.1,208.0,5195.0,10390.0,0.294,0.479,0.364,0.315,0.232,0.267
2,0.2,208.0,4538.0,9076.0,0.287,0.52,0.369,0.309,0.254,0.279
3,0.3,208.0,3166.0,6332.0,0.247,0.594,0.348,0.277,0.302,0.289
4,0.4,208.0,2216.0,4432.0,0.211,0.66,0.32,0.254,0.359,0.297
5,0.5,208.0,1089.0,2178.0,0.153,0.747,0.253,0.21,0.464,0.289
6,0.6,208.0,695.0,1390.0,0.129,0.774,0.221,0.185,0.503,0.27
7,0.7,208.0,458.0,916.0,0.114,0.787,0.199,0.172,0.538,0.26
8,0.8,208.0,260.0,520.0,0.098,0.783,0.173,0.158,0.576,0.249
9,0.9,208.0,103.0,206.0,0.085,0.776,0.154,0.143,0.591,0.231
10,0.9,208.0,103.0,206.0,0.085,0.776,0.154,0.143,0.591,0.231
11,0.91,208.0,103.0,206.0,0.085,0.776,0.154,0.143,0.591,0.231
12,0.92,208.0,95.0,190.0,0.085,0.776,0.153,0.143,0.593,0.23
13,0.93,208.0,94.0,188.0,0.084,0.775,0.152,0.142,0.592,0.23
14,0.94,208.0,94.0,188.0,0.084,0.775,0.152,0.142,0.592,0.23
15,0.95,208.0,92.0,184.0,0.084,0.775,0.152,0.142,0.592,0.229
16,0.96,208.0,92.0,184.0,0.084,0.775,0.152,0.142,0.592,0.229
17,0.97,208.0,92.0,184.0,0.084,0.775,0.152,0.142,0.592,0.229
18,0.98,208.0,92.0,184.0,0.084,0.775,0.152,0.142,0.592,0.229
19,0.99,208.0,92.0,184.0,0.084,0.775,0.152,0.142,0.592,0.229
