,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,21408.0,42816.0,0.274,0.121,0.168,0.328,0.065,0.109
1,0.1,208.0,21242.0,42484.0,0.271,0.12,0.167,0.325,0.065,0.109
2,0.2,208.0,21061.0,42122.0,0.27,0.121,0.167,0.325,0.066,0.11
3,0.3,208.0,20844.0,41688.0,0.267,0.121,0.167,0.324,0.066,0.11
4,0.4,208.0,20415.0,40830.0,0.263,0.122,0.166,0.323,0.068,0.112
5,0.5,208.0,19826.0,39652.0,0.258,0.123,0.166,0.319,0.069,0.113
6,0.6,208.0,18557.0,37114.0,0.248,0.126,0.167,0.306,0.07,0.115
7,0.7,208.0,13579.0,27158.0,0.207,0.144,0.17,0.264,0.083,0.126
8,0.8,208.0,3401.0,6802.0,0.114,0.274,0.161,0.17,0.184,0.177
9,0.9,208.0,45.0,90.0,0.079,0.758,0.142,0.133,0.582,0.216
10,0.9,208.0,45.0,90.0,0.079,0.758,0.142,0.133,0.582,0.216
11,0.91,208.0,37.0,74.0,0.079,0.764,0.142,0.133,0.586,0.217
12,0.92,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
13,0.93,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
14,0.94,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
15,0.95,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
16,0.96,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
17,0.97,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
18,0.98,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
19,0.99,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
