,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,21526.0,43052.0,0.272,0.118,0.165,0.318,0.063,0.105
1,0.1,208.0,21525.0,43050.0,0.272,0.118,0.165,0.318,0.063,0.105
2,0.2,208.0,21469.0,42938.0,0.271,0.118,0.165,0.317,0.063,0.105
3,0.3,208.0,21291.0,42582.0,0.268,0.118,0.164,0.314,0.063,0.104
4,0.4,208.0,21182.0,42364.0,0.266,0.118,0.163,0.311,0.062,0.104
5,0.5,208.0,21135.0,42270.0,0.265,0.118,0.163,0.31,0.062,0.103
6,0.6,208.0,21059.0,42118.0,0.265,0.118,0.163,0.31,0.062,0.104
7,0.7,208.0,20789.0,41578.0,0.264,0.119,0.164,0.309,0.063,0.105
8,0.8,208.0,20290.0,40580.0,0.257,0.119,0.162,0.308,0.064,0.107
9,0.9,208.0,19014.0,38028.0,0.247,0.122,0.163,0.3,0.067,0.109
10,0.9,208.0,19014.0,38028.0,0.247,0.122,0.163,0.3,0.067,0.109
11,0.91,208.0,18794.0,37588.0,0.246,0.122,0.163,0.297,0.067,0.109
12,0.92,208.0,18391.0,36782.0,0.243,0.123,0.164,0.293,0.067,0.11
13,0.93,208.0,17870.0,35740.0,0.238,0.124,0.163,0.286,0.068,0.109
14,0.94,208.0,17130.0,34260.0,0.232,0.126,0.163,0.278,0.068,0.11
15,0.95,208.0,16130.0,32260.0,0.223,0.129,0.163,0.269,0.07,0.111
16,0.96,208.0,14598.0,29196.0,0.209,0.132,0.162,0.254,0.073,0.113
17,0.97,208.0,12311.0,24622.0,0.187,0.139,0.159,0.235,0.079,0.119
18,0.98,208.0,7808.0,15616.0,0.145,0.167,0.155,0.196,0.101,0.134
19,0.99,208.0,1517.0,3034.0,0.091,0.38,0.147,0.145,0.274,0.19
