,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,14018.0,28036.0,0.221,0.151,0.179,0.27,0.084,0.128
1,0.1,208.0,11997.0,23994.0,0.206,0.163,0.182,0.255,0.092,0.135
2,0.2,208.0,8271.0,16542.0,0.169,0.192,0.18,0.22,0.113,0.149
3,0.3,208.0,5077.0,10154.0,0.135,0.236,0.172,0.189,0.15,0.167
4,0.4,208.0,2955.0,5910.0,0.109,0.298,0.159,0.164,0.204,0.182
5,0.5,208.0,1703.0,3406.0,0.094,0.377,0.15,0.148,0.271,0.192
6,0.6,208.0,1532.0,3064.0,0.09,0.387,0.147,0.144,0.279,0.19
7,0.7,208.0,1516.0,3032.0,0.09,0.388,0.146,0.143,0.28,0.19
8,0.8,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
9,0.9,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
10,0.9,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
11,0.91,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
12,0.92,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
13,0.93,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
14,0.94,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
15,0.95,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
16,0.96,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
17,0.97,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
18,0.98,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
19,0.99,208.0,1475.0,2950.0,0.089,0.391,0.145,0.142,0.282,0.189
