,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,8105.0,16210.0,0.176,0.205,0.189,0.23,0.122,0.159
1,0.1,208.0,7944.0,15888.0,0.173,0.207,0.189,0.227,0.123,0.159
2,0.2,208.0,1090.0,2180.0,0.099,0.513,0.165,0.149,0.352,0.21
3,0.3,208.0,202.0,404.0,0.082,0.717,0.148,0.137,0.54,0.218
4,0.4,208.0,52.0,104.0,0.079,0.758,0.143,0.133,0.581,0.217
5,0.5,208.0,37.0,74.0,0.078,0.764,0.142,0.133,0.587,0.217
6,0.6,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
7,0.7,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
8,0.8,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
9,0.9,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
10,0.9,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
11,0.91,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
12,0.92,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
13,0.93,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
14,0.94,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
15,0.95,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
16,0.96,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
17,0.97,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
18,0.98,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
19,0.99,208.0,35.0,70.0,0.078,0.765,0.142,0.133,0.587,0.217
