,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,20792.0,41584.0,0.272,0.124,0.17,0.33,0.068,0.113
1,0.1,208.0,7982.0,15964.0,0.195,0.225,0.209,0.255,0.134,0.176
2,0.2,208.0,451.0,902.0,0.096,0.695,0.169,0.154,0.503,0.236
3,0.3,208.0,65.0,130.0,0.081,0.765,0.146,0.136,0.585,0.221
4,0.4,208.0,42.0,84.0,0.079,0.768,0.144,0.134,0.587,0.218
5,0.5,208.0,36.0,72.0,0.079,0.766,0.143,0.133,0.587,0.217
6,0.6,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
7,0.7,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
8,0.8,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
9,0.9,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
10,0.9,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
11,0.91,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
12,0.92,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
13,0.93,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
14,0.94,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
15,0.95,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
16,0.96,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
17,0.97,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
18,0.98,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
19,0.99,208.0,34.0,68.0,0.078,0.766,0.142,0.133,0.588,0.217
