,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,7260.0,14520.0,0.256,0.323,0.285,0.289,0.165,0.21
1,0.1,208.0,5328.0,10656.0,0.251,0.414,0.313,0.279,0.209,0.239
2,0.2,208.0,4510.0,9020.0,0.242,0.46,0.317,0.27,0.233,0.25
3,0.3,208.0,3802.0,7604.0,0.229,0.5,0.314,0.26,0.257,0.259
4,0.4,208.0,3120.0,6240.0,0.209,0.533,0.3,0.241,0.278,0.258
5,0.5,208.0,2246.0,4492.0,0.179,0.587,0.275,0.217,0.321,0.259
6,0.6,208.0,1440.0,2880.0,0.149,0.65,0.243,0.195,0.385,0.259
7,0.7,208.0,901.0,1802.0,0.122,0.676,0.206,0.173,0.435,0.247
8,0.8,208.0,527.0,1054.0,0.107,0.722,0.186,0.163,0.498,0.245
9,0.9,208.0,302.0,604.0,0.094,0.742,0.166,0.151,0.542,0.236
10,0.9,208.0,302.0,604.0,0.094,0.742,0.166,0.151,0.542,0.236
11,0.91,208.0,277.0,554.0,0.093,0.747,0.165,0.15,0.547,0.235
12,0.92,208.0,252.0,504.0,0.091,0.749,0.162,0.148,0.554,0.234
13,0.93,208.0,218.0,436.0,0.089,0.749,0.159,0.147,0.559,0.233
14,0.94,208.0,200.0,400.0,0.088,0.748,0.158,0.146,0.561,0.232
15,0.95,208.0,169.0,338.0,0.086,0.75,0.155,0.144,0.568,0.23
16,0.96,208.0,156.0,312.0,0.086,0.753,0.154,0.144,0.572,0.23
17,0.97,208.0,136.0,272.0,0.084,0.75,0.151,0.141,0.573,0.227
18,0.98,208.0,115.0,230.0,0.082,0.751,0.148,0.14,0.577,0.225
19,0.99,208.0,88.0,176.0,0.081,0.753,0.146,0.136,0.576,0.221
