,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,7171.0,14342.0,0.25,0.32,0.28,0.288,0.167,0.211
1,0.1,208.0,4612.0,9224.0,0.23,0.434,0.301,0.266,0.227,0.245
2,0.2,208.0,3901.0,7802.0,0.213,0.462,0.291,0.245,0.242,0.244
3,0.3,208.0,3277.0,6554.0,0.195,0.491,0.279,0.23,0.261,0.245
4,0.4,208.0,2770.0,5540.0,0.182,0.518,0.27,0.217,0.28,0.245
5,0.5,208.0,2267.0,4534.0,0.166,0.54,0.253,0.204,0.302,0.244
6,0.6,208.0,1814.0,3628.0,0.149,0.561,0.235,0.192,0.328,0.242
7,0.7,208.0,1420.0,2840.0,0.136,0.595,0.222,0.182,0.361,0.242
8,0.8,208.0,978.0,1956.0,0.12,0.636,0.202,0.168,0.403,0.237
9,0.9,208.0,506.0,1012.0,0.098,0.677,0.171,0.153,0.479,0.232
10,0.9,208.0,506.0,1012.0,0.098,0.677,0.171,0.153,0.479,0.232
11,0.91,208.0,432.0,864.0,0.095,0.69,0.167,0.15,0.494,0.23
12,0.92,208.0,369.0,738.0,0.093,0.701,0.164,0.148,0.506,0.229
13,0.93,208.0,320.0,640.0,0.091,0.709,0.162,0.148,0.518,0.23
14,0.94,208.0,294.0,588.0,0.09,0.712,0.16,0.146,0.525,0.229
15,0.95,208.0,257.0,514.0,0.088,0.719,0.157,0.145,0.534,0.228
16,0.96,208.0,211.0,422.0,0.086,0.727,0.154,0.142,0.545,0.226
17,0.97,208.0,169.0,338.0,0.084,0.737,0.151,0.141,0.557,0.225
18,0.98,208.0,127.0,254.0,0.083,0.747,0.149,0.138,0.567,0.222
19,0.99,208.0,94.0,188.0,0.081,0.75,0.145,0.136,0.574,0.22
