,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
1,0.2,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
2,0.30000000000000004,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
3,0.4,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
4,0.5,0.018,0.16,0.032,0.901,0.023,0.094,0.037,0.95,0.075,0.124,0.094,0.975
5,0.6000000000000001,0.013,0.163,0.024,0.903,0.018,0.104,0.031,0.952,0.062,0.141,0.086,0.978
6,0.7000000000000001,0.011,0.179,0.02,0.904,0.016,0.123,0.029,0.954,0.048,0.148,0.072,0.979
7,0.8,0.007,0.231,0.014,0.906,0.012,0.178,0.023,0.956,0.035,0.206,0.06,0.981
8,0.9,0.005,0.348,0.01,0.907,0.01,0.289,0.019,0.958,0.025,0.304,0.046,0.983
9,0.9,0.005,0.348,0.01,0.907,0.01,0.289,0.019,0.958,0.025,0.304,0.046,0.983
10,0.91,0.005,0.351,0.01,0.907,0.009,0.291,0.018,0.958,0.024,0.306,0.045,0.983
11,0.92,0.005,0.368,0.01,0.907,0.009,0.304,0.018,0.958,0.024,0.312,0.044,0.983
12,0.93,0.005,0.373,0.01,0.907,0.009,0.309,0.018,0.958,0.024,0.317,0.044,0.983
13,0.9400000000000001,0.005,0.373,0.01,0.907,0.009,0.309,0.018,0.958,0.024,0.317,0.044,0.983
14,0.9500000000000001,0.005,0.386,0.01,0.907,0.009,0.32,0.018,0.958,0.023,0.32,0.043,0.983
15,0.96,0.005,0.386,0.01,0.907,0.009,0.32,0.018,0.958,0.023,0.32,0.043,0.983
16,0.97,0.005,0.386,0.01,0.907,0.009,0.32,0.018,0.958,0.023,0.32,0.043,0.983
17,0.98,0.005,0.386,0.01,0.907,0.009,0.32,0.018,0.958,0.023,0.32,0.043,0.983
18,0.99,0.005,0.386,0.01,0.907,0.009,0.32,0.018,0.958,0.023,0.32,0.043,0.983
