,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
1,0.2,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
2,0.30000000000000004,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
3,0.4,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
4,0.5,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
5,0.6000000000000001,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
6,0.7000000000000001,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
7,0.8,0.017,0.166,0.031,0.901,0.021,0.093,0.034,0.95,0.071,0.128,0.091,0.976
8,0.9,0.003,0.815,0.006,0.908,0.006,0.815,0.013,0.958,0.014,0.723,0.028,0.983
9,0.9,0.003,0.815,0.006,0.908,0.006,0.815,0.013,0.958,0.014,0.723,0.028,0.983
10,0.91,0.003,0.895,0.006,0.908,0.006,0.895,0.012,0.958,0.014,0.825,0.028,0.983
11,0.92,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
12,0.93,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
13,0.9400000000000001,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
14,0.9500000000000001,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
15,0.96,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
16,0.97,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
17,0.98,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
18,0.99,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
