,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
1,0.2,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
2,0.30000000000000004,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
3,0.4,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
4,0.5,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
5,0.6000000000000001,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
6,0.7000000000000001,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
7,0.8,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
8,0.9,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
9,0.9,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
10,0.91,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
11,0.92,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
12,0.93,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
13,0.9400000000000001,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
14,0.9500000000000001,0.02,0.165,0.035,0.9,0.024,0.092,0.039,0.949,0.078,0.119,0.094,0.975
15,0.96,0.018,0.162,0.033,0.9,0.024,0.094,0.038,0.95,0.075,0.12,0.093,0.975
16,0.97,0.018,0.162,0.032,0.901,0.024,0.096,0.038,0.95,0.075,0.122,0.093,0.975
17,0.98,0.016,0.162,0.028,0.902,0.021,0.098,0.034,0.951,0.071,0.135,0.093,0.977
18,0.99,0.007,0.259,0.014,0.906,0.012,0.2,0.023,0.957,0.035,0.232,0.061,0.982
