,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.163,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
1,0.2,0.019,0.161,0.034,0.9,0.024,0.093,0.038,0.949,0.077,0.119,0.093,0.975
2,0.30000000000000004,0.015,0.161,0.028,0.902,0.021,0.1,0.035,0.951,0.069,0.132,0.09,0.977
3,0.4,0.01,0.167,0.018,0.904,0.015,0.12,0.027,0.954,0.048,0.152,0.073,0.979
4,0.5,0.006,0.249,0.012,0.906,0.011,0.201,0.021,0.957,0.032,0.232,0.056,0.982
5,0.6000000000000001,0.006,0.318,0.012,0.907,0.011,0.258,0.02,0.957,0.029,0.288,0.053,0.982
6,0.7000000000000001,0.006,0.356,0.011,0.907,0.01,0.294,0.02,0.958,0.027,0.315,0.05,0.983
7,0.8,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
8,0.9,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
9,0.9,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
10,0.91,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
11,0.92,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
12,0.93,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
13,0.9400000000000001,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
14,0.9500000000000001,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
15,0.96,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
16,0.97,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
17,0.98,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
18,0.99,0.005,0.363,0.01,0.907,0.01,0.296,0.019,0.958,0.026,0.326,0.048,0.983
