,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.017,0.161,0.031,0.901,0.023,0.097,0.037,0.95,0.074,0.127,0.093,0.976
1,0.2,0.011,0.173,0.021,0.904,0.018,0.126,0.032,0.954,0.054,0.15,0.079,0.979
2,0.30000000000000004,0.004,0.374,0.008,0.907,0.008,0.323,0.015,0.958,0.02,0.333,0.037,0.983
3,0.4,0.003,0.775,0.006,0.908,0.006,0.746,0.013,0.958,0.014,0.662,0.028,0.983
4,0.5,0.003,0.93,0.006,0.908,0.006,0.93,0.013,0.958,0.014,0.825,0.028,0.983
5,0.6000000000000001,0.003,0.93,0.006,0.908,0.006,0.93,0.013,0.958,0.014,0.825,0.028,0.983
6,0.7000000000000001,0.003,0.93,0.006,0.908,0.006,0.93,0.013,0.958,0.014,0.825,0.028,0.983
7,0.8,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
8,0.9,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
9,0.9,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
10,0.91,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
11,0.92,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
12,0.93,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
13,0.9400000000000001,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
14,0.9500000000000001,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
15,0.96,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
16,0.97,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
17,0.98,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
18,0.99,0.003,0.962,0.006,0.908,0.006,0.962,0.012,0.958,0.014,0.887,0.028,0.983
