,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
1,0.2,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
2,0.30000000000000004,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
3,0.4,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
4,0.5,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
5,0.6000000000000001,0.016,0.159,0.03,0.901,0.023,0.101,0.037,0.951,0.069,0.124,0.089,0.976
6,0.7000000000000001,0.015,0.168,0.027,0.902,0.021,0.109,0.036,0.952,0.065,0.134,0.088,0.977
7,0.8,0.011,0.208,0.021,0.905,0.016,0.141,0.029,0.955,0.045,0.158,0.07,0.98
8,0.9,0.007,0.262,0.013,0.906,0.011,0.202,0.021,0.957,0.031,0.223,0.054,0.982
9,0.9,0.007,0.262,0.013,0.906,0.011,0.202,0.021,0.957,0.031,0.223,0.054,0.982
10,0.91,0.007,0.262,0.013,0.906,0.011,0.202,0.021,0.957,0.031,0.223,0.054,0.982
11,0.92,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
12,0.93,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
13,0.9400000000000001,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
14,0.9500000000000001,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
15,0.96,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
16,0.97,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
17,0.98,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
18,0.99,0.007,0.264,0.013,0.906,0.011,0.203,0.021,0.957,0.031,0.224,0.054,0.982
