,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.036,0.9,0.024,0.091,0.038,0.949,0.078,0.117,0.094,0.975
1,0.2,0.02,0.164,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
2,0.30000000000000004,0.02,0.163,0.035,0.9,0.024,0.091,0.038,0.949,0.078,0.118,0.094,0.975
3,0.4,0.02,0.164,0.035,0.9,0.024,0.092,0.038,0.949,0.078,0.118,0.094,0.975
4,0.5,0.02,0.164,0.035,0.9,0.024,0.093,0.039,0.949,0.078,0.119,0.094,0.975
5,0.6000000000000001,0.018,0.164,0.033,0.901,0.023,0.096,0.038,0.95,0.074,0.122,0.092,0.975
6,0.7000000000000001,0.014,0.17,0.026,0.902,0.02,0.108,0.033,0.952,0.06,0.133,0.083,0.977
7,0.8,0.01,0.167,0.019,0.904,0.015,0.111,0.026,0.954,0.05,0.151,0.075,0.979
8,0.9,0.008,0.224,0.015,0.906,0.013,0.172,0.024,0.956,0.033,0.182,0.056,0.981
9,0.9,0.008,0.224,0.015,0.906,0.013,0.172,0.024,0.956,0.033,0.182,0.056,0.981
10,0.91,0.008,0.241,0.015,0.906,0.013,0.185,0.024,0.956,0.032,0.185,0.054,0.981
11,0.92,0.007,0.263,0.014,0.906,0.012,0.205,0.023,0.957,0.03,0.209,0.053,0.982
12,0.93,0.007,0.273,0.013,0.906,0.012,0.211,0.022,0.957,0.03,0.224,0.053,0.982
13,0.9400000000000001,0.007,0.288,0.013,0.907,0.011,0.225,0.021,0.957,0.028,0.225,0.05,0.982
14,0.9500000000000001,0.006,0.326,0.012,0.907,0.011,0.256,0.021,0.957,0.026,0.245,0.046,0.982
15,0.96,0.006,0.342,0.012,0.907,0.011,0.274,0.021,0.957,0.026,0.262,0.047,0.982
16,0.97,0.006,0.378,0.011,0.907,0.011,0.326,0.02,0.958,0.022,0.273,0.041,0.983
17,0.98,0.005,0.394,0.009,0.907,0.01,0.357,0.019,0.958,0.02,0.303,0.038,0.983
18,0.99,0.005,0.528,0.009,0.908,0.009,0.478,0.018,0.958,0.018,0.379,0.035,0.983
