,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.02,0.164,0.035,0.9,0.024,0.092,0.038,0.949,0.078,0.118,0.094,0.975
1,0.2,0.02,0.164,0.035,0.9,0.024,0.092,0.039,0.949,0.077,0.118,0.093,0.975
2,0.30000000000000004,0.018,0.162,0.033,0.901,0.023,0.092,0.036,0.95,0.075,0.122,0.093,0.975
3,0.4,0.018,0.164,0.033,0.901,0.023,0.092,0.036,0.95,0.075,0.123,0.093,0.975
4,0.5,0.015,0.158,0.028,0.901,0.02,0.095,0.033,0.951,0.067,0.126,0.088,0.976
5,0.6000000000000001,0.015,0.165,0.027,0.902,0.02,0.103,0.034,0.952,0.062,0.126,0.083,0.977
6,0.7000000000000001,0.012,0.164,0.023,0.903,0.018,0.107,0.03,0.953,0.051,0.127,0.073,0.978
7,0.8,0.01,0.193,0.019,0.905,0.015,0.132,0.027,0.955,0.041,0.145,0.063,0.98
8,0.9,0.008,0.258,0.015,0.906,0.013,0.196,0.024,0.956,0.033,0.199,0.056,0.981
9,0.9,0.008,0.258,0.015,0.906,0.013,0.196,0.024,0.956,0.033,0.199,0.056,0.981
10,0.91,0.007,0.263,0.014,0.906,0.012,0.201,0.023,0.957,0.031,0.201,0.054,0.982
11,0.92,0.007,0.269,0.014,0.906,0.012,0.211,0.024,0.957,0.03,0.207,0.053,0.982
12,0.93,0.007,0.278,0.013,0.907,0.012,0.228,0.023,0.957,0.03,0.223,0.053,0.982
13,0.9400000000000001,0.007,0.293,0.013,0.907,0.012,0.24,0.023,0.957,0.028,0.225,0.05,0.982
14,0.9500000000000001,0.006,0.335,0.012,0.907,0.011,0.271,0.022,0.957,0.026,0.248,0.046,0.982
15,0.96,0.006,0.344,0.012,0.907,0.011,0.288,0.022,0.957,0.026,0.263,0.047,0.982
16,0.97,0.006,0.352,0.011,0.907,0.011,0.297,0.02,0.958,0.024,0.27,0.044,0.982
17,0.98,0.005,0.422,0.01,0.907,0.009,0.355,0.018,0.958,0.021,0.327,0.039,0.983
18,0.99,0.004,0.49,0.008,0.908,0.008,0.414,0.015,0.958,0.018,0.389,0.035,0.983
