,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.871,0.151,0.258,0.331,0.842,0.09,0.162,0.288,0.661,0.104,0.179,0.271
1,3.0,0.855,0.15,0.255,0.333,0.816,0.088,0.158,0.29,0.625,0.099,0.171,0.269
2,4.0,0.597,0.141,0.228,0.462,0.658,0.095,0.167,0.462,0.536,0.115,0.189,0.445
3,5.0,0.419,0.151,0.222,0.609,0.526,0.116,0.19,0.634,0.339,0.11,0.167,0.591
4,6.0,0.419,0.153,0.224,0.613,0.526,0.118,0.192,0.639,0.339,0.112,0.168,0.596
5,7.0,0.306,0.194,0.237,0.738,0.447,0.173,0.25,0.781,0.179,0.102,0.13,0.712
6,8.0,0.306,0.196,0.239,0.74,0.447,0.175,0.252,0.783,0.179,0.103,0.131,0.714
7,9.0,0.274,0.181,0.218,0.738,0.421,0.17,0.242,0.785,0.179,0.106,0.133,0.72
8,10.0,0.274,0.185,0.221,0.742,0.421,0.174,0.246,0.789,0.179,0.109,0.135,0.725
9,11.0,0.274,0.21,0.238,0.766,0.421,0.198,0.269,0.813,0.089,0.062,0.073,0.727
10,12.0,0.226,0.184,0.203,0.763,0.342,0.171,0.228,0.811,0.071,0.053,0.061,0.733
11,13.0,0.226,0.304,0.259,0.828,0.316,0.261,0.286,0.871,0.036,0.043,0.039,0.789
12,14.0,0.226,0.35,0.275,0.841,0.316,0.3,0.308,0.884,0.018,0.025,0.021,0.798
13,15.0,0.194,0.353,0.25,0.845,0.263,0.294,0.278,0.888,0.018,0.029,0.022,0.811
14,16.0,0.161,0.385,0.227,0.854,0.237,0.346,0.281,0.901,0.018,0.038,0.024,0.828
15,17.0,0.161,0.417,0.233,0.858,0.237,0.375,0.29,0.905,0.018,0.042,0.025,0.832
16,18.0,0.145,0.391,0.212,0.856,0.237,0.391,0.295,0.908,0.018,0.043,0.025,0.834
17,19.0,0.129,0.381,0.193,0.856,0.211,0.381,0.271,0.908,0.018,0.048,0.026,0.839
18,20.0,0.113,0.35,0.171,0.854,0.184,0.35,0.241,0.905,0.018,0.05,0.026,0.841
19,2.0,0.897,0.187,0.309,0.353,0.888,0.128,0.223,0.311,0.734,0.141,0.236,0.294
20,3.0,0.884,0.185,0.306,0.355,0.869,0.126,0.22,0.313,0.706,0.137,0.229,0.292
21,4.0,0.677,0.189,0.296,0.48,0.757,0.146,0.245,0.48,0.636,0.164,0.261,0.463
22,5.0,0.535,0.221,0.313,0.621,0.664,0.189,0.295,0.646,0.483,0.184,0.266,0.605
23,6.0,0.535,0.224,0.316,0.625,0.664,0.191,0.297,0.65,0.483,0.186,0.268,0.609
24,7.0,0.445,0.304,0.361,0.746,0.607,0.286,0.389,0.788,0.357,0.225,0.276,0.721
25,8.0,0.445,0.307,0.363,0.748,0.607,0.289,0.392,0.79,0.357,0.227,0.277,0.723
26,9.0,0.419,0.297,0.348,0.746,0.589,0.288,0.387,0.792,0.357,0.233,0.282,0.729
27,10.0,0.419,0.302,0.351,0.75,0.589,0.293,0.391,0.796,0.357,0.237,0.285,0.734
28,11.0,0.419,0.337,0.374,0.773,0.589,0.326,0.42,0.819,0.287,0.212,0.244,0.736
29,12.0,0.381,0.322,0.349,0.771,0.533,0.311,0.393,0.817,0.273,0.213,0.239,0.742
30,13.0,0.381,0.48,0.424,0.834,0.514,0.447,0.478,0.875,0.245,0.285,0.263,0.796
31,14.0,0.381,0.532,0.444,0.846,0.514,0.495,0.505,0.888,0.231,0.297,0.26,0.804
32,15.0,0.355,0.556,0.433,0.85,0.477,0.515,0.495,0.892,0.231,0.333,0.273,0.817
33,16.0,0.329,0.614,0.429,0.858,0.458,0.59,0.516,0.904,0.231,0.398,0.292,0.834
34,17.0,0.329,0.646,0.436,0.863,0.458,0.62,0.527,0.908,0.231,0.418,0.297,0.838
35,18.0,0.316,0.636,0.422,0.861,0.458,0.636,0.533,0.911,0.231,0.429,0.3,0.84
36,19.0,0.303,0.644,0.412,0.861,0.439,0.644,0.522,0.911,0.231,0.452,0.306,0.844
