,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.871,0.151,0.258,0.331,0.842,0.09,0.162,0.288,0.661,0.104,0.179,0.271
1,3.0,0.855,0.15,0.255,0.333,0.816,0.088,0.158,0.29,0.625,0.099,0.171,0.269
2,4.0,0.532,0.135,0.216,0.484,0.579,0.09,0.156,0.488,0.482,0.111,0.18,0.471
3,5.0,0.355,0.138,0.198,0.617,0.421,0.1,0.162,0.643,0.286,0.1,0.148,0.604
4,6.0,0.371,0.146,0.21,0.628,0.447,0.108,0.174,0.654,0.286,0.102,0.15,0.611
5,7.0,0.29,0.171,0.216,0.718,0.395,0.143,0.21,0.757,0.214,0.114,0.149,0.705
6,8.0,0.274,0.17,0.21,0.725,0.421,0.16,0.232,0.772,0.179,0.1,0.128,0.708
7,9.0,0.29,0.205,0.24,0.755,0.421,0.182,0.254,0.798,0.107,0.068,0.083,0.716
8,10.0,0.323,0.206,0.252,0.744,0.447,0.175,0.252,0.783,0.125,0.072,0.092,0.701
9,11.0,0.274,0.202,0.233,0.759,0.395,0.179,0.246,0.802,0.089,0.06,0.071,0.72
10,12.0,0.194,0.211,0.202,0.796,0.237,0.158,0.189,0.834,0.089,0.088,0.088,0.778
11,13.0,0.177,0.204,0.19,0.798,0.263,0.185,0.217,0.845,0.071,0.074,0.073,0.781
12,14.0,0.097,0.14,0.114,0.8,0.158,0.14,0.148,0.852,0.089,0.116,0.101,0.809
13,15.0,0.113,0.206,0.146,0.824,0.158,0.176,0.167,0.871,0.036,0.059,0.044,0.815
14,16.0,0.065,0.16,0.092,0.83,0.079,0.12,0.095,0.877,0.018,0.04,0.025,0.83
15,17.0,0.065,0.16,0.092,0.83,0.079,0.12,0.095,0.877,0.036,0.08,0.049,0.834
16,18.0,0.081,0.227,0.119,0.841,0.132,0.227,0.167,0.892,0.018,0.045,0.026,0.837
17,19.0,0.129,0.267,0.174,0.837,0.211,0.267,0.235,0.888,0.054,0.1,0.07,0.828
18,20.0,0.048,0.214,0.079,0.849,0.053,0.143,0.077,0.897,0.018,0.071,0.029,0.854
19,2.0,0.897,0.187,0.309,0.353,0.888,0.128,0.223,0.311,0.734,0.141,0.236,0.294
20,3.0,0.884,0.185,0.306,0.355,0.869,0.126,0.22,0.313,0.706,0.137,0.229,0.292
21,4.0,0.626,0.187,0.288,0.501,0.701,0.145,0.24,0.505,0.594,0.164,0.257,0.488
22,5.0,0.484,0.214,0.296,0.63,0.589,0.179,0.275,0.655,0.441,0.179,0.255,0.617
23,6.0,0.497,0.223,0.308,0.64,0.607,0.188,0.288,0.665,0.441,0.183,0.258,0.623
24,7.0,0.432,0.278,0.338,0.727,0.57,0.253,0.351,0.765,0.385,0.228,0.286,0.715
25,8.0,0.419,0.281,0.337,0.734,0.589,0.273,0.373,0.779,0.357,0.221,0.273,0.717
26,9.0,0.432,0.324,0.37,0.763,0.589,0.304,0.401,0.804,0.301,0.208,0.246,0.725
27,10.0,0.458,0.316,0.374,0.752,0.607,0.289,0.392,0.79,0.315,0.2,0.245,0.711
28,11.0,0.419,0.327,0.367,0.767,0.57,0.307,0.399,0.809,0.287,0.206,0.24,0.729
29,12.0,0.355,0.379,0.367,0.802,0.458,0.338,0.389,0.84,0.287,0.283,0.285,0.786
30,13.0,0.342,0.381,0.361,0.804,0.477,0.367,0.415,0.85,0.273,0.281,0.277,0.788
31,14.0,0.277,0.368,0.316,0.806,0.402,0.368,0.384,0.856,0.287,0.35,0.315,0.815
32,15.0,0.29,0.455,0.354,0.829,0.402,0.434,0.417,0.875,0.245,0.354,0.289,0.821
33,16.0,0.252,0.481,0.331,0.836,0.346,0.457,0.394,0.881,0.231,0.407,0.295,0.836
34,17.0,0.252,0.481,0.331,0.836,0.346,0.457,0.394,0.881,0.245,0.432,0.312,0.84
35,18.0,0.265,0.547,0.357,0.846,0.383,0.547,0.451,0.896,0.231,0.44,0.303,0.842
36,19.0,0.303,0.516,0.382,0.842,0.439,0.516,0.475,0.892,0.259,0.407,0.316,0.834
