,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
1,0.2,0.935,0.132,0.231,0.168,0.895,0.077,0.142,0.116,0.893,0.113,0.201,0.146
2,0.30000000000000004,0.935,0.133,0.232,0.176,0.895,0.078,0.143,0.125,0.875,0.112,0.199,0.151
3,0.4,0.903,0.148,0.254,0.292,0.895,0.09,0.163,0.249,0.75,0.111,0.193,0.245
4,0.5,0.871,0.144,0.248,0.295,0.842,0.086,0.155,0.252,0.696,0.104,0.181,0.243
5,0.6000000000000001,0.806,0.147,0.249,0.351,0.789,0.088,0.159,0.316,0.625,0.103,0.177,0.299
6,0.7000000000000001,0.71,0.159,0.26,0.462,0.711,0.098,0.172,0.441,0.607,0.123,0.205,0.432
7,0.8,0.145,0.17,0.157,0.791,0.211,0.151,0.176,0.839,0.107,0.113,0.11,0.791
8,0.9,0.742,0.153,0.254,0.419,0.737,0.093,0.166,0.394,0.607,0.113,0.191,0.381
9,0.91,0.742,0.153,0.254,0.419,0.737,0.093,0.166,0.394,0.607,0.113,0.191,0.381
10,0.911,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
11,0.912,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
12,0.913,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
13,0.914,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
14,0.915,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
15,0.916,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
16,0.917,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
17,0.918,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
18,0.919,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
