,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.871,0.151,0.258,0.331,0.842,0.09,0.162,0.288,0.661,0.104,0.179,0.271
1,3.0,0.887,0.147,0.253,0.301,0.868,0.088,0.161,0.258,0.696,0.105,0.182,0.245
2,4.0,0.855,0.167,0.279,0.411,0.816,0.097,0.174,0.368,0.607,0.107,0.182,0.342
3,5.0,0.903,0.147,0.253,0.29,0.895,0.089,0.163,0.247,0.732,0.108,0.188,0.239
4,6.0,0.839,0.157,0.265,0.378,0.842,0.097,0.173,0.344,0.679,0.115,0.196,0.331
5,7.0,0.823,0.155,0.262,0.381,0.816,0.095,0.169,0.346,0.661,0.113,0.193,0.333
6,8.0,0.774,0.155,0.259,0.409,0.737,0.091,0.161,0.374,0.607,0.11,0.186,0.361
7,9.0,0.742,0.154,0.256,0.424,0.684,0.087,0.155,0.389,0.571,0.107,0.181,0.376
8,10.0,0.742,0.156,0.258,0.432,0.684,0.088,0.157,0.398,0.554,0.105,0.177,0.381
9,11.0,0.726,0.154,0.254,0.432,0.658,0.086,0.152,0.398,0.536,0.103,0.172,0.381
10,12.0,0.758,0.151,0.251,0.398,0.684,0.083,0.149,0.359,0.554,0.099,0.168,0.342
11,13.0,0.726,0.151,0.25,0.419,0.684,0.087,0.155,0.389,0.571,0.107,0.181,0.376
12,14.0,0.758,0.152,0.253,0.402,0.684,0.084,0.149,0.363,0.536,0.097,0.164,0.342
13,15.0,0.758,0.152,0.253,0.404,0.684,0.084,0.15,0.366,0.536,0.097,0.164,0.344
14,16.0,0.758,0.153,0.254,0.406,0.684,0.084,0.15,0.368,0.536,0.097,0.165,0.346
15,17.0,0.71,0.154,0.253,0.441,0.658,0.087,0.154,0.411,0.536,0.105,0.175,0.394
16,18.0,0.71,0.154,0.253,0.441,0.658,0.087,0.154,0.411,0.536,0.105,0.175,0.394
17,19.0,0.694,0.152,0.249,0.443,0.658,0.088,0.156,0.417,0.536,0.106,0.177,0.4
18,20.0,0.694,0.152,0.249,0.443,0.658,0.088,0.156,0.417,0.536,0.106,0.177,0.4
19,2.0,0.897,0.187,0.309,0.353,0.888,0.128,0.223,0.311,0.734,0.141,0.236,0.294
20,3.0,0.91,0.181,0.303,0.324,0.907,0.125,0.219,0.282,0.762,0.14,0.237,0.27
21,4.0,0.845,0.196,0.319,0.417,0.85,0.136,0.235,0.384,0.72,0.154,0.254,0.371
22,5.0,0.923,0.183,0.305,0.322,0.925,0.126,0.222,0.28,0.762,0.139,0.235,0.263
23,6.0,0.923,0.18,0.301,0.309,0.925,0.125,0.22,0.267,0.79,0.142,0.241,0.259
24,7.0,0.858,0.194,0.316,0.401,0.869,0.135,0.234,0.367,0.734,0.153,0.253,0.355
25,8.0,0.819,0.196,0.316,0.428,0.813,0.134,0.23,0.394,0.692,0.153,0.25,0.382
26,9.0,0.858,0.193,0.315,0.399,0.869,0.135,0.234,0.365,0.734,0.152,0.252,0.353
27,10.0,0.755,0.188,0.301,0.434,0.757,0.13,0.222,0.409,0.65,0.149,0.243,0.396
28,11.0,0.897,0.185,0.307,0.347,0.907,0.129,0.226,0.309,0.79,0.15,0.253,0.305
29,12.0,0.806,0.192,0.31,0.421,0.776,0.127,0.219,0.384,0.636,0.14,0.229,0.363
30,13.0,0.858,0.193,0.315,0.399,0.85,0.132,0.229,0.361,0.692,0.144,0.238,0.34
31,14.0,0.781,0.193,0.309,0.438,0.776,0.132,0.226,0.409,0.664,0.152,0.247,0.396
32,15.0,0.806,0.193,0.311,0.424,0.776,0.128,0.22,0.386,0.636,0.14,0.23,0.365
33,16.0,0.768,0.197,0.314,0.459,0.757,0.134,0.228,0.43,0.636,0.151,0.244,0.413
34,17.0,0.768,0.197,0.314,0.459,0.757,0.134,0.228,0.43,0.636,0.151,0.244,0.413
35,18.0,0.858,0.194,0.317,0.403,0.85,0.133,0.23,0.365,0.692,0.145,0.239,0.344
36,19.0,0.755,0.196,0.311,0.461,0.757,0.136,0.23,0.436,0.636,0.152,0.246,0.419
