,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.903,0.147,0.253,0.288,0.895,0.089,0.162,0.245,0.75,0.11,0.192,0.241
1,3.0,0.758,0.165,0.271,0.456,0.737,0.098,0.173,0.426,0.625,0.123,0.205,0.417
2,4.0,0.5,0.197,0.283,0.662,0.5,0.121,0.195,0.662,0.321,0.115,0.169,0.619
3,5.0,0.323,0.2,0.247,0.738,0.421,0.16,0.232,0.772,0.25,0.14,0.179,0.725
4,6.0,0.323,0.169,0.222,0.699,0.421,0.136,0.205,0.733,0.25,0.119,0.161,0.686
5,7.0,0.161,0.152,0.156,0.768,0.184,0.106,0.135,0.806,0.107,0.091,0.098,0.763
6,8.0,0.145,0.155,0.15,0.781,0.184,0.121,0.146,0.824,0.125,0.121,0.123,0.785
7,9.0,0.177,0.162,0.169,0.768,0.237,0.132,0.17,0.811,0.143,0.118,0.129,0.768
8,10.0,0.113,0.135,0.123,0.785,0.079,0.058,0.067,0.819,0.054,0.058,0.056,0.781
9,11.0,0.081,0.116,0.095,0.796,0.105,0.093,0.099,0.843,0.071,0.093,0.081,0.804
10,12.0,0.048,0.094,0.064,0.811,0.053,0.062,0.057,0.858,0.054,0.094,0.068,0.824
11,13.0,0.065,0.129,0.086,0.817,0.053,0.065,0.058,0.86,0.054,0.097,0.069,0.826
12,14.0,0.081,0.147,0.104,0.815,0.079,0.088,0.083,0.858,0.071,0.118,0.089,0.824
13,15.0,0.048,0.136,0.071,0.832,0.026,0.045,0.033,0.875,0.018,0.045,0.026,0.837
14,16.0,0.081,0.143,0.103,0.813,0.053,0.057,0.055,0.852,0.054,0.086,0.066,0.817
15,17.0,0.048,0.125,0.07,0.828,0.026,0.042,0.032,0.871,0.036,0.083,0.05,0.837
16,2.0,0.923,0.18,0.302,0.311,0.925,0.125,0.22,0.27,0.804,0.145,0.246,0.265
17,3.0,0.806,0.208,0.331,0.473,0.813,0.145,0.246,0.444,0.706,0.168,0.272,0.436
18,4.0,0.6,0.27,0.372,0.673,0.645,0.2,0.305,0.673,0.469,0.194,0.275,0.632
19,5.0,0.458,0.307,0.368,0.746,0.589,0.273,0.373,0.779,0.413,0.255,0.316,0.734
20,6.0,0.458,0.266,0.336,0.709,0.589,0.236,0.337,0.742,0.413,0.221,0.288,0.696
21,7.0,0.329,0.313,0.321,0.775,0.421,0.276,0.333,0.813,0.301,0.264,0.281,0.771
22,8.0,0.316,0.333,0.325,0.788,0.421,0.306,0.354,0.829,0.315,0.306,0.31,0.792
23,9.0,0.342,0.317,0.329,0.775,0.458,0.293,0.358,0.817,0.329,0.281,0.303,0.775
24,10.0,0.29,0.333,0.31,0.792,0.346,0.274,0.306,0.825,0.259,0.274,0.266,0.788
25,11.0,0.265,0.35,0.301,0.802,0.364,0.333,0.348,0.848,0.273,0.333,0.3,0.811
26,12.0,0.239,0.389,0.296,0.817,0.327,0.368,0.347,0.863,0.259,0.389,0.311,0.829
27,13.0,0.252,0.419,0.315,0.823,0.327,0.376,0.35,0.865,0.259,0.398,0.314,0.831
28,14.0,0.265,0.414,0.323,0.821,0.346,0.374,0.359,0.863,0.273,0.394,0.322,0.829
29,15.0,0.239,0.493,0.322,0.838,0.308,0.44,0.363,0.879,0.231,0.44,0.303,0.842
30,16.0,0.265,0.406,0.32,0.819,0.327,0.347,0.337,0.856,0.259,0.366,0.303,0.823
31,17.0,0.239,0.468,0.316,0.834,0.308,0.418,0.355,0.875,0.245,0.443,0.315,0.842
32,18.0,0.226,0.402,0.289,0.821,0.29,0.356,0.32,0.863,0.259,0.425,0.322,0.838
33,19.0,0.226,0.522,0.315,0.842,0.308,0.493,0.379,0.888,0.273,0.582,0.371,0.863
