,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.856,0.093,0.167,0.23,0.841,0.04,0.076,0.193,0.835,0.015,0.029,0.175
1,3.0,0.589,0.092,0.158,0.434,0.572,0.039,0.073,0.424,0.596,0.015,0.029,0.421
2,4.0,0.586,0.092,0.158,0.437,0.568,0.039,0.073,0.427,0.593,0.015,0.029,0.424
3,5.0,0.339,0.092,0.144,0.636,0.317,0.038,0.067,0.651,0.334,0.015,0.028,0.661
4,6.0,0.339,0.092,0.144,0.637,0.317,0.038,0.067,0.652,0.334,0.015,0.028,0.661
5,7.0,0.325,0.092,0.143,0.647,0.302,0.037,0.067,0.663,0.323,0.015,0.028,0.674
6,8.0,0.217,0.091,0.129,0.735,0.2,0.037,0.063,0.762,0.214,0.015,0.027,0.778
7,9.0,0.205,0.092,0.127,0.745,0.188,0.037,0.062,0.774,0.202,0.015,0.027,0.79
8,10.0,0.149,0.09,0.112,0.787,0.138,0.037,0.058,0.822,0.149,0.015,0.026,0.84
9,11.0,0.121,0.091,0.103,0.811,0.111,0.037,0.055,0.849,0.115,0.014,0.025,0.869
10,12.0,0.1,0.088,0.094,0.825,0.098,0.038,0.055,0.866,0.095,0.014,0.024,0.886
11,13.0,0.095,0.089,0.092,0.831,0.093,0.039,0.055,0.872,0.088,0.013,0.023,0.892
12,14.0,0.093,0.089,0.091,0.832,0.092,0.038,0.054,0.873,0.085,0.013,0.023,0.893
13,15.0,0.093,0.089,0.091,0.832,0.092,0.038,0.054,0.873,0.085,0.013,0.023,0.893
14,16.0,0.092,0.089,0.091,0.833,0.09,0.038,0.054,0.874,0.084,0.013,0.023,0.895
15,17.0,0.088,0.09,0.089,0.837,0.084,0.038,0.052,0.879,0.08,0.013,0.023,0.899
16,18.0,0.079,0.09,0.084,0.844,0.076,0.038,0.05,0.886,0.073,0.013,0.023,0.908
17,19.0,0.073,0.092,0.081,0.85,0.07,0.038,0.05,0.893,0.066,0.013,0.022,0.915
18,20.0,0.073,0.091,0.081,0.851,0.069,0.038,0.049,0.894,0.065,0.013,0.022,0.915
19,2.0,0.859,0.095,0.171,0.232,0.85,0.043,0.081,0.194,0.858,0.017,0.034,0.177
20,3.0,0.599,0.095,0.164,0.436,0.595,0.043,0.08,0.425,0.651,0.019,0.036,0.422
21,4.0,0.596,0.095,0.164,0.438,0.592,0.043,0.08,0.428,0.648,0.019,0.037,0.426
22,5.0,0.355,0.098,0.153,0.637,0.355,0.044,0.079,0.652,0.425,0.021,0.04,0.661
23,6.0,0.355,0.098,0.153,0.638,0.354,0.044,0.079,0.652,0.424,0.021,0.04,0.662
24,7.0,0.341,0.098,0.152,0.648,0.34,0.044,0.078,0.664,0.415,0.022,0.041,0.675
25,8.0,0.236,0.101,0.141,0.735,0.244,0.047,0.079,0.763,0.32,0.025,0.046,0.778
26,9.0,0.224,0.102,0.14,0.746,0.232,0.048,0.079,0.774,0.31,0.026,0.047,0.79
27,10.0,0.17,0.104,0.129,0.788,0.185,0.051,0.08,0.822,0.264,0.029,0.053,0.841
28,11.0,0.142,0.107,0.122,0.812,0.16,0.055,0.081,0.849,0.235,0.032,0.057,0.869
29,12.0,0.122,0.108,0.115,0.826,0.147,0.059,0.084,0.866,0.217,0.035,0.06,0.886
30,13.0,0.117,0.11,0.114,0.831,0.143,0.061,0.085,0.872,0.211,0.036,0.062,0.892
31,14.0,0.115,0.11,0.113,0.832,0.141,0.061,0.085,0.873,0.209,0.036,0.062,0.893
32,15.0,0.115,0.11,0.113,0.832,0.141,0.061,0.085,0.873,0.209,0.036,0.062,0.894
33,16.0,0.114,0.111,0.113,0.833,0.139,0.061,0.085,0.874,0.208,0.037,0.062,0.895
34,17.0,0.11,0.113,0.112,0.837,0.134,0.062,0.085,0.879,0.204,0.038,0.064,0.9
35,18.0,0.102,0.115,0.108,0.844,0.126,0.064,0.085,0.887,0.199,0.041,0.068,0.908
36,19.0,0.096,0.119,0.106,0.851,0.12,0.068,0.087,0.894,0.192,0.043,0.071,0.915
