,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.856,0.093,0.167,0.23,0.841,0.04,0.076,0.193,0.835,0.015,0.029,0.175
1,3.0,0.742,0.093,0.165,0.32,0.727,0.04,0.076,0.294,0.755,0.015,0.03,0.283
2,4.0,0.555,0.091,0.156,0.456,0.542,0.039,0.072,0.449,0.575,0.015,0.029,0.448
3,5.0,0.327,0.092,0.144,0.648,0.3,0.037,0.066,0.663,0.317,0.014,0.028,0.674
4,6.0,0.249,0.095,0.138,0.717,0.233,0.039,0.067,0.742,0.235,0.014,0.027,0.755
5,7.0,0.256,0.094,0.138,0.711,0.241,0.039,0.067,0.735,0.255,0.015,0.029,0.748
6,8.0,0.169,0.094,0.121,0.778,0.165,0.04,0.065,0.811,0.168,0.015,0.028,0.828
7,9.0,0.172,0.094,0.122,0.776,0.167,0.04,0.065,0.808,0.165,0.015,0.027,0.825
8,10.0,0.16,0.094,0.118,0.785,0.155,0.04,0.064,0.819,0.156,0.015,0.027,0.836
9,11.0,0.117,0.092,0.103,0.816,0.116,0.04,0.06,0.855,0.115,0.015,0.026,0.874
10,12.0,0.131,0.093,0.109,0.806,0.129,0.04,0.061,0.844,0.127,0.015,0.026,0.862
11,13.0,0.127,0.093,0.107,0.808,0.124,0.04,0.06,0.846,0.131,0.015,0.027,0.865
12,14.0,0.113,0.096,0.104,0.823,0.104,0.039,0.057,0.862,0.112,0.015,0.027,0.882
13,15.0,0.091,0.098,0.095,0.842,0.087,0.041,0.056,0.883,0.087,0.015,0.026,0.904
14,16.0,0.095,0.092,0.093,0.833,0.093,0.04,0.056,0.874,0.113,0.018,0.031,0.895
15,17.0,0.091,0.094,0.092,0.839,0.091,0.042,0.057,0.881,0.091,0.015,0.026,0.901
16,18.0,0.087,0.097,0.091,0.844,0.087,0.042,0.057,0.886,0.082,0.015,0.025,0.907
17,19.0,0.077,0.093,0.084,0.848,0.076,0.04,0.053,0.891,0.08,0.015,0.026,0.912
18,20.0,0.068,0.093,0.079,0.855,0.071,0.042,0.053,0.899,0.071,0.015,0.025,0.921
19,2.0,0.859,0.095,0.171,0.232,0.85,0.043,0.081,0.194,0.858,0.017,0.034,0.177
20,3.0,0.748,0.096,0.169,0.321,0.742,0.043,0.081,0.296,0.789,0.018,0.036,0.285
21,4.0,0.566,0.094,0.162,0.457,0.567,0.043,0.08,0.451,0.633,0.019,0.037,0.449
22,5.0,0.344,0.099,0.153,0.648,0.338,0.044,0.078,0.664,0.41,0.021,0.04,0.674
23,6.0,0.268,0.104,0.149,0.718,0.275,0.048,0.082,0.742,0.338,0.024,0.044,0.756
24,7.0,0.274,0.103,0.149,0.712,0.283,0.048,0.082,0.735,0.356,0.024,0.045,0.749
25,8.0,0.189,0.106,0.136,0.778,0.211,0.054,0.086,0.812,0.281,0.029,0.052,0.828
26,9.0,0.193,0.107,0.137,0.776,0.212,0.053,0.085,0.809,0.278,0.028,0.051,0.825
27,10.0,0.181,0.107,0.134,0.785,0.201,0.054,0.085,0.819,0.27,0.029,0.052,0.836
28,11.0,0.139,0.11,0.123,0.816,0.164,0.059,0.087,0.855,0.235,0.034,0.059,0.874
29,12.0,0.152,0.109,0.127,0.807,0.176,0.057,0.086,0.844,0.245,0.032,0.057,0.863
30,13.0,0.149,0.109,0.126,0.809,0.172,0.057,0.085,0.846,0.249,0.033,0.058,0.865
31,14.0,0.135,0.115,0.124,0.824,0.153,0.059,0.085,0.862,0.232,0.036,0.062,0.882
32,15.0,0.114,0.122,0.118,0.842,0.137,0.066,0.089,0.883,0.21,0.041,0.068,0.904
33,16.0,0.117,0.113,0.115,0.834,0.142,0.062,0.087,0.875,0.233,0.041,0.07,0.896
34,17.0,0.113,0.117,0.115,0.84,0.14,0.066,0.09,0.881,0.214,0.04,0.068,0.901
35,18.0,0.109,0.121,0.115,0.844,0.136,0.069,0.091,0.886,0.206,0.042,0.069,0.907
36,19.0,0.1,0.119,0.109,0.848,0.126,0.068,0.088,0.891,0.204,0.044,0.072,0.912
