,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.871,0.094,0.169,0.224,0.873,0.041,0.079,0.187,0.873,0.015,0.03,0.168
1,3.0,0.774,0.093,0.167,0.301,0.761,0.04,0.077,0.272,0.771,0.015,0.029,0.259
2,4.0,0.767,0.094,0.167,0.309,0.748,0.04,0.076,0.28,0.795,0.016,0.031,0.269
3,5.0,0.861,0.094,0.169,0.233,0.856,0.041,0.078,0.196,0.871,0.015,0.03,0.178
4,6.0,0.809,0.094,0.169,0.278,0.789,0.04,0.077,0.246,0.814,0.015,0.03,0.232
5,7.0,0.789,0.095,0.17,0.302,0.782,0.041,0.079,0.272,0.802,0.016,0.031,0.259
6,8.0,0.818,0.094,0.169,0.271,0.811,0.041,0.078,0.238,0.827,0.015,0.03,0.223
7,9.0,0.825,0.094,0.168,0.263,0.815,0.041,0.077,0.229,0.837,0.015,0.03,0.214
8,10.0,0.854,0.094,0.169,0.239,0.848,0.041,0.078,0.203,0.865,0.015,0.03,0.186
9,11.0,0.85,0.094,0.168,0.241,0.84,0.041,0.077,0.205,0.86,0.015,0.03,0.189
10,12.0,0.824,0.094,0.168,0.263,0.814,0.041,0.077,0.23,0.841,0.015,0.03,0.215
11,13.0,0.847,0.094,0.17,0.251,0.842,0.041,0.078,0.215,0.855,0.015,0.03,0.198
12,14.0,0.835,0.094,0.169,0.256,0.825,0.041,0.078,0.221,0.847,0.015,0.03,0.205
13,15.0,0.837,0.094,0.169,0.253,0.835,0.041,0.078,0.219,0.841,0.015,0.03,0.202
14,16.0,0.826,0.094,0.169,0.265,0.821,0.041,0.078,0.232,0.834,0.015,0.03,0.216
15,17.0,0.833,0.094,0.169,0.257,0.826,0.041,0.078,0.222,0.846,0.015,0.03,0.206
16,18.0,0.831,0.094,0.169,0.258,0.823,0.041,0.078,0.224,0.844,0.015,0.03,0.209
17,19.0,0.851,0.094,0.169,0.243,0.845,0.041,0.078,0.207,0.857,0.015,0.03,0.19
18,20.0,0.834,0.093,0.168,0.254,0.827,0.041,0.078,0.219,0.846,0.015,0.03,0.203
19,2.0,0.875,0.096,0.173,0.226,0.88,0.044,0.083,0.189,0.89,0.018,0.035,0.17
20,3.0,0.78,0.096,0.171,0.302,0.774,0.043,0.082,0.273,0.802,0.018,0.035,0.261
21,4.0,0.773,0.097,0.172,0.311,0.762,0.043,0.082,0.283,0.822,0.019,0.036,0.271
22,5.0,0.866,0.096,0.173,0.233,0.865,0.043,0.083,0.196,0.889,0.018,0.035,0.179
23,6.0,0.812,0.097,0.173,0.282,0.796,0.043,0.082,0.249,0.837,0.018,0.035,0.236
24,7.0,0.794,0.097,0.174,0.301,0.798,0.044,0.084,0.271,0.83,0.018,0.036,0.257
25,8.0,0.822,0.097,0.173,0.273,0.821,0.044,0.083,0.24,0.85,0.018,0.036,0.225
26,9.0,0.822,0.096,0.173,0.271,0.824,0.044,0.083,0.239,0.851,0.018,0.035,0.223
27,10.0,0.849,0.096,0.172,0.246,0.847,0.043,0.082,0.211,0.878,0.018,0.035,0.194
28,11.0,0.848,0.096,0.173,0.248,0.849,0.044,0.083,0.213,0.874,0.018,0.035,0.197
29,12.0,0.834,0.097,0.173,0.263,0.83,0.044,0.083,0.229,0.862,0.018,0.036,0.214
30,13.0,0.834,0.097,0.173,0.264,0.834,0.044,0.083,0.231,0.859,0.018,0.035,0.215
31,14.0,0.856,0.096,0.173,0.245,0.85,0.043,0.082,0.208,0.88,0.018,0.035,0.191
32,15.0,0.864,0.096,0.173,0.235,0.861,0.043,0.083,0.198,0.888,0.018,0.035,0.181
33,16.0,0.849,0.096,0.173,0.249,0.849,0.044,0.083,0.214,0.875,0.018,0.035,0.197
34,17.0,0.848,0.096,0.173,0.251,0.847,0.044,0.083,0.215,0.869,0.018,0.035,0.199
35,18.0,0.835,0.096,0.173,0.261,0.831,0.043,0.083,0.227,0.862,0.018,0.035,0.211
36,19.0,0.835,0.096,0.173,0.261,0.835,0.044,0.083,0.227,0.861,0.018,0.035,0.211
