,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.918,0.09,0.165,0.158,0.923,0.04,0.077,0.116,0.921,0.015,0.029,0.095
1,3.0,0.858,0.093,0.168,0.229,0.839,0.04,0.076,0.191,0.837,0.015,0.029,0.174
2,4.0,0.858,0.093,0.168,0.229,0.839,0.04,0.076,0.191,0.837,0.015,0.029,0.174
3,5.0,0.846,0.093,0.167,0.236,0.835,0.04,0.077,0.2,0.825,0.015,0.029,0.183
4,6.0,0.846,0.093,0.167,0.236,0.835,0.04,0.077,0.2,0.825,0.015,0.029,0.183
5,7.0,0.845,0.093,0.167,0.237,0.834,0.04,0.077,0.201,0.824,0.015,0.029,0.184
6,8.0,0.845,0.093,0.167,0.237,0.834,0.04,0.077,0.201,0.824,0.015,0.029,0.184
7,9.0,0.752,0.093,0.165,0.312,0.731,0.04,0.075,0.284,0.76,0.015,0.03,0.274
8,10.0,0.75,0.093,0.165,0.313,0.729,0.04,0.075,0.286,0.758,0.015,0.03,0.275
9,11.0,0.749,0.093,0.165,0.313,0.729,0.04,0.075,0.286,0.758,0.015,0.03,0.275
10,12.0,0.767,0.093,0.166,0.301,0.755,0.04,0.076,0.273,0.77,0.015,0.029,0.261
11,13.0,0.767,0.093,0.166,0.301,0.755,0.04,0.076,0.273,0.77,0.015,0.029,0.261
12,14.0,0.753,0.093,0.165,0.311,0.734,0.04,0.075,0.284,0.756,0.015,0.029,0.273
13,15.0,0.757,0.093,0.165,0.308,0.739,0.04,0.075,0.28,0.758,0.015,0.029,0.269
14,16.0,0.487,0.095,0.159,0.533,0.481,0.041,0.076,0.534,0.471,0.015,0.029,0.535
15,17.0,0.487,0.095,0.159,0.533,0.481,0.041,0.076,0.534,0.471,0.015,0.029,0.535
16,18.0,0.421,0.095,0.155,0.584,0.398,0.039,0.072,0.59,0.406,0.015,0.028,0.596
17,19.0,0.379,0.094,0.15,0.613,0.353,0.038,0.069,0.623,0.364,0.015,0.028,0.631
18,20.0,0.367,0.094,0.15,0.624,0.339,0.038,0.069,0.636,0.35,0.014,0.028,0.644
19,2.0,0.92,0.093,0.168,0.16,0.928,0.042,0.081,0.118,0.933,0.017,0.033,0.097
20,3.0,0.862,0.095,0.172,0.231,0.848,0.042,0.081,0.193,0.86,0.017,0.034,0.176
21,4.0,0.862,0.095,0.172,0.231,0.848,0.042,0.081,0.193,0.86,0.017,0.034,0.176
22,5.0,0.85,0.095,0.171,0.238,0.844,0.043,0.081,0.202,0.85,0.017,0.034,0.185
23,6.0,0.85,0.095,0.171,0.238,0.844,0.043,0.081,0.202,0.85,0.017,0.034,0.185
24,7.0,0.849,0.095,0.171,0.239,0.843,0.043,0.081,0.203,0.849,0.017,0.034,0.186
25,8.0,0.849,0.095,0.171,0.239,0.843,0.043,0.081,0.203,0.849,0.017,0.034,0.186
26,9.0,0.758,0.095,0.169,0.313,0.746,0.043,0.08,0.286,0.793,0.018,0.035,0.275
27,10.0,0.756,0.095,0.169,0.314,0.744,0.042,0.08,0.287,0.791,0.018,0.035,0.276
28,11.0,0.756,0.095,0.169,0.314,0.744,0.042,0.08,0.287,0.791,0.018,0.035,0.277
29,12.0,0.772,0.096,0.17,0.303,0.769,0.043,0.082,0.275,0.801,0.018,0.035,0.262
30,13.0,0.772,0.096,0.17,0.303,0.769,0.043,0.082,0.275,0.801,0.018,0.035,0.262
31,14.0,0.759,0.095,0.17,0.312,0.749,0.043,0.081,0.285,0.789,0.018,0.035,0.274
32,15.0,0.763,0.095,0.17,0.309,0.754,0.043,0.081,0.282,0.792,0.018,0.035,0.271
33,16.0,0.499,0.099,0.166,0.534,0.51,0.046,0.084,0.535,0.543,0.02,0.038,0.536
34,17.0,0.499,0.099,0.166,0.534,0.51,0.046,0.084,0.535,0.543,0.02,0.038,0.536
35,18.0,0.436,0.1,0.163,0.585,0.431,0.045,0.081,0.591,0.487,0.02,0.039,0.597
36,19.0,0.394,0.1,0.159,0.614,0.388,0.044,0.08,0.624,0.45,0.021,0.039,0.632
