,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.935,0.143,0.247,0.241,0.895,0.084,0.153,0.189,0.786,0.108,0.19,0.194
1,3.0,0.758,0.164,0.269,0.452,0.816,0.108,0.191,0.434,0.464,0.091,0.152,0.374
2,4.0,0.758,0.164,0.27,0.454,0.816,0.108,0.191,0.437,0.464,0.091,0.152,0.376
3,5.0,0.758,0.167,0.273,0.462,0.816,0.11,0.194,0.445,0.464,0.092,0.154,0.385
4,6.0,0.726,0.161,0.264,0.46,0.763,0.104,0.183,0.443,0.464,0.093,0.155,0.391
5,7.0,0.274,0.122,0.169,0.641,0.289,0.079,0.124,0.667,0.268,0.108,0.154,0.645
6,8.0,0.242,0.132,0.17,0.686,0.237,0.079,0.118,0.712,0.179,0.088,0.118,0.677
7,9.0,0.242,0.134,0.172,0.69,0.237,0.08,0.12,0.716,0.179,0.089,0.119,0.682
8,10.0,0.161,0.149,0.155,0.766,0.158,0.09,0.114,0.8,0.107,0.09,0.098,0.761
9,11.0,0.161,0.159,0.16,0.774,0.158,0.095,0.119,0.809,0.089,0.079,0.084,0.766
10,12.0,0.129,0.178,0.15,0.804,0.132,0.111,0.12,0.843,0.054,0.067,0.059,0.796
11,13.0,0.129,0.205,0.158,0.817,0.132,0.128,0.13,0.856,0.054,0.077,0.063,0.809
12,14.0,0.113,0.184,0.14,0.815,0.105,0.105,0.105,0.854,0.054,0.079,0.064,0.811
13,15.0,0.097,0.171,0.124,0.817,0.079,0.086,0.082,0.856,0.054,0.086,0.066,0.817
14,16.0,0.081,0.172,0.11,0.826,0.053,0.069,0.06,0.865,0.054,0.103,0.071,0.83
15,17.0,0.081,0.25,0.122,0.845,0.053,0.1,0.069,0.884,0.054,0.15,0.079,0.849
16,18.0,0.081,0.278,0.125,0.849,0.053,0.111,0.071,0.888,0.054,0.167,0.081,0.854
17,19.0,0.081,0.294,0.127,0.852,0.053,0.118,0.073,0.89,0.054,0.176,0.082,0.856
18,20.0,0.081,0.312,0.128,0.854,0.053,0.125,0.074,0.892,0.036,0.125,0.056,0.854
19,2.0,0.948,0.174,0.294,0.265,0.925,0.117,0.208,0.215,0.832,0.141,0.241,0.22
20,3.0,0.806,0.207,0.329,0.469,0.869,0.154,0.261,0.453,0.58,0.137,0.222,0.394
21,4.0,0.806,0.207,0.33,0.471,0.869,0.154,0.262,0.455,0.58,0.138,0.223,0.396
22,5.0,0.806,0.21,0.333,0.48,0.869,0.156,0.265,0.463,0.58,0.139,0.225,0.405
23,6.0,0.781,0.205,0.325,0.478,0.832,0.151,0.256,0.461,0.58,0.141,0.227,0.411
24,7.0,0.419,0.21,0.28,0.652,0.495,0.172,0.255,0.677,0.427,0.197,0.27,0.657
25,8.0,0.394,0.236,0.295,0.696,0.458,0.189,0.268,0.721,0.357,0.197,0.254,0.688
26,9.0,0.394,0.239,0.298,0.7,0.458,0.192,0.271,0.725,0.357,0.2,0.256,0.692
27,10.0,0.329,0.309,0.319,0.773,0.402,0.261,0.316,0.806,0.301,0.261,0.279,0.769
28,11.0,0.329,0.325,0.327,0.781,0.402,0.274,0.326,0.815,0.287,0.261,0.273,0.773
29,12.0,0.303,0.388,0.341,0.811,0.383,0.339,0.36,0.848,0.259,0.306,0.28,0.802
30,13.0,0.303,0.431,0.356,0.823,0.383,0.376,0.38,0.861,0.259,0.339,0.294,0.815
31,14.0,0.29,0.421,0.344,0.821,0.364,0.364,0.364,0.858,0.259,0.346,0.296,0.817
32,15.0,0.277,0.426,0.336,0.823,0.346,0.366,0.356,0.861,0.259,0.366,0.303,0.823
33,16.0,0.265,0.461,0.336,0.831,0.327,0.393,0.357,0.869,0.259,0.416,0.319,0.836
34,17.0,0.265,0.577,0.363,0.85,0.327,0.493,0.393,0.888,0.259,0.521,0.346,0.854
35,18.0,0.265,0.612,0.369,0.854,0.327,0.522,0.402,0.892,0.259,0.552,0.352,0.858
36,19.0,0.265,0.631,0.373,0.856,0.327,0.538,0.407,0.894,0.259,0.569,0.356,0.861
