,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.935,0.143,0.247,0.241,0.895,0.084,0.153,0.189,0.786,0.108,0.19,0.194
1,3.0,0.758,0.153,0.255,0.409,0.763,0.094,0.168,0.383,0.607,0.111,0.187,0.366
2,4.0,0.758,0.154,0.255,0.411,0.763,0.095,0.169,0.385,0.607,0.111,0.188,0.368
3,5.0,0.742,0.152,0.252,0.413,0.737,0.092,0.164,0.387,0.607,0.112,0.189,0.374
4,6.0,0.726,0.161,0.264,0.46,0.763,0.104,0.183,0.443,0.464,0.093,0.155,0.391
5,7.0,0.306,0.121,0.174,0.611,0.263,0.064,0.103,0.624,0.339,0.121,0.178,0.624
6,8.0,0.177,0.116,0.14,0.71,0.184,0.074,0.105,0.744,0.232,0.137,0.172,0.731
7,9.0,0.129,0.101,0.113,0.731,0.105,0.051,0.068,0.766,0.214,0.152,0.178,0.761
8,10.0,0.145,0.127,0.135,0.753,0.105,0.056,0.073,0.783,0.125,0.099,0.11,0.757
9,11.0,0.145,0.15,0.148,0.776,0.132,0.083,0.102,0.811,0.071,0.067,0.069,0.768
10,12.0,0.129,0.136,0.132,0.774,0.105,0.068,0.082,0.809,0.071,0.068,0.07,0.77
11,13.0,0.129,0.151,0.139,0.787,0.105,0.075,0.088,0.822,0.071,0.075,0.073,0.783
12,14.0,0.097,0.158,0.12,0.811,0.079,0.079,0.079,0.849,0.036,0.053,0.043,0.806
13,15.0,0.081,0.143,0.103,0.813,0.053,0.057,0.055,0.852,0.036,0.057,0.044,0.813
14,16.0,0.081,0.185,0.112,0.83,0.053,0.074,0.062,0.869,0.054,0.111,0.072,0.834
15,17.0,0.065,0.138,0.088,0.822,0.026,0.034,0.03,0.86,0.036,0.069,0.047,0.826
16,18.0,0.065,0.174,0.094,0.834,0.026,0.043,0.033,0.873,0.036,0.087,0.051,0.839
17,19.0,0.065,0.19,0.096,0.839,0.026,0.048,0.034,0.877,0.018,0.048,0.026,0.839
18,20.0,0.065,0.222,0.1,0.845,0.026,0.056,0.036,0.884,0.036,0.111,0.054,0.849
19,2.0,0.948,0.174,0.294,0.265,0.925,0.117,0.208,0.215,0.832,0.141,0.241,0.22
20,3.0,0.806,0.194,0.312,0.428,0.832,0.138,0.237,0.403,0.692,0.153,0.251,0.386
21,4.0,0.806,0.194,0.313,0.43,0.832,0.138,0.237,0.405,0.692,0.154,0.252,0.388
22,5.0,0.794,0.193,0.311,0.432,0.813,0.137,0.234,0.407,0.692,0.155,0.254,0.394
23,6.0,0.781,0.205,0.325,0.478,0.832,0.151,0.256,0.461,0.58,0.141,0.227,0.411
24,7.0,0.445,0.2,0.276,0.623,0.477,0.148,0.226,0.636,0.483,0.2,0.283,0.636
25,8.0,0.342,0.24,0.282,0.719,0.421,0.204,0.274,0.752,0.399,0.258,0.313,0.74
26,9.0,0.303,0.249,0.273,0.74,0.364,0.206,0.264,0.773,0.385,0.291,0.331,0.769
27,10.0,0.316,0.283,0.299,0.761,0.364,0.225,0.279,0.79,0.315,0.26,0.285,0.765
28,11.0,0.316,0.325,0.32,0.784,0.383,0.272,0.318,0.817,0.273,0.258,0.265,0.775
29,12.0,0.303,0.315,0.309,0.781,0.364,0.262,0.305,0.815,0.273,0.262,0.267,0.777
30,13.0,0.303,0.343,0.322,0.794,0.364,0.285,0.32,0.827,0.273,0.285,0.279,0.79
31,14.0,0.277,0.402,0.328,0.817,0.346,0.346,0.346,0.854,0.245,0.327,0.28,0.813
32,15.0,0.265,0.406,0.32,0.819,0.327,0.347,0.337,0.856,0.245,0.347,0.287,0.819
33,16.0,0.265,0.482,0.342,0.836,0.327,0.412,0.365,0.873,0.259,0.435,0.325,0.84
34,17.0,0.252,0.438,0.32,0.827,0.308,0.371,0.337,0.865,0.245,0.393,0.302,0.831
35,18.0,0.252,0.506,0.336,0.84,0.308,0.429,0.359,0.877,0.245,0.455,0.318,0.844
36,19.0,0.252,0.534,0.342,0.844,0.308,0.452,0.367,0.881,0.231,0.452,0.306,0.844
