,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
1,0.2,0.935,0.127,0.224,0.133,0.895,0.074,0.137,0.082,0.911,0.112,0.199,0.116
2,0.30000000000000004,0.935,0.132,0.232,0.174,0.895,0.078,0.143,0.123,0.857,0.11,0.194,0.144
3,0.4,0.935,0.142,0.246,0.237,0.895,0.083,0.152,0.185,0.786,0.108,0.189,0.189
4,0.5,0.935,0.142,0.246,0.237,0.895,0.083,0.152,0.185,0.786,0.108,0.189,0.189
5,0.6000000000000001,0.935,0.143,0.247,0.241,0.895,0.084,0.153,0.189,0.786,0.108,0.19,0.194
6,0.7000000000000001,0.935,0.143,0.248,0.243,0.895,0.084,0.153,0.191,0.786,0.108,0.19,0.196
7,0.8,0.855,0.141,0.242,0.286,0.816,0.082,0.15,0.243,0.75,0.112,0.194,0.252
8,0.9,0.742,0.153,0.254,0.419,0.737,0.093,0.166,0.394,0.607,0.113,0.191,0.381
9,0.91,0.742,0.153,0.254,0.419,0.737,0.093,0.166,0.394,0.607,0.113,0.191,0.381
10,0.911,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
11,0.912,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
12,0.913,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
13,0.914,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
14,0.915,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
15,0.916,0.71,0.151,0.249,0.428,0.711,0.092,0.164,0.406,0.571,0.11,0.184,0.389
16,0.917,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
17,0.918,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
18,0.919,0.71,0.151,0.249,0.43,0.711,0.093,0.164,0.409,0.571,0.11,0.184,0.391
