,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.935,0.143,0.247,0.241,0.895,0.084,0.153,0.189,0.786,0.108,0.19,0.194
1,3.0,0.758,0.164,0.269,0.452,0.816,0.108,0.191,0.434,0.464,0.091,0.152,0.374
2,4.0,0.532,0.182,0.272,0.619,0.474,0.099,0.164,0.606,0.357,0.11,0.169,0.576
3,5.0,0.306,0.178,0.225,0.718,0.289,0.103,0.152,0.735,0.214,0.112,0.147,0.701
4,6.0,0.226,0.167,0.192,0.746,0.263,0.119,0.164,0.781,0.179,0.119,0.143,0.742
5,7.0,0.161,0.156,0.159,0.772,0.184,0.109,0.137,0.811,0.071,0.062,0.067,0.759
6,8.0,0.161,0.179,0.169,0.789,0.132,0.089,0.106,0.819,0.089,0.089,0.089,0.781
7,9.0,0.145,0.176,0.159,0.796,0.158,0.118,0.135,0.834,0.054,0.059,0.056,0.783
8,10.0,0.097,0.133,0.112,0.796,0.053,0.044,0.048,0.83,0.054,0.067,0.059,0.796
9,11.0,0.097,0.125,0.109,0.789,0.105,0.083,0.093,0.832,0.054,0.062,0.058,0.789
10,12.0,0.097,0.176,0.125,0.819,0.105,0.118,0.111,0.862,0.071,0.118,0.089,0.824
11,13.0,0.097,0.167,0.122,0.815,0.079,0.083,0.081,0.854,0.071,0.111,0.087,0.819
12,14.0,0.065,0.138,0.088,0.822,0.026,0.034,0.03,0.86,0.089,0.172,0.118,0.839
13,15.0,0.081,0.156,0.106,0.819,0.079,0.094,0.086,0.862,0.054,0.094,0.068,0.824
14,16.0,0.065,0.182,0.095,0.837,0.079,0.136,0.1,0.884,0.054,0.136,0.077,0.845
15,17.0,0.048,0.12,0.069,0.826,0.053,0.08,0.063,0.873,0.054,0.12,0.074,0.839
16,18.0,0.048,0.143,0.072,0.834,0.053,0.095,0.068,0.882,0.054,0.143,0.078,0.847
17,19.0,0.032,0.105,0.049,0.834,0.026,0.053,0.035,0.882,0.054,0.158,0.08,0.852
18,20.0,0.016,0.071,0.026,0.841,0.026,0.071,0.038,0.892,0.036,0.143,0.057,0.858
19,2.0,0.948,0.174,0.294,0.265,0.925,0.117,0.208,0.215,0.832,0.141,0.241,0.22
20,3.0,0.806,0.207,0.329,0.469,0.869,0.154,0.261,0.453,0.58,0.137,0.222,0.394
21,4.0,0.626,0.247,0.354,0.632,0.626,0.17,0.268,0.619,0.497,0.181,0.265,0.59
22,5.0,0.445,0.282,0.345,0.727,0.495,0.216,0.301,0.744,0.385,0.224,0.284,0.711
23,6.0,0.381,0.296,0.333,0.754,0.477,0.256,0.333,0.788,0.357,0.256,0.298,0.75
24,7.0,0.329,0.321,0.325,0.779,0.421,0.283,0.338,0.817,0.273,0.245,0.258,0.767
25,8.0,0.329,0.357,0.342,0.796,0.383,0.287,0.328,0.825,0.287,0.287,0.287,0.788
26,9.0,0.316,0.368,0.34,0.802,0.402,0.323,0.358,0.84,0.259,0.278,0.268,0.79
27,10.0,0.277,0.355,0.312,0.802,0.327,0.289,0.307,0.836,0.259,0.306,0.28,0.802
28,11.0,0.277,0.339,0.305,0.796,0.364,0.307,0.333,0.838,0.259,0.291,0.274,0.796
29,12.0,0.277,0.434,0.339,0.825,0.364,0.394,0.379,0.867,0.273,0.394,0.322,0.829
30,13.0,0.277,0.417,0.333,0.821,0.346,0.359,0.352,0.858,0.273,0.379,0.317,0.825
31,14.0,0.252,0.438,0.32,0.827,0.308,0.371,0.337,0.865,0.287,0.461,0.353,0.844
32,15.0,0.265,0.432,0.328,0.825,0.346,0.389,0.366,0.867,0.259,0.389,0.311,0.829
33,16.0,0.252,0.52,0.339,0.842,0.346,0.493,0.407,0.888,0.259,0.493,0.339,0.85
34,17.0,0.239,0.457,0.314,0.831,0.327,0.432,0.372,0.877,0.259,0.457,0.33,0.844
35,18.0,0.239,0.507,0.325,0.84,0.327,0.479,0.389,0.886,0.259,0.507,0.343,0.852
36,19.0,0.226,0.507,0.312,0.84,0.308,0.478,0.375,0.886,0.259,0.536,0.349,0.856
