,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.955,0.091,0.166,0.131,0.952,0.04,0.076,0.085,0.939,0.014,0.028,0.062
1,3.0,0.816,0.092,0.165,0.251,0.821,0.04,0.077,0.219,0.8,0.014,0.028,0.202
2,4.0,0.813,0.092,0.165,0.254,0.818,0.04,0.077,0.222,0.797,0.014,0.028,0.206
3,5.0,0.619,0.092,0.161,0.416,0.626,0.041,0.077,0.404,0.625,0.015,0.029,0.398
4,6.0,0.619,0.092,0.161,0.416,0.626,0.041,0.077,0.404,0.624,0.015,0.029,0.398
5,7.0,0.36,0.092,0.147,0.621,0.384,0.043,0.078,0.637,0.357,0.015,0.028,0.642
6,8.0,0.359,0.092,0.147,0.622,0.383,0.043,0.077,0.638,0.355,0.015,0.028,0.643
7,9.0,0.337,0.092,0.145,0.64,0.362,0.043,0.078,0.658,0.332,0.015,0.028,0.664
8,10.0,0.336,0.092,0.145,0.641,0.361,0.043,0.078,0.66,0.331,0.015,0.028,0.666
9,11.0,0.331,0.092,0.144,0.645,0.355,0.043,0.077,0.664,0.326,0.015,0.028,0.67
10,12.0,0.203,0.092,0.127,0.748,0.208,0.042,0.069,0.778,0.203,0.015,0.028,0.793
11,13.0,0.203,0.092,0.127,0.748,0.207,0.041,0.069,0.778,0.203,0.015,0.028,0.793
12,14.0,0.201,0.092,0.127,0.749,0.206,0.042,0.069,0.78,0.202,0.015,0.028,0.794
13,15.0,0.195,0.092,0.125,0.753,0.2,0.042,0.069,0.785,0.198,0.015,0.028,0.8
14,16.0,0.195,0.092,0.125,0.753,0.2,0.042,0.069,0.785,0.198,0.015,0.028,0.8
15,17.0,0.195,0.092,0.125,0.753,0.2,0.042,0.069,0.785,0.198,0.015,0.028,0.8
16,18.0,0.195,0.092,0.125,0.753,0.2,0.042,0.069,0.785,0.198,0.015,0.028,0.8
17,19.0,0.178,0.092,0.121,0.767,0.18,0.041,0.067,0.799,0.174,0.014,0.027,0.815
18,20.0,0.126,0.094,0.108,0.811,0.12,0.039,0.059,0.848,0.119,0.014,0.025,0.867
19,2.0,0.957,0.093,0.169,0.133,0.955,0.042,0.081,0.087,0.948,0.017,0.033,0.064
20,3.0,0.821,0.094,0.169,0.253,0.831,0.043,0.082,0.221,0.828,0.017,0.034,0.204
21,4.0,0.817,0.094,0.169,0.255,0.828,0.043,0.082,0.224,0.826,0.017,0.034,0.207
22,5.0,0.629,0.096,0.166,0.417,0.646,0.045,0.083,0.405,0.676,0.019,0.036,0.399
23,6.0,0.629,0.096,0.166,0.417,0.646,0.045,0.083,0.406,0.676,0.019,0.036,0.399
24,7.0,0.376,0.098,0.155,0.622,0.417,0.049,0.088,0.638,0.444,0.021,0.04,0.643
25,8.0,0.375,0.098,0.155,0.623,0.416,0.049,0.088,0.639,0.443,0.021,0.04,0.644
26,9.0,0.353,0.098,0.154,0.641,0.396,0.05,0.089,0.659,0.423,0.021,0.041,0.665
27,10.0,0.352,0.098,0.154,0.642,0.395,0.05,0.089,0.66,0.422,0.021,0.041,0.666
28,11.0,0.348,0.099,0.154,0.646,0.39,0.05,0.089,0.665,0.417,0.021,0.041,0.671
29,12.0,0.223,0.103,0.141,0.748,0.251,0.052,0.087,0.779,0.31,0.026,0.048,0.793
30,13.0,0.223,0.103,0.141,0.748,0.25,0.052,0.087,0.779,0.31,0.026,0.048,0.793
31,14.0,0.221,0.103,0.14,0.75,0.249,0.053,0.087,0.78,0.31,0.026,0.048,0.795
32,15.0,0.215,0.103,0.139,0.754,0.244,0.053,0.087,0.785,0.306,0.027,0.049,0.8
33,16.0,0.215,0.103,0.139,0.754,0.244,0.053,0.087,0.785,0.306,0.027,0.049,0.8
34,17.0,0.215,0.103,0.139,0.754,0.244,0.053,0.087,0.785,0.306,0.027,0.049,0.8
35,18.0,0.215,0.103,0.139,0.754,0.244,0.053,0.087,0.785,0.306,0.027,0.049,0.8
36,19.0,0.198,0.104,0.136,0.767,0.224,0.053,0.086,0.8,0.286,0.027,0.049,0.816
