,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,1.0,1.0,0.09,0.166,0.09,1.0,0.04,0.076,0.04,1.0,0.015,0.029,0.015
1,0.2,2.0,1.0,0.09,0.166,0.09,0.999,0.04,0.076,0.04,0.997,0.015,0.029,0.015
2,0.30000000000000004,3.0,0.998,0.09,0.166,0.091,0.997,0.04,0.076,0.041,0.992,0.015,0.029,0.015
3,0.4,4.0,0.998,0.09,0.166,0.093,0.995,0.04,0.076,0.042,0.989,0.015,0.029,0.017
4,0.5,6.0,0.991,0.091,0.166,0.1,0.985,0.04,0.076,0.049,0.98,0.015,0.029,0.025
5,0.6000000000000001,8.0,0.979,0.091,0.166,0.109,0.968,0.039,0.076,0.06,0.966,0.014,0.029,0.036
6,0.7000000000000001,9.0,0.952,0.091,0.165,0.131,0.952,0.04,0.076,0.085,0.956,0.015,0.029,0.063
7,0.8,20.0,0.928,0.092,0.168,0.169,0.919,0.04,0.077,0.124,0.917,0.015,0.029,0.103
8,0.9,53.0,0.844,0.095,0.171,0.258,0.832,0.041,0.078,0.222,0.801,0.015,0.029,0.204
9,0.9,53.0,0.844,0.095,0.171,0.258,0.832,0.041,0.078,0.222,0.801,0.015,0.029,0.204
10,0.91,55.0,0.824,0.095,0.17,0.273,0.824,0.042,0.079,0.24,0.786,0.015,0.029,0.223
11,0.92,62.0,0.793,0.095,0.169,0.297,0.793,0.042,0.079,0.267,0.766,0.015,0.029,0.252
12,0.93,73.0,0.763,0.095,0.169,0.32,0.753,0.041,0.078,0.293,0.73,0.015,0.029,0.279
13,0.9400000000000001,81.0,0.723,0.095,0.168,0.351,0.708,0.041,0.077,0.328,0.695,0.015,0.029,0.317
14,0.9500000000000001,94.0,0.66,0.095,0.166,0.402,0.659,0.042,0.079,0.386,0.641,0.015,0.029,0.377
15,0.96,110.0,0.582,0.093,0.16,0.447,0.562,0.039,0.073,0.437,0.572,0.015,0.029,0.434
16,0.97,127.0,0.499,0.093,0.156,0.513,0.478,0.039,0.072,0.511,0.477,0.014,0.028,0.512
17,0.98,166.0,0.333,0.09,0.142,0.637,0.335,0.04,0.071,0.654,0.329,0.014,0.028,0.662
18,0.99,270.0,0.062,0.089,0.074,0.858,0.073,0.046,0.056,0.903,0.074,0.017,0.028,0.924
