,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.924,0.09,0.164,0.151,0.918,0.039,0.076,0.107,0.899,0.014,0.028,0.086
1,3.0,0.792,0.092,0.165,0.275,0.803,0.041,0.078,0.246,0.779,0.015,0.029,0.23
2,4.0,0.658,0.091,0.16,0.378,0.65,0.04,0.075,0.361,0.656,0.015,0.029,0.354
3,5.0,0.508,0.091,0.154,0.497,0.511,0.04,0.075,0.497,0.54,0.016,0.03,0.497
4,6.0,0.496,0.092,0.155,0.511,0.497,0.04,0.075,0.511,0.52,0.016,0.03,0.512
5,7.0,0.327,0.09,0.142,0.641,0.349,0.042,0.076,0.661,0.338,0.015,0.029,0.668
6,8.0,0.334,0.091,0.143,0.638,0.354,0.042,0.076,0.657,0.337,0.015,0.028,0.663
7,9.0,0.31,0.091,0.141,0.657,0.337,0.043,0.077,0.678,0.319,0.015,0.029,0.686
8,10.0,0.267,0.09,0.135,0.69,0.289,0.043,0.075,0.716,0.283,0.015,0.029,0.726
9,11.0,0.219,0.092,0.129,0.733,0.229,0.042,0.071,0.762,0.223,0.015,0.028,0.775
10,12.0,0.208,0.092,0.128,0.742,0.22,0.043,0.072,0.773,0.209,0.015,0.028,0.786
11,13.0,0.244,0.091,0.133,0.713,0.265,0.044,0.075,0.74,0.258,0.016,0.029,0.752
12,14.0,0.214,0.091,0.128,0.737,0.219,0.041,0.069,0.767,0.214,0.015,0.028,0.78
13,15.0,0.237,0.091,0.131,0.717,0.244,0.041,0.07,0.744,0.242,0.015,0.028,0.757
14,16.0,0.213,0.09,0.127,0.735,0.224,0.042,0.07,0.765,0.217,0.015,0.028,0.778
15,17.0,0.164,0.091,0.118,0.777,0.175,0.043,0.069,0.812,0.165,0.015,0.027,0.828
16,18.0,0.14,0.096,0.114,0.804,0.137,0.041,0.064,0.84,0.147,0.016,0.029,0.859
17,19.0,0.153,0.09,0.113,0.783,0.16,0.041,0.066,0.819,0.156,0.015,0.027,0.836
18,20.0,0.161,0.093,0.118,0.782,0.173,0.044,0.07,0.817,0.17,0.016,0.029,0.833
19,2.0,0.926,0.093,0.168,0.153,0.923,0.042,0.08,0.11,0.913,0.017,0.033,0.088
20,3.0,0.798,0.095,0.169,0.277,0.814,0.044,0.083,0.248,0.809,0.017,0.034,0.232
21,4.0,0.666,0.095,0.166,0.379,0.669,0.043,0.081,0.363,0.703,0.018,0.035,0.355
22,5.0,0.52,0.095,0.161,0.498,0.538,0.045,0.082,0.498,0.602,0.02,0.039,0.498
23,6.0,0.508,0.096,0.162,0.512,0.524,0.045,0.083,0.512,0.586,0.02,0.039,0.513
24,7.0,0.343,0.097,0.151,0.642,0.384,0.049,0.087,0.662,0.428,0.022,0.042,0.669
25,8.0,0.351,0.097,0.152,0.639,0.389,0.049,0.087,0.657,0.427,0.021,0.041,0.664
26,9.0,0.327,0.097,0.15,0.658,0.373,0.05,0.089,0.679,0.411,0.022,0.042,0.687
27,10.0,0.285,0.098,0.146,0.691,0.328,0.051,0.088,0.716,0.38,0.024,0.045,0.727
28,11.0,0.238,0.101,0.142,0.733,0.271,0.052,0.087,0.763,0.328,0.025,0.047,0.776
29,12.0,0.228,0.102,0.141,0.743,0.263,0.053,0.088,0.773,0.316,0.026,0.047,0.787
30,13.0,0.262,0.1,0.145,0.713,0.305,0.053,0.09,0.741,0.358,0.025,0.046,0.752
31,14.0,0.233,0.101,0.141,0.738,0.262,0.051,0.086,0.767,0.32,0.025,0.047,0.781
32,15.0,0.256,0.1,0.143,0.718,0.285,0.05,0.086,0.745,0.344,0.024,0.045,0.757
33,16.0,0.233,0.1,0.14,0.735,0.266,0.052,0.087,0.765,0.323,0.025,0.047,0.779
34,17.0,0.185,0.104,0.133,0.777,0.22,0.056,0.089,0.812,0.278,0.028,0.051,0.828
35,18.0,0.161,0.112,0.132,0.804,0.184,0.058,0.088,0.84,0.262,0.033,0.059,0.859
36,19.0,0.174,0.103,0.129,0.783,0.206,0.055,0.087,0.819,0.27,0.029,0.052,0.836
