,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,1.0,0.09,0.166,0.09,1.0,0.04,0.076,0.04,1.0,0.015,0.029,0.015
1,0.2,1.0,0.09,0.166,0.09,0.999,0.04,0.076,0.04,0.997,0.015,0.029,0.015
2,0.30000000000000004,0.998,0.09,0.166,0.091,0.997,0.04,0.076,0.041,0.992,0.015,0.029,0.015
3,0.4,0.998,0.09,0.166,0.093,0.995,0.04,0.076,0.042,0.989,0.015,0.029,0.017
4,0.5,0.991,0.091,0.166,0.1,0.985,0.04,0.076,0.049,0.98,0.015,0.029,0.025
5,0.6000000000000001,0.979,0.091,0.166,0.109,0.968,0.039,0.076,0.06,0.966,0.014,0.029,0.036
6,0.7000000000000001,0.952,0.091,0.165,0.131,0.952,0.04,0.076,0.085,0.956,0.015,0.029,0.063
7,0.8,0.928,0.092,0.168,0.169,0.919,0.04,0.077,0.124,0.917,0.015,0.029,0.103
8,0.9,0.844,0.095,0.171,0.258,0.832,0.041,0.078,0.222,0.801,0.015,0.029,0.204
9,1.0,0.018,0.086,0.029,0.894,0.02,0.044,0.028,0.943,0.025,0.02,0.022,0.967
