,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.925,0.091,0.165,0.155,0.935,0.04,0.077,0.113,0.925,0.015,0.029,0.091
1,3.0,0.819,0.094,0.169,0.272,0.827,0.042,0.08,0.241,0.807,0.015,0.029,0.224
2,4.0,0.823,0.096,0.171,0.28,0.827,0.042,0.08,0.248,0.808,0.015,0.03,0.231
3,5.0,0.782,0.094,0.169,0.303,0.794,0.042,0.08,0.275,0.772,0.015,0.029,0.259
4,6.0,0.727,0.096,0.17,0.359,0.747,0.044,0.082,0.338,0.716,0.015,0.03,0.324
5,7.0,0.775,0.095,0.17,0.314,0.792,0.043,0.081,0.287,0.77,0.015,0.03,0.272
6,8.0,0.782,0.095,0.17,0.31,0.796,0.043,0.081,0.283,0.764,0.015,0.029,0.267
7,9.0,0.792,0.095,0.169,0.296,0.807,0.042,0.08,0.267,0.781,0.015,0.029,0.251
8,10.0,0.792,0.095,0.17,0.301,0.808,0.043,0.081,0.273,0.781,0.015,0.03,0.257
9,11.0,0.755,0.095,0.169,0.329,0.758,0.042,0.08,0.304,0.742,0.015,0.03,0.29
10,12.0,0.796,0.095,0.17,0.297,0.82,0.043,0.082,0.269,0.788,0.015,0.03,0.252
11,13.0,0.771,0.095,0.169,0.314,0.781,0.042,0.08,0.287,0.762,0.015,0.03,0.272
12,14.0,0.785,0.095,0.17,0.305,0.794,0.042,0.08,0.277,0.772,0.015,0.03,0.262
13,15.0,0.74,0.097,0.171,0.35,0.738,0.042,0.08,0.326,0.724,0.015,0.03,0.314
14,16.0,0.764,0.095,0.17,0.324,0.774,0.042,0.08,0.298,0.749,0.015,0.03,0.283
15,17.0,0.786,0.096,0.172,0.314,0.8,0.043,0.082,0.286,0.774,0.015,0.03,0.27
16,18.0,0.753,0.096,0.171,0.339,0.758,0.043,0.081,0.314,0.749,0.015,0.03,0.3
17,19.0,0.773,0.096,0.171,0.325,0.78,0.043,0.081,0.298,0.76,0.015,0.03,0.283
18,20.0,0.759,0.096,0.171,0.336,0.758,0.042,0.08,0.309,0.752,0.015,0.03,0.296
19,2.0,0.927,0.093,0.169,0.157,0.939,0.043,0.082,0.115,0.935,0.017,0.033,0.093
20,3.0,0.823,0.097,0.173,0.274,0.836,0.045,0.085,0.242,0.833,0.018,0.035,0.225
21,4.0,0.827,0.098,0.176,0.282,0.837,0.045,0.085,0.25,0.834,0.018,0.035,0.233
22,5.0,0.788,0.097,0.173,0.304,0.805,0.045,0.085,0.276,0.803,0.018,0.035,0.261
23,6.0,0.734,0.099,0.175,0.361,0.761,0.047,0.088,0.34,0.754,0.019,0.036,0.326
24,7.0,0.78,0.098,0.174,0.315,0.803,0.046,0.086,0.289,0.801,0.018,0.036,0.274
25,8.0,0.787,0.098,0.175,0.312,0.807,0.046,0.086,0.285,0.796,0.018,0.035,0.269
26,9.0,0.797,0.097,0.173,0.297,0.818,0.045,0.086,0.269,0.81,0.018,0.035,0.253
27,10.0,0.797,0.098,0.174,0.301,0.818,0.045,0.086,0.273,0.81,0.018,0.035,0.257
28,11.0,0.761,0.098,0.174,0.331,0.771,0.045,0.085,0.305,0.777,0.018,0.036,0.292
29,12.0,0.804,0.098,0.175,0.299,0.832,0.046,0.087,0.27,0.817,0.018,0.035,0.253
30,13.0,0.775,0.098,0.173,0.316,0.785,0.045,0.085,0.29,0.792,0.018,0.035,0.275
31,14.0,0.791,0.098,0.174,0.307,0.806,0.045,0.086,0.279,0.803,0.018,0.035,0.263
32,15.0,0.777,0.099,0.175,0.324,0.781,0.045,0.085,0.297,0.792,0.018,0.036,0.283
33,16.0,0.791,0.099,0.175,0.312,0.801,0.045,0.086,0.283,0.806,0.018,0.036,0.268
34,17.0,0.786,0.099,0.176,0.317,0.795,0.045,0.086,0.289,0.801,0.018,0.036,0.274
35,18.0,0.76,0.099,0.176,0.34,0.772,0.046,0.086,0.315,0.78,0.018,0.036,0.301
36,19.0,0.784,0.099,0.176,0.32,0.806,0.046,0.087,0.293,0.799,0.018,0.036,0.277
