,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.95,0.091,0.166,0.134,0.947,0.04,0.076,0.089,0.935,0.014,0.028,0.066
1,3.0,0.938,0.09,0.165,0.141,0.931,0.039,0.076,0.096,0.922,0.014,0.028,0.074
2,4.0,0.896,0.091,0.166,0.184,0.875,0.039,0.075,0.142,0.871,0.014,0.028,0.123
3,5.0,0.896,0.091,0.166,0.185,0.875,0.039,0.075,0.143,0.871,0.014,0.028,0.124
4,6.0,0.896,0.091,0.166,0.185,0.875,0.039,0.075,0.143,0.871,0.014,0.028,0.124
5,7.0,0.896,0.091,0.166,0.185,0.875,0.039,0.075,0.143,0.871,0.014,0.028,0.124
6,8.0,0.836,0.092,0.166,0.243,0.82,0.04,0.076,0.207,0.807,0.014,0.028,0.191
7,9.0,0.835,0.092,0.166,0.243,0.819,0.04,0.076,0.208,0.806,0.014,0.028,0.191
8,10.0,0.791,0.092,0.165,0.275,0.798,0.041,0.078,0.246,0.772,0.014,0.028,0.23
9,11.0,0.791,0.092,0.165,0.275,0.798,0.041,0.078,0.247,0.77,0.014,0.028,0.231
10,12.0,0.776,0.092,0.165,0.289,0.779,0.041,0.077,0.261,0.761,0.015,0.029,0.246
11,13.0,0.76,0.092,0.164,0.301,0.771,0.041,0.078,0.276,0.75,0.015,0.029,0.262
12,14.0,0.767,0.092,0.164,0.295,0.772,0.041,0.077,0.268,0.752,0.015,0.029,0.254
13,15.0,0.754,0.092,0.164,0.304,0.757,0.041,0.077,0.279,0.746,0.015,0.029,0.266
14,16.0,0.748,0.092,0.164,0.311,0.756,0.041,0.078,0.286,0.737,0.015,0.029,0.273
15,17.0,0.758,0.093,0.165,0.305,0.773,0.041,0.079,0.28,0.742,0.015,0.029,0.266
16,18.0,0.759,0.093,0.165,0.305,0.773,0.041,0.079,0.28,0.743,0.015,0.029,0.265
17,19.0,0.761,0.092,0.165,0.302,0.77,0.041,0.078,0.276,0.742,0.015,0.028,0.262
18,20.0,0.761,0.092,0.165,0.302,0.777,0.041,0.079,0.277,0.746,0.015,0.029,0.262
19,2.0,0.951,0.093,0.169,0.136,0.95,0.042,0.08,0.091,0.945,0.017,0.033,0.068
20,3.0,0.94,0.093,0.169,0.143,0.935,0.042,0.08,0.098,0.933,0.017,0.033,0.076
21,4.0,0.899,0.094,0.17,0.186,0.882,0.042,0.08,0.144,0.889,0.017,0.033,0.125
22,5.0,0.898,0.094,0.17,0.187,0.882,0.042,0.08,0.145,0.889,0.017,0.033,0.126
23,6.0,0.898,0.094,0.17,0.187,0.882,0.042,0.08,0.145,0.889,0.017,0.033,0.126
24,7.0,0.898,0.094,0.17,0.187,0.882,0.042,0.08,0.145,0.889,0.017,0.033,0.126
25,8.0,0.84,0.095,0.171,0.244,0.83,0.042,0.081,0.209,0.833,0.017,0.033,0.193
26,9.0,0.839,0.095,0.171,0.245,0.829,0.042,0.081,0.21,0.833,0.017,0.033,0.193
27,10.0,0.796,0.095,0.169,0.277,0.809,0.044,0.083,0.248,0.804,0.017,0.034,0.232
28,11.0,0.796,0.095,0.169,0.277,0.809,0.044,0.083,0.248,0.801,0.017,0.034,0.232
29,12.0,0.782,0.095,0.169,0.29,0.792,0.044,0.082,0.263,0.794,0.017,0.034,0.248
30,13.0,0.766,0.095,0.169,0.303,0.784,0.044,0.083,0.277,0.784,0.018,0.035,0.263
31,14.0,0.773,0.095,0.169,0.297,0.784,0.044,0.083,0.27,0.786,0.018,0.034,0.256
32,15.0,0.76,0.095,0.168,0.306,0.771,0.043,0.082,0.281,0.781,0.018,0.035,0.267
33,16.0,0.755,0.095,0.169,0.313,0.769,0.044,0.083,0.288,0.773,0.018,0.035,0.275
34,17.0,0.765,0.095,0.169,0.307,0.785,0.044,0.084,0.282,0.778,0.018,0.034,0.267
35,18.0,0.765,0.095,0.169,0.307,0.785,0.044,0.084,0.282,0.778,0.018,0.034,0.267
36,19.0,0.767,0.095,0.169,0.304,0.783,0.044,0.083,0.278,0.778,0.018,0.034,0.264
