,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
1,3.0,0.387,0.137,0.203,0.594,0.474,0.103,0.169,0.619,0.321,0.103,0.156,0.581
2,4.0,0.355,0.191,0.249,0.714,0.447,0.148,0.222,0.744,0.268,0.13,0.175,0.697
3,5.0,0.29,0.198,0.235,0.748,0.368,0.154,0.217,0.783,0.196,0.121,0.15,0.731
4,6.0,0.29,0.22,0.25,0.768,0.368,0.171,0.233,0.802,0.161,0.11,0.13,0.742
5,7.0,0.29,0.243,0.265,0.785,0.368,0.189,0.25,0.819,0.161,0.122,0.138,0.759
6,8.0,0.226,0.206,0.215,0.781,0.316,0.176,0.226,0.824,0.161,0.132,0.145,0.772
7,9.0,0.21,0.197,0.203,0.781,0.289,0.167,0.212,0.824,0.161,0.136,0.148,0.776
8,10.0,0.21,0.206,0.208,0.787,0.289,0.175,0.218,0.83,0.143,0.127,0.134,0.778
9,11.0,0.21,0.217,0.213,0.794,0.289,0.183,0.224,0.837,0.143,0.133,0.138,0.785
10,12.0,0.21,0.217,0.213,0.794,0.289,0.183,0.224,0.837,0.143,0.133,0.138,0.785
11,13.0,0.21,0.228,0.218,0.8,0.289,0.193,0.232,0.843,0.125,0.123,0.124,0.787
12,14.0,0.177,0.2,0.188,0.796,0.237,0.164,0.194,0.839,0.125,0.127,0.126,0.791
13,15.0,0.161,0.189,0.174,0.796,0.211,0.151,0.176,0.839,0.125,0.132,0.128,0.796
14,16.0,0.145,0.176,0.159,0.796,0.184,0.137,0.157,0.839,0.125,0.137,0.131,0.8
15,17.0,0.129,0.16,0.143,0.794,0.158,0.12,0.136,0.837,0.125,0.14,0.132,0.802
16,18.0,0.113,0.143,0.126,0.791,0.132,0.102,0.115,0.834,0.125,0.143,0.133,0.804
17,19.0,0.113,0.146,0.127,0.794,0.132,0.104,0.116,0.837,0.125,0.146,0.135,0.806
18,20.0,0.113,0.149,0.128,0.796,0.132,0.106,0.118,0.839,0.107,0.128,0.117,0.804
19,2.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
20,3.0,0.51,0.207,0.295,0.607,0.626,0.176,0.275,0.632,0.469,0.176,0.256,0.594
21,4.0,0.484,0.287,0.361,0.723,0.607,0.249,0.353,0.752,0.427,0.234,0.302,0.707
22,5.0,0.432,0.315,0.364,0.757,0.551,0.277,0.369,0.79,0.371,0.249,0.298,0.74
23,6.0,0.432,0.344,0.383,0.775,0.551,0.303,0.391,0.809,0.343,0.251,0.29,0.75
24,7.0,0.432,0.374,0.401,0.792,0.551,0.33,0.413,0.825,0.343,0.274,0.304,0.767
25,8.0,0.381,0.353,0.366,0.788,0.514,0.329,0.401,0.829,0.343,0.293,0.316,0.779
26,9.0,0.368,0.35,0.358,0.788,0.495,0.325,0.393,0.829,0.343,0.301,0.32,0.784
27,10.0,0.368,0.363,0.365,0.794,0.495,0.338,0.402,0.836,0.329,0.299,0.313,0.786
28,11.0,0.368,0.377,0.373,0.8,0.495,0.351,0.411,0.842,0.329,0.311,0.32,0.792
29,12.0,0.368,0.377,0.373,0.8,0.495,0.351,0.411,0.842,0.329,0.311,0.32,0.792
30,13.0,0.368,0.393,0.38,0.806,0.495,0.366,0.421,0.848,0.315,0.31,0.312,0.794
31,14.0,0.342,0.376,0.358,0.802,0.458,0.348,0.395,0.844,0.315,0.319,0.317,0.798
32,15.0,0.329,0.372,0.349,0.802,0.439,0.343,0.385,0.844,0.315,0.328,0.321,0.802
33,16.0,0.316,0.368,0.34,0.802,0.421,0.338,0.375,0.844,0.315,0.338,0.326,0.806
34,17.0,0.303,0.359,0.329,0.8,0.402,0.328,0.361,0.842,0.315,0.344,0.328,0.809
35,18.0,0.29,0.349,0.317,0.798,0.383,0.318,0.347,0.84,0.315,0.349,0.331,0.811
36,19.0,0.29,0.354,0.319,0.8,0.383,0.323,0.35,0.842,0.315,0.354,0.333,0.813
