,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
1,3.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
2,4.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
3,5.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
4,6.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
5,7.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
6,8.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
7,9.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
8,10.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
9,11.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
10,12.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
11,13.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
12,14.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
13,15.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
14,16.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
15,17.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
16,18.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
17,19.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
18,20.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
19,2.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
20,3.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
21,4.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
22,5.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
23,6.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
24,7.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
25,8.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
26,9.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
27,10.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
28,11.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
29,12.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
30,13.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
31,14.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
32,15.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
33,16.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
34,17.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
35,18.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
36,19.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
