,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.516,0.125,0.202,0.456,0.658,0.098,0.171,0.477,0.357,0.078,0.129,0.417
1,3.0,0.419,0.158,0.229,0.624,0.5,0.115,0.187,0.645,0.268,0.091,0.136,0.589
2,4.0,0.339,0.175,0.231,0.699,0.421,0.133,0.203,0.729,0.268,0.125,0.17,0.686
3,5.0,0.323,0.196,0.244,0.733,0.421,0.157,0.229,0.768,0.268,0.147,0.19,0.725
4,6.0,0.306,0.211,0.25,0.755,0.395,0.167,0.234,0.789,0.232,0.144,0.178,0.742
5,7.0,0.226,0.189,0.206,0.768,0.289,0.149,0.196,0.806,0.161,0.122,0.138,0.759
6,8.0,0.226,0.206,0.215,0.781,0.316,0.176,0.226,0.824,0.161,0.132,0.145,0.772
7,9.0,0.194,0.188,0.19,0.781,0.263,0.156,0.196,0.824,0.143,0.125,0.133,0.776
8,10.0,0.177,0.177,0.177,0.781,0.211,0.129,0.16,0.819,0.143,0.129,0.136,0.781
9,11.0,0.161,0.167,0.164,0.781,0.184,0.117,0.143,0.819,0.143,0.133,0.138,0.785
10,12.0,0.161,0.175,0.168,0.787,0.211,0.14,0.168,0.83,0.143,0.14,0.142,0.791
11,13.0,0.161,0.182,0.171,0.791,0.211,0.145,0.172,0.834,0.143,0.145,0.144,0.796
12,14.0,0.161,0.185,0.172,0.794,0.184,0.13,0.152,0.832,0.125,0.13,0.127,0.794
13,15.0,0.113,0.233,0.152,0.832,0.105,0.133,0.118,0.871,0.071,0.133,0.093,0.832
14,16.0,0.081,0.227,0.119,0.841,0.105,0.182,0.133,0.888,0.071,0.182,0.103,0.849
15,17.0,0.097,0.353,0.152,0.856,0.132,0.294,0.182,0.903,0.054,0.176,0.082,0.856
16,18.0,0.081,0.333,0.13,0.856,0.105,0.267,0.151,0.903,0.054,0.2,0.085,0.86
17,19.0,0.081,0.385,0.133,0.86,0.105,0.308,0.157,0.908,0.054,0.231,0.087,0.865
18,20.0,0.081,0.417,0.135,0.862,0.105,0.333,0.16,0.91,0.036,0.167,0.059,0.862
19,2.0,0.613,0.176,0.273,0.473,0.757,0.15,0.25,0.494,0.497,0.131,0.208,0.436
20,3.0,0.535,0.23,0.322,0.636,0.645,0.191,0.295,0.657,0.427,0.169,0.242,0.602
21,4.0,0.471,0.269,0.343,0.709,0.589,0.232,0.333,0.738,0.427,0.225,0.295,0.696
22,5.0,0.458,0.302,0.364,0.742,0.589,0.268,0.368,0.775,0.427,0.26,0.323,0.734
23,6.0,0.445,0.327,0.377,0.763,0.57,0.289,0.384,0.796,0.399,0.27,0.322,0.75
24,7.0,0.381,0.33,0.353,0.775,0.495,0.296,0.371,0.813,0.343,0.274,0.304,0.767
25,8.0,0.381,0.353,0.366,0.788,0.514,0.329,0.401,0.829,0.343,0.293,0.316,0.779
26,9.0,0.355,0.346,0.35,0.788,0.477,0.321,0.383,0.829,0.329,0.296,0.311,0.784
27,10.0,0.342,0.342,0.342,0.788,0.439,0.303,0.359,0.825,0.329,0.303,0.315,0.788
28,11.0,0.329,0.338,0.333,0.788,0.421,0.298,0.349,0.825,0.329,0.311,0.32,0.792
29,12.0,0.329,0.352,0.34,0.794,0.439,0.324,0.373,0.836,0.329,0.324,0.326,0.798
30,13.0,0.329,0.362,0.345,0.798,0.439,0.333,0.379,0.84,0.329,0.333,0.331,0.802
31,14.0,0.329,0.367,0.347,0.8,0.421,0.324,0.366,0.838,0.315,0.324,0.319,0.8
32,15.0,0.29,0.495,0.366,0.838,0.364,0.429,0.394,0.875,0.273,0.429,0.333,0.838
33,16.0,0.265,0.547,0.357,0.846,0.364,0.52,0.429,0.892,0.273,0.52,0.358,0.854
34,17.0,0.277,0.662,0.391,0.861,0.383,0.631,0.477,0.906,0.259,0.569,0.356,0.861
35,18.0,0.265,0.672,0.38,0.861,0.364,0.639,0.464,0.906,0.259,0.607,0.363,0.865
36,19.0,0.265,0.719,0.387,0.865,0.364,0.684,0.476,0.911,0.259,0.649,0.37,0.869
