,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.785,0.094,0.167,0.294,0.799,0.042,0.08,0.266,0.763,0.015,0.029,0.25
1,3.0,0.413,0.095,0.155,0.592,0.42,0.042,0.077,0.601,0.422,0.016,0.03,0.605
2,4.0,0.347,0.092,0.145,0.63,0.357,0.041,0.074,0.646,0.355,0.015,0.029,0.653
3,5.0,0.289,0.095,0.143,0.686,0.286,0.041,0.072,0.708,0.294,0.016,0.03,0.719
4,6.0,0.197,0.095,0.128,0.757,0.195,0.041,0.068,0.787,0.203,0.016,0.029,0.803
5,7.0,0.166,0.093,0.119,0.779,0.165,0.041,0.065,0.813,0.182,0.017,0.03,0.83
6,8.0,0.157,0.093,0.117,0.785,0.155,0.04,0.064,0.82,0.174,0.017,0.03,0.838
7,9.0,0.15,0.095,0.116,0.793,0.147,0.041,0.064,0.828,0.159,0.016,0.029,0.846
8,10.0,0.131,0.092,0.108,0.805,0.131,0.04,0.062,0.842,0.141,0.016,0.029,0.861
9,11.0,0.122,0.092,0.105,0.811,0.117,0.039,0.058,0.849,0.135,0.016,0.029,0.869
10,12.0,0.119,0.092,0.104,0.814,0.114,0.038,0.058,0.852,0.132,0.016,0.029,0.872
11,13.0,0.113,0.092,0.101,0.819,0.108,0.038,0.057,0.857,0.122,0.016,0.028,0.878
12,14.0,0.107,0.091,0.098,0.823,0.105,0.039,0.057,0.863,0.115,0.016,0.028,0.883
13,15.0,0.098,0.093,0.096,0.832,0.1,0.042,0.059,0.873,0.108,0.017,0.029,0.894
14,16.0,0.096,0.093,0.094,0.834,0.098,0.042,0.059,0.875,0.106,0.017,0.029,0.895
15,17.0,0.095,0.093,0.094,0.835,0.098,0.042,0.059,0.876,0.106,0.017,0.029,0.897
16,18.0,0.093,0.092,0.092,0.836,0.096,0.042,0.059,0.877,0.102,0.016,0.028,0.898
17,19.0,0.087,0.091,0.089,0.839,0.09,0.042,0.057,0.881,0.097,0.016,0.028,0.902
18,20.0,0.084,0.092,0.088,0.843,0.087,0.042,0.056,0.885,0.089,0.016,0.027,0.906
19,2.0,0.791,0.096,0.172,0.295,0.81,0.045,0.085,0.267,0.796,0.018,0.034,0.251
20,3.0,0.427,0.1,0.163,0.593,0.451,0.048,0.087,0.602,0.501,0.021,0.041,0.606
21,4.0,0.363,0.098,0.154,0.631,0.392,0.048,0.085,0.647,0.442,0.022,0.041,0.654
22,5.0,0.306,0.102,0.153,0.687,0.325,0.049,0.085,0.708,0.39,0.024,0.045,0.719
23,6.0,0.217,0.106,0.142,0.757,0.239,0.053,0.086,0.788,0.31,0.027,0.05,0.803
24,7.0,0.186,0.106,0.135,0.779,0.21,0.054,0.086,0.813,0.293,0.03,0.055,0.83
25,8.0,0.178,0.107,0.133,0.786,0.201,0.054,0.086,0.82,0.286,0.031,0.056,0.838
26,9.0,0.171,0.109,0.133,0.793,0.193,0.056,0.086,0.829,0.273,0.031,0.056,0.847
27,10.0,0.152,0.108,0.126,0.805,0.178,0.057,0.086,0.843,0.257,0.033,0.059,0.862
28,11.0,0.143,0.108,0.123,0.812,0.165,0.056,0.084,0.849,0.252,0.035,0.061,0.869
29,12.0,0.141,0.109,0.123,0.814,0.162,0.057,0.084,0.852,0.249,0.035,0.061,0.872
30,13.0,0.135,0.11,0.121,0.819,0.156,0.058,0.084,0.858,0.24,0.036,0.062,0.878
31,14.0,0.129,0.11,0.119,0.823,0.154,0.06,0.086,0.863,0.234,0.036,0.063,0.883
32,15.0,0.12,0.114,0.117,0.833,0.149,0.064,0.09,0.874,0.229,0.04,0.067,0.894
33,16.0,0.118,0.114,0.116,0.834,0.147,0.065,0.09,0.875,0.227,0.04,0.068,0.896
34,17.0,0.117,0.115,0.116,0.835,0.147,0.065,0.09,0.877,0.227,0.041,0.069,0.897
35,18.0,0.115,0.115,0.115,0.836,0.145,0.066,0.09,0.878,0.223,0.04,0.069,0.898
36,19.0,0.109,0.114,0.112,0.839,0.14,0.066,0.09,0.881,0.219,0.042,0.07,0.902
