,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.785,0.094,0.167,0.294,0.799,0.042,0.08,0.266,0.763,0.015,0.029,0.25
1,3.0,0.446,0.097,0.16,0.576,0.437,0.042,0.076,0.581,0.439,0.015,0.03,0.584
2,4.0,0.362,0.101,0.158,0.652,0.35,0.043,0.077,0.665,0.356,0.016,0.031,0.673
3,5.0,0.293,0.098,0.146,0.691,0.285,0.042,0.073,0.711,0.288,0.015,0.029,0.722
4,6.0,0.217,0.093,0.13,0.738,0.217,0.041,0.069,0.767,0.216,0.015,0.028,0.781
5,7.0,0.193,0.095,0.127,0.761,0.197,0.042,0.07,0.792,0.194,0.015,0.028,0.807
6,8.0,0.161,0.092,0.117,0.78,0.162,0.041,0.065,0.815,0.161,0.015,0.027,0.832
7,9.0,0.148,0.093,0.114,0.792,0.14,0.038,0.06,0.827,0.16,0.016,0.029,0.845
8,10.0,0.144,0.092,0.112,0.794,0.151,0.042,0.066,0.831,0.152,0.016,0.028,0.849
9,11.0,0.135,0.092,0.109,0.801,0.132,0.039,0.06,0.837,0.142,0.016,0.028,0.856
10,12.0,0.12,0.09,0.103,0.812,0.119,0.039,0.059,0.85,0.133,0.016,0.029,0.87
11,13.0,0.117,0.092,0.103,0.815,0.111,0.038,0.057,0.854,0.125,0.016,0.028,0.874
12,14.0,0.105,0.09,0.097,0.823,0.102,0.039,0.056,0.863,0.115,0.016,0.028,0.883
13,15.0,0.111,0.093,0.101,0.822,0.109,0.04,0.059,0.861,0.113,0.015,0.027,0.881
14,16.0,0.103,0.089,0.095,0.823,0.102,0.039,0.056,0.863,0.111,0.015,0.027,0.883
15,17.0,0.103,0.094,0.098,0.829,0.101,0.04,0.058,0.869,0.103,0.015,0.026,0.889
16,18.0,0.098,0.093,0.095,0.832,0.101,0.042,0.06,0.873,0.106,0.016,0.028,0.893
17,19.0,0.093,0.093,0.093,0.836,0.094,0.041,0.057,0.877,0.096,0.015,0.026,0.898
18,20.0,0.084,0.09,0.087,0.841,0.086,0.041,0.055,0.883,0.096,0.017,0.028,0.904
19,2.0,0.791,0.096,0.172,0.295,0.81,0.045,0.085,0.267,0.796,0.018,0.034,0.251
20,3.0,0.459,0.102,0.167,0.577,0.467,0.047,0.086,0.581,0.515,0.021,0.04,0.585
21,4.0,0.378,0.108,0.168,0.653,0.385,0.05,0.088,0.666,0.443,0.023,0.044,0.674
22,5.0,0.311,0.105,0.157,0.692,0.324,0.05,0.086,0.712,0.385,0.024,0.045,0.723
23,6.0,0.236,0.103,0.143,0.739,0.26,0.051,0.086,0.767,0.322,0.025,0.047,0.781
24,7.0,0.213,0.106,0.141,0.761,0.24,0.054,0.088,0.792,0.303,0.027,0.05,0.808
25,8.0,0.182,0.105,0.133,0.781,0.207,0.054,0.086,0.815,0.275,0.029,0.052,0.832
26,9.0,0.169,0.107,0.131,0.792,0.187,0.053,0.083,0.827,0.274,0.031,0.056,0.846
27,10.0,0.165,0.106,0.129,0.795,0.197,0.057,0.089,0.831,0.266,0.031,0.056,0.849
28,11.0,0.157,0.107,0.127,0.801,0.179,0.055,0.085,0.838,0.258,0.032,0.057,0.857
29,12.0,0.141,0.107,0.122,0.812,0.167,0.057,0.085,0.85,0.25,0.034,0.061,0.87
30,13.0,0.138,0.109,0.122,0.816,0.159,0.057,0.084,0.854,0.243,0.035,0.061,0.874
31,14.0,0.127,0.109,0.117,0.824,0.151,0.059,0.085,0.863,0.234,0.037,0.063,0.884
32,15.0,0.132,0.111,0.121,0.822,0.157,0.06,0.087,0.861,0.233,0.036,0.062,0.881
33,16.0,0.125,0.108,0.116,0.823,0.151,0.059,0.085,0.864,0.231,0.036,0.063,0.884
34,17.0,0.125,0.114,0.119,0.829,0.15,0.062,0.088,0.869,0.224,0.037,0.064,0.889
35,18.0,0.12,0.114,0.117,0.833,0.15,0.065,0.09,0.873,0.227,0.039,0.067,0.894
36,19.0,0.115,0.115,0.115,0.836,0.143,0.065,0.089,0.877,0.218,0.039,0.067,0.898
