,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.689,0.094,0.165,0.37,0.653,0.039,0.074,0.348,0.704,0.016,0.03,0.342
1,0.2,0.496,0.107,0.176,0.579,0.474,0.045,0.082,0.578,0.49,0.017,0.033,0.58
2,0.30000000000000004,0.263,0.107,0.153,0.736,0.279,0.05,0.085,0.761,0.273,0.018,0.034,0.772
3,0.4,0.104,0.103,0.103,0.837,0.121,0.052,0.073,0.878,0.122,0.019,0.034,0.897
4,0.5,0.032,0.11,0.05,0.889,0.043,0.064,0.051,0.937,0.045,0.025,0.032,0.96
5,0.6000000000000001,0.021,0.097,0.035,0.894,0.026,0.053,0.035,0.943,0.033,0.024,0.028,0.967
6,0.7000000000000001,0.019,0.091,0.032,0.894,0.023,0.048,0.031,0.943,0.029,0.022,0.025,0.967
7,0.8,0.018,0.088,0.031,0.894,0.022,0.046,0.03,0.943,0.027,0.021,0.024,0.967
8,0.9,0.018,0.088,0.031,0.894,0.022,0.046,0.03,0.943,0.027,0.021,0.024,0.967
9,1.0,0.018,0.086,0.029,0.894,0.02,0.044,0.028,0.943,0.025,0.02,0.022,0.967
