,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
1,3.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
2,4.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
3,5.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
4,6.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
5,7.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
6,8.0,0.785,0.094,0.167,0.293,0.799,0.042,0.079,0.265,0.788,0.015,0.03,0.25
7,9.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
8,10.0,0.763,0.095,0.168,0.318,0.77,0.042,0.079,0.291,0.763,0.015,0.03,0.278
9,11.0,0.776,0.094,0.167,0.301,0.786,0.042,0.079,0.273,0.778,0.015,0.03,0.259
10,12.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
11,13.0,0.778,0.094,0.167,0.299,0.788,0.042,0.079,0.272,0.779,0.015,0.03,0.257
12,14.0,0.756,0.095,0.169,0.329,0.761,0.042,0.08,0.303,0.753,0.015,0.03,0.29
13,15.0,0.786,0.093,0.167,0.29,0.801,0.042,0.079,0.262,0.79,0.015,0.03,0.247
14,16.0,0.78,0.094,0.167,0.296,0.789,0.042,0.079,0.269,0.779,0.015,0.03,0.254
15,17.0,0.686,0.099,0.173,0.405,0.7,0.044,0.083,0.387,0.677,0.016,0.031,0.376
16,18.0,0.758,0.095,0.168,0.323,0.762,0.042,0.079,0.297,0.757,0.015,0.03,0.284
17,19.0,0.724,0.097,0.171,0.367,0.735,0.043,0.082,0.345,0.721,0.016,0.031,0.333
18,20.0,0.778,0.094,0.168,0.304,0.791,0.042,0.08,0.277,0.776,0.015,0.03,0.261
19,2.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
20,3.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
21,4.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
22,5.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
23,6.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
24,7.0,0.787,0.097,0.172,0.299,0.805,0.045,0.085,0.272,0.813,0.018,0.035,0.257
25,8.0,0.79,0.096,0.172,0.295,0.809,0.045,0.085,0.267,0.817,0.018,0.035,0.252
26,9.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
27,10.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
28,11.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
29,12.0,0.791,0.096,0.171,0.292,0.811,0.045,0.085,0.264,0.818,0.018,0.035,0.248
30,13.0,0.773,0.097,0.173,0.315,0.785,0.045,0.085,0.288,0.797,0.018,0.036,0.274
31,14.0,0.763,0.098,0.174,0.33,0.773,0.045,0.085,0.304,0.788,0.018,0.036,0.291
32,15.0,0.77,0.097,0.173,0.318,0.785,0.045,0.085,0.292,0.795,0.018,0.036,0.278
33,16.0,0.704,0.102,0.178,0.398,0.724,0.047,0.089,0.379,0.732,0.019,0.037,0.368
34,17.0,0.71,0.102,0.179,0.396,0.725,0.047,0.089,0.376,0.728,0.019,0.037,0.365
35,18.0,0.759,0.098,0.173,0.328,0.772,0.045,0.085,0.303,0.78,0.018,0.036,0.29
36,19.0,0.777,0.097,0.172,0.31,0.788,0.045,0.084,0.283,0.801,0.018,0.035,0.269
