,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.785,0.094,0.167,0.294,0.799,0.042,0.08,0.266,0.763,0.015,0.029,0.25
1,3.0,0.68,0.092,0.162,0.362,0.709,0.042,0.079,0.346,0.665,0.014,0.028,0.334
2,4.0,0.493,0.097,0.162,0.538,0.494,0.043,0.078,0.538,0.472,0.015,0.029,0.538
3,5.0,0.428,0.095,0.155,0.579,0.41,0.04,0.073,0.585,0.411,0.015,0.028,0.59
4,6.0,0.347,0.095,0.149,0.642,0.344,0.041,0.074,0.657,0.337,0.015,0.028,0.665
5,7.0,0.279,0.095,0.141,0.693,0.269,0.04,0.07,0.715,0.271,0.015,0.028,0.727
6,8.0,0.275,0.095,0.141,0.697,0.265,0.04,0.07,0.719,0.269,0.015,0.028,0.731
7,9.0,0.402,0.094,0.152,0.593,0.377,0.038,0.07,0.601,0.398,0.015,0.029,0.608
8,10.0,0.267,0.095,0.14,0.703,0.257,0.04,0.069,0.726,0.255,0.015,0.028,0.738
9,11.0,0.292,0.087,0.134,0.658,0.278,0.036,0.064,0.678,0.302,0.014,0.028,0.689
10,12.0,0.269,0.087,0.131,0.677,0.257,0.036,0.064,0.699,0.28,0.014,0.028,0.712
11,13.0,0.248,0.088,0.13,0.699,0.24,0.037,0.065,0.724,0.258,0.015,0.028,0.737
12,14.0,0.245,0.088,0.13,0.702,0.236,0.037,0.064,0.728,0.253,0.015,0.028,0.741
13,15.0,0.244,0.089,0.13,0.706,0.228,0.036,0.063,0.731,0.247,0.014,0.027,0.745
14,16.0,0.232,0.088,0.128,0.713,0.218,0.036,0.062,0.739,0.242,0.015,0.028,0.754
15,17.0,0.221,0.09,0.128,0.726,0.201,0.036,0.061,0.753,0.221,0.014,0.027,0.769
16,18.0,0.212,0.089,0.125,0.732,0.196,0.036,0.061,0.76,0.214,0.014,0.027,0.776
17,19.0,0.198,0.088,0.122,0.743,0.187,0.037,0.061,0.773,0.206,0.015,0.028,0.789
18,20.0,0.202,0.089,0.124,0.741,0.188,0.036,0.061,0.771,0.207,0.015,0.027,0.787
19,2.0,0.791,0.096,0.172,0.295,0.81,0.045,0.085,0.267,0.796,0.018,0.034,0.251
20,3.0,0.688,0.095,0.167,0.363,0.725,0.045,0.085,0.348,0.711,0.018,0.035,0.336
21,4.0,0.506,0.101,0.169,0.539,0.521,0.047,0.087,0.539,0.544,0.02,0.038,0.539
22,5.0,0.442,0.1,0.163,0.58,0.442,0.045,0.082,0.586,0.491,0.02,0.039,0.591
23,6.0,0.363,0.101,0.158,0.643,0.38,0.048,0.085,0.658,0.427,0.022,0.041,0.665
24,7.0,0.297,0.102,0.152,0.694,0.309,0.048,0.083,0.716,0.37,0.023,0.043,0.727
25,8.0,0.293,0.103,0.152,0.698,0.305,0.048,0.084,0.72,0.368,0.023,0.044,0.732
26,9.0,0.417,0.099,0.16,0.594,0.411,0.044,0.08,0.602,0.48,0.021,0.04,0.609
27,10.0,0.285,0.103,0.151,0.704,0.298,0.049,0.083,0.726,0.356,0.023,0.044,0.738
28,11.0,0.309,0.093,0.143,0.658,0.317,0.043,0.076,0.678,0.397,0.022,0.041,0.69
29,12.0,0.287,0.094,0.142,0.678,0.297,0.044,0.077,0.7,0.378,0.022,0.042,0.713
30,13.0,0.267,0.096,0.141,0.699,0.281,0.046,0.079,0.724,0.359,0.023,0.044,0.738
31,14.0,0.264,0.096,0.141,0.703,0.277,0.046,0.079,0.728,0.355,0.024,0.044,0.742
32,15.0,0.262,0.097,0.142,0.707,0.27,0.045,0.077,0.731,0.349,0.023,0.044,0.745
33,16.0,0.251,0.097,0.14,0.714,0.261,0.045,0.077,0.74,0.344,0.024,0.045,0.755
34,17.0,0.24,0.099,0.14,0.727,0.244,0.045,0.077,0.754,0.327,0.024,0.045,0.769
35,18.0,0.231,0.098,0.138,0.732,0.239,0.046,0.077,0.76,0.32,0.025,0.046,0.776
36,19.0,0.217,0.098,0.136,0.743,0.231,0.047,0.079,0.773,0.313,0.026,0.048,0.79
