,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.597,0.132,0.216,0.422,0.632,0.085,0.15,0.417,0.589,0.117,0.196,0.417
1,3.0,0.435,0.151,0.224,0.598,0.5,0.106,0.175,0.615,0.482,0.151,0.23,0.611
2,4.0,0.306,0.15,0.201,0.675,0.316,0.094,0.145,0.697,0.375,0.165,0.23,0.697
3,5.0,0.21,0.149,0.174,0.735,0.184,0.08,0.112,0.761,0.268,0.172,0.21,0.757
4,6.0,0.145,0.127,0.135,0.753,0.158,0.085,0.11,0.791,0.161,0.127,0.142,0.766
5,7.0,0.145,0.138,0.142,0.766,0.158,0.092,0.117,0.804,0.143,0.123,0.132,0.774
6,8.0,0.145,0.161,0.153,0.785,0.158,0.107,0.128,0.824,0.125,0.125,0.125,0.789
7,9.0,0.129,0.195,0.155,0.813,0.132,0.122,0.127,0.852,0.089,0.122,0.103,0.813
8,10.0,0.129,0.229,0.165,0.826,0.132,0.143,0.137,0.865,0.071,0.114,0.088,0.822
9,11.0,0.129,0.235,0.167,0.828,0.132,0.147,0.139,0.867,0.071,0.118,0.089,0.824
10,12.0,0.129,0.25,0.17,0.832,0.132,0.156,0.143,0.871,0.071,0.125,0.091,0.828
11,13.0,0.129,0.258,0.172,0.834,0.132,0.161,0.145,0.873,0.071,0.129,0.092,0.83
12,14.0,0.113,0.241,0.154,0.834,0.105,0.138,0.119,0.873,0.071,0.138,0.094,0.834
13,15.0,0.113,0.259,0.157,0.839,0.105,0.148,0.123,0.877,0.071,0.148,0.096,0.839
14,16.0,0.113,0.292,0.163,0.845,0.105,0.167,0.129,0.884,0.018,0.042,0.025,0.832
15,17.0,0.113,0.35,0.171,0.854,0.105,0.2,0.138,0.892,0.018,0.05,0.026,0.841
16,18.0,0.081,0.278,0.125,0.849,0.105,0.222,0.143,0.897,0.018,0.056,0.027,0.845
17,2.0,0.677,0.177,0.281,0.44,0.738,0.133,0.226,0.436,0.678,0.164,0.264,0.436
18,3.0,0.548,0.219,0.312,0.611,0.645,0.177,0.278,0.627,0.594,0.219,0.32,0.623
19,4.0,0.445,0.242,0.314,0.686,0.514,0.193,0.281,0.707,0.51,0.256,0.341,0.707
20,5.0,0.368,0.278,0.317,0.744,0.421,0.22,0.288,0.769,0.427,0.298,0.351,0.765
21,6.0,0.316,0.283,0.299,0.761,0.402,0.249,0.307,0.798,0.343,0.283,0.31,0.773
22,7.0,0.316,0.304,0.31,0.773,0.402,0.267,0.321,0.811,0.329,0.292,0.309,0.781
23,8.0,0.316,0.343,0.329,0.792,0.402,0.301,0.344,0.829,0.315,0.315,0.315,0.796
24,9.0,0.303,0.416,0.351,0.819,0.383,0.363,0.373,0.856,0.287,0.363,0.32,0.819
25,10.0,0.303,0.465,0.367,0.831,0.383,0.406,0.394,0.869,0.273,0.386,0.32,0.827
26,11.0,0.303,0.475,0.37,0.834,0.383,0.414,0.398,0.871,0.273,0.394,0.322,0.829
27,12.0,0.303,0.495,0.376,0.838,0.383,0.432,0.406,0.875,0.273,0.411,0.328,0.834
28,13.0,0.303,0.505,0.379,0.84,0.383,0.441,0.41,0.877,0.273,0.419,0.331,0.836
29,14.0,0.29,0.506,0.369,0.84,0.364,0.438,0.398,0.877,0.273,0.438,0.336,0.84
30,15.0,0.29,0.529,0.375,0.844,0.364,0.459,0.406,0.881,0.273,0.459,0.342,0.844
31,16.0,0.29,0.57,0.385,0.85,0.364,0.494,0.419,0.888,0.231,0.418,0.297,0.838
32,17.0,0.29,0.634,0.398,0.858,0.364,0.549,0.438,0.896,0.231,0.465,0.308,0.846
33,18.0,0.265,0.612,0.369,0.854,0.364,0.582,0.448,0.9,0.231,0.493,0.314,0.85
34,19.0,0.252,0.639,0.361,0.856,0.346,0.607,0.44,0.902,0.217,0.508,0.304,0.852
