,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.597,0.132,0.216,0.422,0.632,0.085,0.15,0.417,0.589,0.117,0.196,0.417
1,3.0,0.419,0.169,0.241,0.647,0.447,0.11,0.177,0.66,0.375,0.136,0.2,0.639
2,4.0,0.371,0.211,0.269,0.731,0.342,0.119,0.177,0.74,0.339,0.174,0.23,0.727
3,5.0,0.21,0.144,0.171,0.729,0.211,0.089,0.125,0.759,0.357,0.222,0.274,0.772
4,6.0,0.21,0.181,0.194,0.768,0.211,0.111,0.145,0.798,0.161,0.125,0.141,0.763
5,7.0,0.194,0.207,0.2,0.794,0.211,0.138,0.167,0.828,0.196,0.19,0.193,0.802
6,8.0,0.242,0.246,0.244,0.8,0.184,0.115,0.141,0.817,0.232,0.213,0.222,0.804
7,9.0,0.129,0.195,0.155,0.813,0.132,0.122,0.127,0.852,0.089,0.122,0.103,0.813
8,10.0,0.226,0.318,0.264,0.832,0.211,0.182,0.195,0.858,0.071,0.091,0.08,0.802
9,11.0,0.113,0.194,0.143,0.819,0.132,0.139,0.135,0.862,0.125,0.194,0.152,0.832
10,12.0,0.113,0.2,0.144,0.822,0.132,0.143,0.137,0.865,0.107,0.171,0.132,0.83
11,13.0,0.145,0.31,0.198,0.843,0.158,0.207,0.179,0.882,0.054,0.103,0.071,0.83
12,14.0,0.065,0.167,0.093,0.832,0.105,0.167,0.129,0.884,0.054,0.125,0.075,0.841
13,15.0,0.113,0.292,0.163,0.845,0.105,0.167,0.129,0.884,0.036,0.083,0.05,0.837
14,16.0,0.129,0.32,0.184,0.847,0.132,0.2,0.159,0.886,0.036,0.08,0.049,0.834
15,17.0,0.113,0.333,0.169,0.852,0.105,0.19,0.136,0.89,0.036,0.095,0.052,0.843
16,18.0,0.081,0.312,0.128,0.854,0.079,0.188,0.111,0.897,0.018,0.062,0.028,0.849
17,19.0,0.081,0.312,0.128,0.854,0.105,0.25,0.148,0.901,0.018,0.062,0.028,0.849
18,20.0,0.065,0.267,0.104,0.852,0.079,0.2,0.113,0.899,0.018,0.067,0.028,0.852
19,2.0,0.677,0.177,0.281,0.44,0.738,0.133,0.226,0.436,0.678,0.164,0.264,0.436
20,3.0,0.535,0.245,0.336,0.659,0.607,0.192,0.291,0.671,0.51,0.215,0.303,0.65
21,4.0,0.497,0.309,0.381,0.74,0.533,0.229,0.32,0.748,0.483,0.277,0.352,0.736
22,5.0,0.368,0.27,0.311,0.738,0.439,0.223,0.296,0.767,0.497,0.336,0.401,0.779
23,6.0,0.368,0.326,0.345,0.775,0.439,0.269,0.333,0.804,0.343,0.28,0.308,0.771
24,7.0,0.355,0.374,0.364,0.8,0.439,0.32,0.37,0.834,0.371,0.361,0.366,0.809
25,8.0,0.394,0.399,0.396,0.806,0.421,0.294,0.346,0.823,0.399,0.373,0.385,0.811
26,9.0,0.303,0.416,0.351,0.819,0.383,0.363,0.373,0.856,0.287,0.363,0.32,0.819
27,10.0,0.381,0.496,0.431,0.838,0.439,0.395,0.416,0.863,0.273,0.328,0.298,0.809
28,11.0,0.29,0.437,0.349,0.825,0.383,0.398,0.39,0.867,0.315,0.437,0.366,0.838
29,12.0,0.29,0.446,0.352,0.827,0.383,0.406,0.394,0.869,0.301,0.426,0.352,0.836
30,13.0,0.316,0.551,0.402,0.848,0.402,0.483,0.439,0.886,0.259,0.416,0.319,0.836
31,14.0,0.252,0.494,0.333,0.838,0.364,0.494,0.419,0.888,0.259,0.468,0.333,0.846
32,15.0,0.29,0.57,0.385,0.85,0.364,0.494,0.419,0.888,0.245,0.443,0.315,0.842
33,16.0,0.303,0.58,0.398,0.852,0.383,0.506,0.436,0.89,0.245,0.432,0.312,0.84
34,17.0,0.29,0.616,0.395,0.856,0.364,0.534,0.433,0.894,0.245,0.479,0.324,0.848
35,18.0,0.265,0.651,0.376,0.858,0.346,0.587,0.435,0.9,0.231,0.524,0.32,0.854
36,19.0,0.265,0.651,0.376,0.858,0.364,0.619,0.459,0.904,0.231,0.524,0.32,0.854
