,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.242,0.19,0.213,0.761,0.184,0.089,0.12,0.778,0.196,0.139,0.163,0.757
1,0.2,0.645,0.199,0.304,0.606,0.553,0.104,0.176,0.576,0.518,0.144,0.226,0.572
2,0.30000000000000004,0.5,0.214,0.3,0.688,0.368,0.097,0.153,0.667,0.304,0.117,0.169,0.641
3,0.4,0.29,0.212,0.245,0.761,0.237,0.106,0.146,0.774,0.196,0.129,0.156,0.744
4,0.5,0.145,0.161,0.153,0.785,0.158,0.107,0.128,0.824,0.161,0.161,0.161,0.798
5,0.6000000000000001,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
6,0.7000000000000001,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
7,0.8,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
8,0.9,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
9,0.91,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
10,0.911,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
11,0.912,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
12,0.913,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
13,0.914,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
14,0.915,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
15,0.916,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
16,0.917,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
17,0.918,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
18,0.919,0.097,0.133,0.112,0.796,0.105,0.089,0.096,0.839,0.107,0.133,0.119,0.809
