,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.226,0.093,0.132,0.604,0.132,0.033,0.053,0.617,0.232,0.087,0.126,0.613
1,3.0,0.661,0.141,0.233,0.419,0.579,0.076,0.134,0.389,0.589,0.114,0.191,0.398
2,4.0,0.887,0.126,0.22,0.163,0.868,0.076,0.139,0.12,0.964,0.124,0.219,0.172
3,5.0,0.242,0.091,0.132,0.576,0.158,0.036,0.059,0.589,0.25,0.085,0.127,0.585
4,6.0,0.871,0.137,0.237,0.252,0.868,0.084,0.153,0.213,0.804,0.114,0.2,0.226
5,7.0,0.726,0.13,0.221,0.316,0.711,0.078,0.141,0.29,0.732,0.118,0.204,0.312
6,8.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
7,9.0,0.258,0.099,0.143,0.589,0.184,0.043,0.07,0.602,0.268,0.093,0.138,0.598
8,10.0,0.887,0.132,0.23,0.206,0.868,0.079,0.145,0.163,0.946,0.127,0.224,0.211
9,11.0,0.161,0.085,0.111,0.656,0.026,0.008,0.013,0.669,0.107,0.051,0.069,0.652
10,12.0,0.435,0.116,0.184,0.484,0.395,0.065,0.111,0.484,0.411,0.099,0.16,0.48
11,13.0,0.242,0.097,0.138,0.598,0.132,0.032,0.052,0.606,0.214,0.077,0.114,0.598
12,14.0,0.323,0.116,0.17,0.581,0.289,0.064,0.104,0.594,0.286,0.092,0.14,0.576
13,15.0,1.0,0.136,0.239,0.151,1.0,0.083,0.154,0.099,1.0,0.123,0.218,0.138
14,16.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
15,17.0,0.226,0.099,0.138,0.624,0.132,0.035,0.056,0.637,0.161,0.064,0.091,0.615
16,18.0,0.855,0.131,0.227,0.224,0.842,0.079,0.144,0.185,0.929,0.128,0.226,0.232
17,19.0,0.323,0.108,0.162,0.555,0.237,0.049,0.081,0.559,0.304,0.092,0.141,0.555
18,20.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
19,2.0,0.716,0.173,0.279,0.403,0.72,0.12,0.206,0.382,0.692,0.154,0.253,0.39
20,3.0,0.613,0.182,0.281,0.494,0.645,0.132,0.22,0.49,0.58,0.159,0.25,0.482
21,4.0,0.935,0.162,0.276,0.207,0.944,0.113,0.201,0.165,0.958,0.153,0.263,0.203
22,5.0,0.419,0.2,0.271,0.636,0.439,0.145,0.218,0.648,0.413,0.182,0.252,0.636
23,6.0,0.781,0.176,0.287,0.374,0.813,0.126,0.219,0.353,0.734,0.152,0.252,0.353
24,7.0,0.858,0.17,0.284,0.303,0.85,0.117,0.205,0.265,0.902,0.165,0.279,0.307
25,8.0,1.0,0.161,0.278,0.161,1.0,0.111,0.2,0.111,1.0,0.149,0.259,0.149
26,9.0,0.413,0.218,0.285,0.666,0.411,0.15,0.219,0.674,0.392,0.19,0.256,0.662
27,10.0,0.432,0.213,0.285,0.65,0.439,0.149,0.223,0.659,0.399,0.181,0.249,0.642
28,11.0,0.426,0.189,0.261,0.612,0.449,0.137,0.21,0.624,0.434,0.177,0.252,0.616
29,12.0,0.555,0.18,0.272,0.52,0.561,0.126,0.205,0.516,0.531,0.159,0.245,0.512
30,13.0,0.471,0.182,0.263,0.573,0.514,0.137,0.217,0.586,0.469,0.167,0.246,0.573
31,14.0,0.471,0.181,0.262,0.571,0.495,0.132,0.208,0.58,0.455,0.161,0.238,0.567
32,15.0,1.0,0.161,0.278,0.161,1.0,0.111,0.2,0.111,1.0,0.149,0.259,0.149
33,16.0,1.0,0.161,0.278,0.161,1.0,0.111,0.2,0.111,1.0,0.149,0.259,0.149
34,17.0,0.439,0.199,0.274,0.624,0.467,0.146,0.223,0.637,0.448,0.187,0.264,0.629
35,18.0,0.948,0.158,0.27,0.174,0.944,0.108,0.194,0.128,1.0,0.153,0.266,0.178
36,19.0,0.484,0.183,0.266,0.569,0.495,0.13,0.205,0.573,0.455,0.159,0.236,0.561
