,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.597,0.132,0.216,0.422,0.632,0.085,0.15,0.417,0.589,0.117,0.196,0.417
1,3.0,0.339,0.141,0.199,0.637,0.289,0.074,0.118,0.645,0.357,0.134,0.195,0.645
2,4.0,0.355,0.165,0.226,0.675,0.368,0.105,0.164,0.692,0.357,0.15,0.212,0.68
3,5.0,0.226,0.156,0.184,0.733,0.211,0.089,0.125,0.759,0.25,0.156,0.192,0.746
4,6.0,0.194,0.176,0.185,0.772,0.211,0.118,0.151,0.806,0.196,0.162,0.177,0.781
5,7.0,0.194,0.197,0.195,0.787,0.184,0.115,0.141,0.817,0.179,0.164,0.171,0.791
6,8.0,0.145,0.18,0.161,0.798,0.158,0.12,0.136,0.837,0.125,0.14,0.132,0.802
7,9.0,0.177,0.268,0.214,0.826,0.237,0.22,0.228,0.869,0.161,0.22,0.186,0.83
8,10.0,0.129,0.182,0.151,0.806,0.132,0.114,0.122,0.845,0.107,0.136,0.12,0.811
9,11.0,0.113,0.233,0.152,0.832,0.105,0.133,0.118,0.871,0.054,0.1,0.07,0.828
10,12.0,0.129,0.258,0.172,0.834,0.132,0.161,0.145,0.873,0.054,0.097,0.069,0.826
11,13.0,0.129,0.296,0.18,0.843,0.132,0.185,0.154,0.882,0.071,0.148,0.096,0.839
12,14.0,0.065,0.16,0.092,0.83,0.079,0.12,0.095,0.877,0.071,0.16,0.099,0.843
13,15.0,0.113,0.318,0.167,0.849,0.105,0.182,0.133,0.888,0.054,0.136,0.077,0.845
14,16.0,0.113,0.333,0.169,0.852,0.105,0.19,0.136,0.89,0.054,0.143,0.078,0.847
15,17.0,0.113,0.368,0.173,0.856,0.105,0.211,0.14,0.895,0.018,0.053,0.027,0.843
16,2.0,0.677,0.177,0.281,0.44,0.738,0.133,0.226,0.436,0.678,0.164,0.264,0.436
17,3.0,0.471,0.222,0.302,0.648,0.495,0.161,0.243,0.657,0.497,0.216,0.301,0.657
18,4.0,0.484,0.253,0.332,0.686,0.551,0.199,0.292,0.702,0.497,0.239,0.323,0.69
19,5.0,0.381,0.28,0.322,0.742,0.439,0.223,0.296,0.767,0.413,0.28,0.333,0.754
20,6.0,0.355,0.329,0.342,0.779,0.439,0.281,0.343,0.813,0.371,0.317,0.342,0.788
21,7.0,0.355,0.359,0.357,0.794,0.421,0.294,0.346,0.823,0.357,0.333,0.345,0.798
22,8.0,0.316,0.374,0.343,0.804,0.402,0.328,0.361,0.842,0.315,0.344,0.328,0.809
23,9.0,0.342,0.469,0.396,0.831,0.458,0.434,0.445,0.873,0.343,0.434,0.383,0.836
24,10.0,0.303,0.395,0.343,0.813,0.383,0.345,0.363,0.85,0.301,0.361,0.328,0.817
25,11.0,0.29,0.495,0.366,0.838,0.364,0.429,0.394,0.875,0.259,0.407,0.316,0.834
26,12.0,0.303,0.505,0.379,0.84,0.383,0.441,0.41,0.877,0.259,0.398,0.314,0.831
27,13.0,0.303,0.553,0.392,0.848,0.383,0.482,0.427,0.886,0.273,0.459,0.342,0.844
28,14.0,0.252,0.481,0.331,0.836,0.346,0.457,0.394,0.881,0.273,0.481,0.348,0.848
29,15.0,0.29,0.6,0.391,0.854,0.364,0.52,0.429,0.892,0.259,0.493,0.339,0.85
30,16.0,0.29,0.616,0.395,0.856,0.364,0.534,0.433,0.894,0.259,0.507,0.343,0.852
31,17.0,0.29,0.652,0.402,0.861,0.364,0.565,0.443,0.898,0.231,0.478,0.311,0.848
32,18.0,0.265,0.631,0.373,0.856,0.346,0.569,0.43,0.898,0.217,0.477,0.298,0.848
33,19.0,0.277,0.606,0.381,0.854,0.364,0.549,0.438,0.896,0.231,0.465,0.308,0.846
