,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.819,0.093,0.167,0.26,0.802,0.04,0.076,0.226,0.793,0.014,0.028,0.21
1,3.0,0.712,0.093,0.165,0.348,0.694,0.04,0.075,0.325,0.696,0.015,0.029,0.315
2,4.0,0.551,0.097,0.165,0.497,0.526,0.041,0.076,0.49,0.528,0.015,0.029,0.488
3,5.0,0.482,0.096,0.16,0.543,0.474,0.041,0.076,0.544,0.473,0.015,0.029,0.545
4,6.0,0.419,0.096,0.156,0.591,0.414,0.042,0.076,0.599,0.409,0.015,0.029,0.603
5,7.0,0.411,0.096,0.156,0.597,0.408,0.042,0.076,0.606,0.402,0.015,0.029,0.611
6,8.0,0.41,0.097,0.156,0.6,0.405,0.042,0.076,0.609,0.399,0.015,0.029,0.613
7,9.0,0.373,0.096,0.153,0.627,0.366,0.042,0.075,0.639,0.357,0.015,0.028,0.646
8,10.0,0.357,0.098,0.154,0.646,0.337,0.041,0.073,0.659,0.337,0.015,0.029,0.667
9,11.0,0.271,0.093,0.139,0.696,0.271,0.041,0.071,0.719,0.274,0.015,0.029,0.731
10,12.0,0.221,0.092,0.129,0.732,0.206,0.038,0.063,0.759,0.227,0.015,0.028,0.774
11,13.0,0.171,0.092,0.12,0.773,0.163,0.039,0.063,0.806,0.182,0.016,0.029,0.823
12,14.0,0.154,0.094,0.117,0.789,0.144,0.039,0.061,0.824,0.161,0.016,0.029,0.842
13,15.0,0.152,0.093,0.116,0.79,0.142,0.038,0.06,0.825,0.16,0.016,0.029,0.843
14,16.0,0.149,0.093,0.114,0.792,0.139,0.038,0.06,0.827,0.159,0.016,0.029,0.845
15,17.0,0.122,0.092,0.105,0.812,0.12,0.04,0.06,0.85,0.13,0.016,0.028,0.869
16,18.0,0.12,0.092,0.104,0.814,0.119,0.04,0.06,0.852,0.13,0.016,0.029,0.872
17,19.0,0.12,0.093,0.104,0.814,0.119,0.041,0.061,0.853,0.13,0.016,0.029,0.873
18,20.0,0.112,0.095,0.103,0.823,0.111,0.041,0.06,0.862,0.124,0.017,0.03,0.882
19,2.0,0.824,0.095,0.171,0.261,0.813,0.043,0.081,0.228,0.821,0.017,0.034,0.212
20,3.0,0.72,0.096,0.17,0.349,0.711,0.043,0.081,0.326,0.737,0.018,0.035,0.316
21,4.0,0.562,0.101,0.171,0.498,0.551,0.045,0.083,0.491,0.592,0.019,0.037,0.49
22,5.0,0.494,0.1,0.167,0.544,0.503,0.046,0.085,0.545,0.544,0.02,0.039,0.546
23,6.0,0.433,0.101,0.164,0.592,0.446,0.047,0.085,0.6,0.489,0.021,0.04,0.604
24,7.0,0.426,0.101,0.164,0.598,0.44,0.047,0.086,0.607,0.483,0.021,0.04,0.611
25,8.0,0.424,0.102,0.164,0.601,0.437,0.048,0.086,0.61,0.48,0.021,0.04,0.614
26,9.0,0.389,0.102,0.162,0.628,0.401,0.048,0.085,0.64,0.444,0.021,0.04,0.647
27,10.0,0.372,0.105,0.163,0.647,0.373,0.047,0.084,0.66,0.427,0.022,0.041,0.668
28,11.0,0.289,0.101,0.15,0.697,0.311,0.049,0.085,0.72,0.373,0.024,0.045,0.732
29,12.0,0.24,0.101,0.142,0.732,0.249,0.047,0.08,0.759,0.332,0.025,0.047,0.775
30,13.0,0.191,0.105,0.135,0.774,0.208,0.052,0.083,0.806,0.292,0.029,0.053,0.824
31,14.0,0.174,0.108,0.133,0.79,0.191,0.053,0.083,0.824,0.274,0.031,0.055,0.843
32,15.0,0.172,0.107,0.132,0.791,0.188,0.053,0.083,0.825,0.274,0.031,0.056,0.844
33,16.0,0.17,0.107,0.131,0.792,0.185,0.053,0.082,0.827,0.272,0.031,0.056,0.846
34,17.0,0.144,0.109,0.124,0.812,0.168,0.058,0.086,0.85,0.248,0.034,0.06,0.87
35,18.0,0.142,0.109,0.123,0.814,0.167,0.058,0.087,0.852,0.248,0.035,0.061,0.872
36,19.0,0.141,0.11,0.124,0.815,0.167,0.059,0.087,0.853,0.248,0.035,0.061,0.873
