,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.808,0.093,0.167,0.272,0.791,0.04,0.076,0.239,0.788,0.015,0.029,0.224
1,3.0,0.68,0.093,0.164,0.371,0.664,0.04,0.075,0.352,0.672,0.015,0.029,0.344
2,4.0,0.483,0.093,0.156,0.525,0.484,0.041,0.075,0.527,0.476,0.015,0.028,0.528
3,5.0,0.497,0.095,0.16,0.527,0.486,0.041,0.075,0.527,0.501,0.015,0.03,0.528
4,6.0,0.368,0.096,0.152,0.629,0.351,0.04,0.072,0.641,0.362,0.015,0.029,0.649
5,7.0,0.355,0.091,0.145,0.622,0.334,0.038,0.068,0.635,0.358,0.015,0.028,0.644
6,8.0,0.252,0.092,0.134,0.706,0.24,0.038,0.066,0.731,0.265,0.016,0.029,0.745
7,9.0,0.283,0.09,0.137,0.677,0.311,0.043,0.076,0.701,0.316,0.016,0.031,0.71
8,10.0,0.247,0.096,0.139,0.723,0.238,0.041,0.07,0.748,0.248,0.016,0.029,0.761
9,11.0,0.255,0.091,0.134,0.702,0.239,0.038,0.065,0.726,0.268,0.015,0.029,0.74
10,12.0,0.206,0.092,0.127,0.744,0.211,0.041,0.069,0.774,0.196,0.014,0.026,0.788
11,13.0,0.177,0.093,0.122,0.77,0.154,0.036,0.058,0.801,0.185,0.016,0.029,0.819
12,14.0,0.153,0.087,0.111,0.777,0.175,0.044,0.07,0.814,0.166,0.015,0.028,0.83
13,15.0,0.163,0.089,0.115,0.774,0.15,0.036,0.058,0.807,0.173,0.015,0.028,0.826
14,16.0,0.131,0.091,0.107,0.803,0.133,0.041,0.062,0.841,0.135,0.015,0.027,0.859
15,17.0,0.111,0.087,0.098,0.815,0.11,0.038,0.056,0.854,0.124,0.016,0.028,0.874
16,18.0,0.153,0.098,0.119,0.796,0.14,0.04,0.062,0.83,0.142,0.015,0.027,0.849
17,19.0,0.106,0.089,0.097,0.821,0.112,0.041,0.06,0.862,0.106,0.014,0.025,0.881
18,20.0,0.108,0.097,0.102,0.828,0.097,0.038,0.055,0.867,0.103,0.015,0.026,0.887
19,2.0,0.813,0.096,0.171,0.273,0.803,0.043,0.081,0.241,0.818,0.017,0.034,0.226
20,3.0,0.688,0.096,0.169,0.373,0.683,0.043,0.081,0.353,0.717,0.018,0.035,0.345
21,4.0,0.496,0.097,0.162,0.527,0.512,0.045,0.083,0.528,0.547,0.019,0.037,0.529
22,5.0,0.509,0.099,0.166,0.528,0.514,0.045,0.084,0.528,0.569,0.02,0.039,0.529
23,6.0,0.384,0.102,0.161,0.63,0.386,0.046,0.083,0.642,0.448,0.022,0.041,0.65
24,7.0,0.371,0.097,0.154,0.622,0.371,0.044,0.078,0.635,0.445,0.021,0.04,0.644
25,8.0,0.27,0.1,0.146,0.707,0.281,0.047,0.081,0.731,0.365,0.024,0.046,0.745
26,9.0,0.301,0.097,0.147,0.677,0.348,0.051,0.089,0.701,0.409,0.024,0.045,0.711
27,10.0,0.265,0.105,0.151,0.723,0.279,0.05,0.085,0.748,0.35,0.025,0.047,0.762
28,11.0,0.273,0.099,0.145,0.703,0.281,0.046,0.079,0.726,0.367,0.024,0.045,0.74
29,12.0,0.225,0.102,0.14,0.744,0.254,0.052,0.086,0.775,0.305,0.025,0.046,0.789
30,13.0,0.197,0.105,0.137,0.77,0.2,0.048,0.078,0.801,0.295,0.029,0.052,0.819
31,14.0,0.174,0.099,0.127,0.778,0.22,0.057,0.091,0.815,0.278,0.029,0.052,0.831
32,15.0,0.183,0.102,0.131,0.775,0.196,0.049,0.079,0.808,0.285,0.029,0.052,0.826
33,16.0,0.152,0.106,0.125,0.804,0.18,0.057,0.087,0.841,0.252,0.032,0.057,0.86
34,17.0,0.133,0.105,0.117,0.815,0.158,0.057,0.083,0.854,0.242,0.035,0.061,0.874
35,18.0,0.174,0.112,0.136,0.797,0.187,0.055,0.085,0.831,0.258,0.03,0.054,0.849
36,19.0,0.128,0.108,0.117,0.822,0.16,0.061,0.088,0.862,0.227,0.035,0.06,0.881
