,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,-0.05,1.0,-0.105,0.905,-0.113,1.0,-0.255,0.956,-0.309,1.0,-0.893,0.981
1,3.0,0.331,0.101,0.155,0.675,0.233,0.031,0.055,0.684,0.244,0.012,0.023,0.698
2,4.0,-0.049,1.0,-0.104,0.905,-0.113,1.0,-0.254,0.956,-0.307,1.0,-0.887,0.981
3,5.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
4,6.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
5,7.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
6,8.0,-0.049,1.0,-0.103,0.905,-0.112,1.0,-0.252,0.956,-0.305,1.0,-0.878,0.981
7,9.0,-0.049,1.0,-0.103,0.905,-0.112,1.0,-0.251,0.956,-0.304,1.0,-0.876,0.981
8,10.0,-0.049,1.0,-0.104,0.905,-0.112,1.0,-0.253,0.956,-0.306,1.0,-0.881,0.981
9,11.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
10,12.0,-0.025,-0.271,-0.046,0.896,-0.083,-0.388,-0.137,0.945,-0.251,-0.432,-0.318,0.97
11,13.0,-0.049,1.0,-0.103,0.905,-0.111,1.0,-0.251,0.956,-0.304,1.0,-0.873,0.981
12,14.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
13,15.0,-0.049,1.0,-0.103,0.905,-0.111,1.0,-0.251,0.956,-0.304,1.0,-0.873,0.981
14,16.0,-0.049,1.0,-0.103,0.905,-0.112,1.0,-0.251,0.956,-0.304,1.0,-0.876,0.981
15,17.0,-0.049,1.0,-0.103,0.905,-0.111,1.0,-0.25,0.956,-0.303,1.0,-0.87,0.981
16,18.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
17,19.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
18,20.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
19,2.0,0.0,1.0,0.0,0.908,0.0,1.0,0.0,0.958,0.001,1.0,0.001,0.983
20,3.0,0.045,0.161,0.071,0.89,0.043,0.069,0.053,0.936,0.064,0.041,0.05,0.959
21,4.0,0.0,1.0,0.0,0.908,0.0,1.0,0.001,0.958,0.001,1.0,0.002,0.983
22,5.0,0.0,0.5,0.001,0.908,0.001,0.5,0.001,0.958,0.002,0.5,0.004,0.983
23,6.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
24,7.0,0.992,0.093,0.17,0.105,0.991,0.042,0.081,0.055,0.992,0.017,0.033,0.031
25,8.0,0.0,1.0,0.001,0.908,0.001,1.0,0.002,0.958,0.002,1.0,0.005,0.983
26,9.0,0.0,1.0,0.001,0.908,0.001,1.0,0.002,0.958,0.002,1.0,0.005,0.983
27,10.0,0.0,1.0,0.001,0.908,0.001,1.0,0.002,0.958,0.002,1.0,0.005,0.983
28,11.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
29,12.0,0.021,0.154,0.037,0.899,0.023,0.075,0.035,0.947,0.035,0.047,0.04,0.972
30,13.0,0.0,1.0,0.001,0.908,0.001,1.0,0.002,0.958,0.002,1.0,0.005,0.983
31,14.0,0.001,0.419,0.001,0.908,0.001,0.355,0.003,0.958,0.003,0.355,0.007,0.983
32,15.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
33,16.0,0.001,1.0,0.001,0.908,0.001,1.0,0.003,0.958,0.003,1.0,0.007,0.983
34,17.0,0.0,1.0,0.001,0.908,0.001,1.0,0.002,0.958,0.002,1.0,0.005,0.983
35,18.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
36,19.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
