,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.808,0.093,0.167,0.272,0.791,0.04,0.076,0.239,0.788,0.015,0.029,0.224
1,3.0,0.781,0.095,0.169,0.305,0.75,0.04,0.076,0.274,0.753,0.015,0.029,0.262
2,4.0,0.645,0.096,0.167,0.419,0.609,0.04,0.075,0.402,0.628,0.015,0.029,0.397
3,5.0,0.459,0.1,0.164,0.578,0.413,0.04,0.072,0.578,0.443,0.016,0.03,0.583
4,6.0,0.444,0.099,0.162,0.586,0.412,0.04,0.074,0.589,0.43,0.015,0.03,0.594
5,7.0,0.406,0.099,0.159,0.612,0.394,0.042,0.076,0.62,0.398,0.016,0.03,0.626
6,8.0,0.305,0.094,0.144,0.671,0.295,0.04,0.07,0.69,0.314,0.016,0.03,0.701
7,9.0,0.305,0.095,0.145,0.674,0.295,0.04,0.071,0.693,0.309,0.015,0.029,0.704
8,10.0,0.22,0.092,0.13,0.734,0.218,0.04,0.068,0.762,0.233,0.016,0.029,0.777
9,11.0,0.197,0.089,0.123,0.745,0.198,0.039,0.066,0.776,0.216,0.016,0.029,0.792
10,12.0,0.206,0.092,0.128,0.745,0.195,0.038,0.064,0.774,0.22,0.016,0.03,0.79
11,13.0,0.167,0.091,0.118,0.775,0.17,0.041,0.066,0.809,0.17,0.015,0.028,0.825
12,14.0,0.159,0.091,0.116,0.78,0.165,0.041,0.066,0.815,0.171,0.016,0.029,0.832
13,15.0,0.142,0.094,0.113,0.798,0.152,0.044,0.068,0.835,0.152,0.016,0.029,0.853
14,16.0,0.137,0.093,0.111,0.801,0.142,0.042,0.065,0.838,0.154,0.017,0.03,0.857
15,17.0,0.142,0.094,0.113,0.798,0.141,0.041,0.064,0.835,0.15,0.016,0.029,0.853
16,18.0,0.111,0.09,0.1,0.819,0.113,0.04,0.06,0.858,0.124,0.016,0.029,0.878
17,19.0,0.095,0.091,0.093,0.833,0.095,0.04,0.057,0.874,0.097,0.015,0.026,0.894
18,20.0,0.084,0.09,0.087,0.84,0.089,0.042,0.057,0.883,0.084,0.015,0.025,0.904
19,2.0,0.813,0.096,0.171,0.273,0.803,0.043,0.081,0.241,0.818,0.017,0.034,0.226
20,3.0,0.787,0.098,0.174,0.307,0.763,0.043,0.081,0.276,0.787,0.018,0.035,0.263
21,4.0,0.654,0.099,0.173,0.42,0.63,0.043,0.081,0.403,0.679,0.019,0.036,0.398
22,5.0,0.472,0.105,0.172,0.579,0.445,0.045,0.081,0.579,0.519,0.021,0.04,0.584
23,6.0,0.458,0.104,0.17,0.587,0.444,0.046,0.083,0.59,0.508,0.021,0.04,0.595
24,7.0,0.421,0.104,0.167,0.613,0.427,0.048,0.086,0.621,0.48,0.022,0.041,0.627
25,8.0,0.322,0.101,0.154,0.672,0.333,0.047,0.083,0.691,0.407,0.023,0.044,0.702
26,9.0,0.322,0.102,0.155,0.675,0.333,0.048,0.084,0.694,0.402,0.023,0.044,0.704
27,10.0,0.239,0.102,0.143,0.734,0.26,0.05,0.084,0.763,0.336,0.026,0.048,0.777
28,11.0,0.217,0.1,0.136,0.746,0.241,0.05,0.083,0.777,0.323,0.027,0.05,0.792
29,12.0,0.226,0.102,0.141,0.745,0.239,0.049,0.081,0.774,0.326,0.027,0.049,0.79
30,13.0,0.187,0.104,0.133,0.775,0.215,0.054,0.086,0.809,0.283,0.028,0.052,0.826
31,14.0,0.18,0.104,0.132,0.78,0.21,0.055,0.087,0.815,0.283,0.03,0.054,0.832
32,15.0,0.163,0.108,0.13,0.799,0.198,0.06,0.092,0.836,0.266,0.032,0.057,0.853
33,16.0,0.158,0.108,0.128,0.802,0.188,0.058,0.089,0.839,0.268,0.033,0.059,0.857
34,17.0,0.163,0.109,0.131,0.799,0.188,0.057,0.087,0.835,0.265,0.032,0.057,0.853
35,18.0,0.133,0.109,0.12,0.819,0.161,0.06,0.087,0.859,0.242,0.036,0.063,0.878
36,19.0,0.117,0.113,0.115,0.833,0.145,0.063,0.088,0.874,0.219,0.038,0.065,0.895
